# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000600024   	(1.382721e-04 1.310110e-04 -1.593361e-06)	(1.382720e-04 1.310110e-04 -1.593374e-06)	(3.263065e-11 5.256779e-11 1.295007e-11)
0.00132009    	(1.386248e-04 1.321400e-04 4.785703e-07)	(1.386248e-04 1.321400e-04 4.785348e-07)	(2.011345e-11 4.350859e-11 3.551820e-11)
0.00218416    	(1.391234e-04 1.324768e-04 1.079274e-06)	(1.391234e-04 1.324768e-04 1.079196e-06)	(-7.791863e-12 1.366621e-11 7.740781e-11)
0.00322139    	(1.390254e-04 1.323680e-04 1.011311e-06)	(1.390254e-04 1.323680e-04 1.011183e-06)	(-3.210241e-11 -7.495127e-12 1.280645e-10)
0.00446581    	(1.390553e-04 1.323155e-04 9.343111e-07)	(1.390553e-04 1.323155e-04 9.341247e-07)	(-4.443617e-11 -2.261280e-11 1.863772e-10)
0.00592983    	(1.391105e-04 1.321635e-04 8.344081e-07)	(1.391105e-04 1.321635e-04 8.341636e-07)	(-5.355110e-11 -5.984621e-11 2.445401e-10)
0.00767076    	(1.391533e-04 1.322580e-04 7.718436e-07)	(1.391534e-04 1.322581e-04 7.715280e-07)	(-4.088767e-11 -7.434620e-11 3.156308e-10)
0.00973811    	(1.394086e-04 1.325121e-04 6.676561e-07)	(1.394085e-04 1.325122e-04 6.672492e-07)	(1.800800e-11 -5.026289e-11 4.069092e-10)
0.0122076     	(1.400353e-04 1.331689e-04 6.327040e-07)	(1.400351e-04 1.331688e-04 6.321763e-07)	(1.291631e-10 2.124621e-11 5.277152e-10)
0.0151739     	(1.384268e-04 1.315691e-04 5.958851e-07)	(1.384265e-04 1.315690e-04 5.952009e-07)	(2.479490e-10 9.639197e-11 6.842029e-10)
0.0187293     	(1.395669e-04 1.327596e-04 6.246480e-07)	(1.395665e-04 1.327593e-04 6.237431e-07)	(4.342694e-10 2.416592e-10 9.049296e-10)
0.0228009     	(1.399040e-04 1.330241e-04 7.997308e-07)	(1.399033e-04 1.330237e-04 7.984772e-07)	(7.249104e-10 4.471190e-10 1.253651e-09)
