# Wall shear stress
# Time        	patch         	min           	max           
1             	cylinder	(-6.624257e-05 -5.579236e-05 -1.430689e-04)	(1.299578e-05 2.092912e-05 7.670733e-06)
2             	cylinder	(-4.590038e-03 -2.681430e-03 -1.056799e-03)	(2.098281e-03 2.584105e-03 2.350970e-03)
3             	cylinder	(-2.725076e-03 -9.582438e-04 -2.083138e-03)	(2.483856e-04 1.406275e-03 5.388383e-04)
4             	cylinder	(-2.646777e-03 -1.413976e-03 -2.897789e-03)	(8.716975e-04 1.508113e-03 8.590055e-04)
5             	cylinder	(-1.159201e-03 -6.412079e-04 -1.137834e-03)	(5.526536e-04 8.763102e-04 4.752353e-04)
6             	cylinder	(-1.332706e-03 -8.385253e-04 -1.558534e-03)	(3.669439e-04 6.980514e-04 3.956202e-04)
7             	cylinder	(-1.397060e-03 -9.433339e-04 -1.510906e-03)	(5.967668e-04 8.946313e-04 4.545059e-04)
8             	cylinder	(-1.554618e-03 -1.027385e-03 -1.655434e-03)	(4.995224e-04 9.515008e-04 4.484878e-04)
9             	cylinder	(-2.197327e-03 -1.513711e-03 -2.225779e-03)	(6.999586e-04 1.501848e-03 6.779166e-04)
10            	cylinder	(-3.130267e-03 -2.022989e-03 -2.985599e-03)	(1.260620e-03 2.073542e-03 1.085303e-03)
11            	cylinder	(-3.836431e-03 -2.513405e-03 -3.898825e-03)	(1.633380e-03 2.543486e-03 1.455853e-03)
12            	cylinder	(-4.465683e-03 -2.564756e-03 -4.959295e-03)	(2.173299e-03 2.963349e-03 1.978251e-03)
13            	cylinder	(-4.611026e-03 -2.591896e-03 -5.903637e-03)	(2.333181e-03 2.973206e-03 2.190704e-03)
14            	cylinder	(-4.601400e-03 -2.486593e-03 -6.336280e-03)	(2.441141e-03 2.953118e-03 2.191932e-03)
15            	cylinder	(-4.971499e-03 -2.777829e-03 -6.457528e-03)	(2.550874e-03 2.957419e-03 2.285260e-03)
16            	cylinder	(-5.332673e-03 -3.024289e-03 -6.497277e-03)	(2.588649e-03 3.130211e-03 2.266750e-03)
17            	cylinder	(-5.461915e-03 -3.101608e-03 -6.412360e-03)	(2.587530e-03 3.151967e-03 2.305901e-03)
18            	cylinder	(-5.436316e-03 -3.133310e-03 -6.581144e-03)	(2.602679e-03 3.082848e-03 2.387459e-03)
19            	cylinder	(-5.299975e-03 -2.950172e-03 -6.532209e-03)	(2.564887e-03 3.013664e-03 2.313687e-03)
20            	cylinder	(-5.517609e-03 -3.027410e-03 -6.763279e-03)	(2.585476e-03 3.069251e-03 2.475054e-03)
21            	cylinder	(-5.649124e-03 -3.002693e-03 -6.930578e-03)	(2.681435e-03 3.099248e-03 2.454723e-03)
22            	cylinder	(-5.918719e-03 -3.131153e-03 -7.279065e-03)	(2.903295e-03 3.216758e-03 2.466091e-03)
24            	cylinder	(-5.397503e-03 -2.829056e-03 -6.948145e-03)	(2.626444e-03 2.940367e-03 2.497540e-03)
26            	cylinder	(-5.584119e-03 -2.840297e-03 -6.988359e-03)	(2.648335e-03 3.023409e-03 2.396355e-03)
28            	cylinder	(-5.496227e-03 -2.905006e-03 -7.085829e-03)	(2.639530e-03 2.967620e-03 2.345404e-03)
30            	cylinder	(-5.401358e-03 -2.753632e-03 -7.204056e-03)	(2.679098e-03 2.909620e-03 2.522434e-03)
32            	cylinder	(-5.634229e-03 -2.856999e-03 -7.254155e-03)	(2.742966e-03 3.021437e-03 2.422887e-03)
34            	cylinder	(-5.574044e-03 -2.905076e-03 -7.273820e-03)	(2.724606e-03 2.986836e-03 2.520194e-03)
36            	cylinder	(-5.528461e-03 -2.969154e-03 -6.979520e-03)	(2.623334e-03 2.976690e-03 2.325972e-03)
38            	cylinder	(-5.582998e-03 -2.976158e-03 -7.106806e-03)	(2.673148e-03 3.165155e-03 2.467996e-03)
40            	cylinder	(-5.627846e-03 -2.972537e-03 -7.223322e-03)	(2.685677e-03 4.250494e-03 2.427710e-03)
