# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00060006    	(1.289853e-03 3.703317e-04 2.393853e+03)	(1.289838e-03 3.703340e-04 2.393853e+03)	(1.482327e-08 -2.244883e-09 2.125578e-08)
0.00132005    	(1.437535e-03 4.461846e-04 2.393853e+03)	(1.437462e-03 4.461984e-04 2.393853e+03)	(7.313988e-08 -1.380071e-08 7.683259e-08)
0.00218415    	(1.489517e-03 4.629558e-04 2.393853e+03)	(1.489372e-03 4.629836e-04 2.393853e+03)	(1.455314e-07 -2.779852e-08 1.472573e-07)
0.0032209     	(1.544292e-03 4.827955e-04 2.393853e+03)	(1.544057e-03 4.828406e-04 2.393853e+03)	(2.354358e-07 -4.510506e-08 2.334297e-07)
0.004465      	(1.616308e-03 5.082078e-04 2.393853e+03)	(1.615960e-03 5.082745e-04 2.393853e+03)	(3.479801e-07 -6.666003e-08 3.408356e-07)
0.00594977    	(1.680011e-03 5.303176e-04 2.393853e+03)	(1.679523e-03 5.304108e-04 2.393853e+03)	(4.871527e-07 -9.317312e-08 4.732005e-07)
0.00771286    	(1.750755e-03 5.556346e-04 2.393853e+03)	(1.750096e-03 5.557603e-04 2.393853e+03)	(6.586195e-07 -1.256777e-07 6.359289e-07)
0.00977314    	(1.835323e-03 5.874358e-04 2.393853e+03)	(1.834455e-03 5.876009e-04 2.393853e+03)	(8.673399e-07 -1.650831e-07 8.338718e-07)
0.0121368     	(1.916589e-03 6.159565e-04 2.393853e+03)	(1.915473e-03 6.161684e-04 2.393853e+03)	(1.116286e-06 -2.119288e-07 1.068705e-06)
0.0148015     	(2.011136e-03 6.510652e-04 2.393853e+03)	(2.009727e-03 6.513320e-04 2.393853e+03)	(1.408811e-06 -2.668658e-07 1.343788e-06)
0.0177645     	(2.103832e-03 6.850680e-04 2.393853e+03)	(2.102086e-03 6.853983e-04 2.393853e+03)	(1.746793e-06 -3.303050e-07 1.660112e-06)
0.0210793     	(2.212348e-03 7.261892e-04 2.393853e+03)	(2.210207e-03 7.265936e-04 2.393853e+03)	(2.141202e-06 -4.043144e-07 2.028429e-06)
0.0248343     	(2.350180e-03 7.809284e-04 2.393853e+03)	(2.347569e-03 7.814212e-04 2.393853e+03)	(2.610947e-06 -4.927192e-07 2.466728e-06)
0.0291096     	(2.505951e-03 8.398053e-04 2.393853e+03)	(2.502774e-03 8.404049e-04 2.393853e+03)	(3.176658e-06 -5.995154e-07 2.991661e-06)
0.033988      	(2.700007e-03 9.135050e-04 2.393853e+03)	(2.696141e-03 9.142351e-04 2.393853e+03)	(3.866376e-06 -7.301017e-07 3.627304e-06)
0.0395417     	(2.963788e-03 1.018191e-03 2.393852e+03)	(2.959069e-03 1.019083e-03 2.393852e+03)	(4.718911e-06 -8.917268e-07 4.408844e-06)
0.0458253     	(3.272564e-03 1.133703e-03 2.393852e+03)	(3.266787e-03 1.134795e-03 2.393852e+03)	(5.776680e-06 -1.092188e-06 5.365190e-06)
0.0529314     	(3.678471e-03 1.287012e-03 2.393852e+03)	(3.671360e-03 1.288356e-03 2.393852e+03)	(7.111212e-06 -1.344820e-06 6.555777e-06)
0.0609771     	(4.205897e-03 1.486947e-03 2.393852e+03)	(4.197071e-03 1.488616e-03 2.393852e+03)	(8.825668e-06 -1.668701e-06 8.063201e-06)
0.0701234     	(4.915334e-03 1.755935e-03 2.393852e+03)	(4.904247e-03 1.758029e-03 2.393852e+03)	(1.108670e-05 -2.094527e-06 1.002149e-05)
0.0804991     	(5.875046e-03 2.126387e-03 2.393851e+03)	(5.860922e-03 2.129051e-03 2.393851e+03)	(1.412390e-05 -2.664028e-06 1.262319e-05)
