# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00060006    	(-2.211249e-07 3.428572e-05 -1.906716e-04)	(-2.227925e-07 3.428330e-05 -1.906701e-04)	(1.667665e-09 2.427786e-09 -1.552258e-09)
0.00132005    	(-1.340541e-05 2.541846e-05 -2.000380e-04)	(-1.341373e-05 2.540654e-05 -2.000305e-04)	(8.314897e-09 1.192111e-08 -7.490816e-09)
0.00218415    	(-1.054377e-05 2.969625e-05 -2.112509e-04)	(-1.056061e-05 2.967226e-05 -2.112358e-04)	(1.683295e-08 2.399131e-08 -1.501055e-08)
0.0032209     	(-1.357505e-05 2.826119e-05 -2.179255e-04)	(-1.360228e-05 2.822241e-05 -2.179012e-04)	(2.722054e-08 3.878679e-08 -2.430823e-08)
0.004465      	(-1.610079e-05 2.779563e-05 -2.278670e-04)	(-1.614092e-05 2.773840e-05 -2.278311e-04)	(4.013794e-08 5.722736e-08 -3.593881e-08)
0.00594977    	(-1.813188e-05 2.758635e-05 -2.368934e-04)	(-1.818792e-05 2.750639e-05 -2.368431e-04)	(5.603635e-08 7.995936e-08 -5.032576e-08)
0.00771286    	(-2.042223e-05 2.733161e-05 -2.467587e-04)	(-2.049777e-05 2.722372e-05 -2.466906e-04)	(7.554223e-08 1.078943e-07 -6.804350e-08)
0.00977314    	(-2.339063e-05 2.682064e-05 -2.581005e-04)	(-2.348980e-05 2.667883e-05 -2.580109e-04)	(9.917679e-08 1.418139e-07 -8.956339e-08)
0.0121368     	(-2.634888e-05 2.619502e-05 -2.692782e-04)	(-2.647605e-05 2.601295e-05 -2.691630e-04)	(1.271646e-07 1.820713e-07 -1.151938e-07)
0.0148015     	(-2.994551e-05 2.534555e-05 -2.818191e-04)	(-3.010533e-05 2.511638e-05 -2.816739e-04)	(1.598232e-07 2.291727e-07 -1.452151e-07)
0.0177645     	(-3.356265e-05 2.442354e-05 -2.942232e-04)	(-3.375991e-05 2.414022e-05 -2.940434e-04)	(1.972672e-07 2.833188e-07 -1.797881e-07)
0.0210793     	(-3.781058e-05 2.334602e-05 -3.084317e-04)	(-3.805124e-05 2.299977e-05 -3.082118e-04)	(2.406589e-07 3.462449e-07 -2.199523e-07)
0.0248343     	(-4.359973e-05 2.162002e-05 -3.257139e-04)	(-4.389162e-05 2.119919e-05 -3.254465e-04)	(2.918949e-07 4.208257e-07 -2.674397e-07)
0.0291096     	(-5.038059e-05 1.937236e-05 -3.455771e-04)	(-5.073345e-05 1.886241e-05 -3.452529e-04)	(3.528612e-07 5.099473e-07 -3.242288e-07)
0.033988      	(-5.924473e-05 1.614771e-05 -3.698217e-04)	(-5.967079e-05 1.553018e-05 -3.694288e-04)	(4.260594e-07 6.175308e-07 -3.928953e-07)
0.0395417     	(-7.195178e-05 1.116635e-05 -4.009588e-04)	(-7.246653e-05 1.041744e-05 -4.004821e-04)	(5.147539e-07 7.489042e-07 -4.767446e-07)
0.0458253     	(-8.724810e-05 4.784077e-06 -4.387618e-04)	(-8.787018e-05 3.874862e-06 -4.381820e-04)	(6.220815e-07 9.092149e-07 -5.798203e-07)
0.0529314     	(-1.076498e-04 -3.890849e-06 -4.875489e-04)	(-1.084036e-04 -4.998733e-06 -4.868404e-04)	(7.538112e-07 1.107884e-06 -7.084656e-07)
0.0609771     	(-1.347881e-04 -1.578998e-05 -5.497551e-04)	(-1.357059e-04 -1.714798e-05 -5.488834e-04)	(9.178029e-07 1.358004e-06 -8.717143e-07)
0.0701234     	(-1.717771e-04 -3.230381e-05 -6.331867e-04)	(-1.729039e-04 -3.398463e-05 -6.321024e-04)	(1.126837e-06 1.680819e-06 -1.084329e-06)
0.0804991     	(-2.226010e-04 -5.532097e-05 -7.420424e-04)	(-2.239989e-04 -5.742618e-05 -7.406769e-04)	(1.397858e-06 2.105202e-06 -1.365508e-06)
0.0923479     	(-2.878219e-04 -8.590883e-05 -8.813067e-04)	(-2.895759e-04 -8.857959e-05 -8.795613e-04)	(1.753967e-06 2.670760e-06 -1.745405e-06)
0.105877      	(-3.783309e-04 -1.285841e-04 -1.068779e-03)	(-3.805635e-04 -1.320265e-04 -1.066510e-03)	(2.232628e-06 3.442407e-06 -2.268979e-06)
0.121153      	(-5.010385e-04 -1.866680e-04 -1.325239e-03)	(-5.039192e-04 -1.911707e-04 -1.322240e-03)	(2.880741e-06 4.502704e-06 -2.998718e-06)
0.13749       	(-6.581885e-04 -2.611903e-04 -1.653290e-03)	(-6.618986e-04 -2.670722e-04 -1.649320e-03)	(3.710074e-06 5.881981e-06 -3.969845e-06)
0.152633      	(-8.326993e-04 -3.466435e-04 -2.040782e-03)	(-8.372948e-04 -3.540307e-04 -2.035674e-03)	(4.595521e-06 7.387204e-06 -5.108077e-06)
0.166953      	(-1.046909e-03 -4.566630e-04 -2.471951e-03)	(-1.052442e-03 -4.656929e-04 -2.465557e-03)	(5.533041e-06 9.029835e-06 -6.393881e-06)
0.180432      	(-1.299363e-03 -5.937282e-04 -2.948385e-03)	(-1.305874e-03 -6.045222e-04 -2.940563e-03)	(6.511277e-06 1.079403e-05 -7.821907e-06)
0.193156      	(-1.588882e-03 -7.573019e-04 -3.461631e-03)	(-1.596400e-03 -7.699675e-04 -3.452244e-03)	(7.517694e-06 1.266562e-05 -9.387174e-06)
0.204449      	(-1.893655e-03 -9.352893e-04 -3.977605e-03)	(-1.902126e-03 -9.497844e-04 -3.966637e-03)	(8.471146e-06 1.449519e-05 -1.096713e-05)
0.214768      	(-2.214886e-03 -1.127510e-03 -4.482940e-03)	(-2.224272e-03 -1.143819e-03 -4.470363e-03)	(9.386275e-06 1.630910e-05 -1.257711e-05)
0.224115      	(-2.543604e-03 -1.328443e-03 -4.970142e-03)	(-2.553850e-03 -1.346513e-03 -4.955964e-03)	(1.024545e-05 1.806927e-05 -1.417764e-05)
0.232863      	(-2.883655e-03 -1.539959e-03 -5.441444e-03)	(-2.894725e-03 -1.559775e-03 -5.425643e-03)	(1.106967e-05 1.981683e-05 -1.580077e-05)
0.241525      	(-3.249900e-03 -1.770936e-03 -5.916394e-03)	(-3.261798e-03 -1.792577e-03 -5.898866e-03)	(1.189822e-05 2.164061e-05 -1.752772e-05)
0.250318      	(-3.653113e-03 -2.028556e-03 -6.409118e-03)	(-3.665857e-03 -2.052139e-03 -6.389716e-03)	(1.274371e-05 2.358249e-05 -1.940188e-05)
0.25861       	(-4.068986e-03 -2.298250e-03 -6.892906e-03)	(-4.082524e-03 -2.323742e-03 -6.871625e-03)	(1.353765e-05 2.549179e-05 -2.128096e-05)
0.26649       	(-4.493541e-03 -2.576828e-03 -7.357254e-03)	(-4.507823e-03 -2.604199e-03 -7.334090e-03)	(1.428135e-05 2.737079e-05 -2.316420e-05)
0.274194      	(-4.934552e-03 -2.869188e-03 -7.809852e-03)	(-4.949542e-03 -2.898451e-03 -7.784759e-03)	(1.499020e-05 2.926269e-05 -2.509356e-05)
0.281899      	(-5.401035e-03 -3.181440e-03 -8.259367e-03)	(-5.416708e-03 -3.212642e-03 -8.232262e-03)	(1.567256e-05 3.120140e-05 -2.710494e-05)
0.28989       	(-5.910755e-03 -3.526094e-03 -8.716054e-03)	(-5.927100e-03 -3.559352e-03 -8.686786e-03)	(1.634577e-05 3.325850e-05 -2.926857e-05)
0.298072      	(-6.463770e-03 -3.903530e-03 -9.177948e-03)	(-6.480754e-03 -3.938928e-03 -9.146388e-03)	(1.698365e-05 3.539793e-05 -3.156008e-05)
0.306334      	(-7.052605e-03 -4.309304e-03 -9.632915e-03)	(-7.070166e-03 -4.346882e-03 -9.598972e-03)	(1.756121e-05 3.757769e-05 -3.394372e-05)
0.315201      	(-7.712814e-03 -4.767633e-03 -1.010199e-02)	(-7.730904e-03 -4.807554e-03 -1.006543e-02)	(1.809053e-05 3.992065e-05 -3.656233e-05)
0.324358      	(-8.430616e-03 -5.271267e-03 -1.056112e-02)	(-8.449143e-03 -5.313597e-03 -1.052181e-02)	(1.852693e-05 4.232941e-05 -3.931509e-05)
0.333667      	(-9.194754e-03 -5.813285e-03 -1.099053e-02)	(-9.213598e-03 -5.858039e-03 -1.094838e-02)	(1.884417e-05 4.475405e-05 -4.214645e-05)
0.343189      	(-1.000704e-02 -6.394693e-03 -1.138430e-02)	(-1.002607e-02 -6.441886e-03 -1.133925e-02)	(1.902484e-05 4.719272e-05 -4.505069e-05)
