# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.00060006    	smoothSolver	0.000000e+00	0.000000e+00	0	true	smoothSolver	1.000000e+00	1.047020e-02	1	true	GAMG	1.000000e+00	4.908720e-03	3	true	smoothSolver	1.368030e-03	1.017460e-04	1	true
0.00132005    	smoothSolver	1.480940e-04	3.730760e-09	2	true	smoothSolver	1.300420e-01	1.058540e-05	1	true	GAMG	9.234110e-04	7.306060e-06	7	true	smoothSolver	2.387740e-05	2.175610e-08	1	true
0.00218415    	smoothSolver	2.256320e-04	5.004830e-10	3	true	smoothSolver	6.051130e-02	7.091010e-06	1	true	GAMG	1.148490e-03	7.546430e-06	3	true	smoothSolver	2.841160e-05	2.738160e-08	1	true
0.0032209     	smoothSolver	1.917730e-04	4.046870e-10	3	true	smoothSolver	4.316710e-02	8.461570e-06	1	true	GAMG	1.047780e-03	8.664370e-06	3	true	smoothSolver	3.429010e-05	5.615270e-08	1	true
0.004465      	smoothSolver	2.229190e-04	7.620550e-10	3	true	smoothSolver	3.545750e-02	1.101440e-05	1	true	GAMG	1.004650e-03	6.563280e-06	3	true	smoothSolver	4.189350e-05	1.307540e-07	1	true
0.00594977    	smoothSolver	2.653640e-04	1.998020e-09	3	true	smoothSolver	3.128250e-02	1.618590e-05	1	true	GAMG	1.100490e-03	4.516160e-06	3	true	smoothSolver	5.189940e-05	3.049700e-07	1	true
0.00771286    	smoothSolver	3.147810e-04	5.158910e-09	3	true	smoothSolver	2.894370e-02	2.366760e-05	1	true	GAMG	1.244910e-03	1.136950e-05	2	true	smoothSolver	6.567850e-05	8.013800e-07	1	true
0.00977314    	smoothSolver	3.769950e-04	3.078900e-10	4	true	smoothSolver	2.744970e-02	3.710390e-05	1	true	GAMG	1.397820e-03	1.290600e-05	2	true	smoothSolver	8.533620e-05	1.844980e-06	1	true
0.0121368     	smoothSolver	4.410020e-04	8.592360e-10	4	true	smoothSolver	2.647650e-02	5.568230e-05	1	true	GAMG	1.559280e-03	1.443140e-05	2	true	smoothSolver	1.122880e-04	2.905880e-06	1	true
0.0148015     	smoothSolver	5.055100e-04	3.077770e-09	4	true	smoothSolver	2.593840e-02	8.660850e-05	1	true	GAMG	1.651150e-03	1.566060e-05	2	true	smoothSolver	1.533270e-04	6.022350e-06	1	true
0.0177645     	smoothSolver	5.718580e-04	5.602200e-09	4	true	smoothSolver	2.588350e-02	1.325770e-04	1	true	GAMG	1.761170e-03	1.646040e-05	2	true	smoothSolver	2.139700e-04	1.192900e-05	1	true
0.0210793     	smoothSolver	6.564280e-04	1.189410e-09	5	true	smoothSolver	2.676870e-02	2.059220e-04	1	true	GAMG	1.686010e-03	1.639700e-05	2	true	smoothSolver	2.907720e-04	2.059020e-05	1	true
0.0248343     	smoothSolver	7.460060e-04	2.850470e-09	5	true	smoothSolver	2.858720e-02	3.305470e-04	1	true	GAMG	1.737020e-03	6.387040e-06	3	true	smoothSolver	3.912600e-04	3.481990e-05	1	true
0.0291096     	smoothSolver	8.265530e-04	8.283170e-09	5	true	smoothSolver	3.135980e-02	5.466270e-04	1	true	GAMG	2.097160e-03	2.078510e-05	2	true	smoothSolver	5.177440e-04	1.081100e-05	2	true
0.033988      	smoothSolver	9.212990e-04	2.450540e-09	6	true	smoothSolver	3.524620e-02	8.849240e-04	1	true	GAMG	2.285760e-03	8.184010e-06	3	true	smoothSolver	6.891520e-04	1.783790e-05	2	true
0.0395417     	smoothSolver	1.015390e-03	6.215000e-09	6	true	smoothSolver	4.042070e-02	1.397810e-03	1	true	GAMG	2.661890e-03	2.621680e-05	2	true	smoothSolver	8.694580e-04	2.526470e-05	2	true
0.0458253     	smoothSolver	1.118470e-03	1.890360e-09	7	true	smoothSolver	4.705650e-02	2.134130e-03	1	true	GAMG	3.097560e-03	3.086120e-05	2	true	smoothSolver	1.042440e-03	3.370730e-05	2	true
0.0529314     	smoothSolver	1.250920e-03	4.843020e-09	7	true	smoothSolver	5.563990e-02	3.254540e-03	1	true	GAMG	3.341390e-03	3.202650e-05	2	true	smoothSolver	1.248190e-03	4.437340e-05	2	true
0.0609771     	smoothSolver	1.415910e-03	9.363040e-09	7	true	smoothSolver	6.664640e-02	4.925740e-03	1	true	GAMG	3.409240e-03	1.079120e-05	3	true	smoothSolver	1.507590e-03	5.757610e-05	2	true
0.0701234     	smoothSolver	1.592960e-03	3.503630e-09	8	true	smoothSolver	7.968640e-02	7.467970e-03	1	true	GAMG	3.411990e-03	1.527250e-05	3	true	smoothSolver	1.855220e-03	7.885330e-05	2	true
0.0804991     	smoothSolver	1.872910e-03	6.852460e-09	8	true	smoothSolver	9.422290e-02	2.660180e-03	2	true	GAMG	3.225640e-03	1.583750e-05	3	true	smoothSolver	2.317680e-03	1.056950e-04	2	true
0.0923479     	smoothSolver	2.192310e-03	3.434210e-09	9	true	smoothSolver	1.139650e-01	4.544500e-03	2	true	GAMG	3.584180e-03	1.459920e-05	3	true	smoothSolver	2.921450e-03	1.564570e-04	2	true
0.105877      	smoothSolver	2.602940e-03	9.665970e-09	9	true	smoothSolver	1.398910e-01	8.016520e-03	2	true	GAMG	3.741960e-03	1.743920e-05	3	true	smoothSolver	3.726760e-03	2.329240e-04	2	true
