# y+ ()       
# Time        	patch         	min           	max           	average       
2             	bottom	9.060082e-01	3.168470e+02	4.043111e+01
2             	cylinder	7.433879e-01	5.042218e+01	1.070365e+01
2             	frontAndBack	3.680683e-01	4.809380e+02	6.117402e+01
4             	bottom	4.689869e-01	1.526996e+02	6.888497e+01
4             	cylinder	3.913550e-01	2.608363e+01	1.247093e+01
4             	frontAndBack	5.910207e-01	1.872891e+02	5.187589e+01
6             	bottom	3.859622e-01	1.680352e+02	6.242177e+01
6             	cylinder	3.166787e-01	2.046650e+01	9.869802e+00
6             	frontAndBack	2.275140e-01	1.580428e+02	4.626390e+01
8             	bottom	3.204413e-01	1.588004e+02	6.799060e+01
8             	cylinder	2.671527e-01	2.145161e+01	1.104472e+01
8             	frontAndBack	2.144616e-01	1.564489e+02	4.863916e+01
10            	bottom	1.624827e+00	1.632870e+02	7.988863e+01
10            	cylinder	1.355092e+00	3.172993e+01	1.533054e+01
10            	frontAndBack	2.088949e-01	1.644186e+02	5.468048e+01
12            	bottom	2.419368e+00	1.987765e+02	8.746172e+01
12            	cylinder	2.020519e+00	3.817503e+01	1.792556e+01
12            	frontAndBack	1.529228e-01	1.830584e+02	5.623916e+01
14            	bottom	1.803560e+00	1.933410e+02	8.765998e+01
14            	cylinder	1.504522e+00	4.023672e+01	1.825255e+01
14            	frontAndBack	2.619299e-01	1.879435e+02	5.505435e+01
16            	bottom	2.273629e+00	1.837357e+02	8.725314e+01
16            	cylinder	1.898450e+00	4.145178e+01	1.875654e+01
16            	frontAndBack	2.375789e-01	1.796582e+02	5.438859e+01
