# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000600024   	(-1.532109e-02 6.622915e-02 8.668076e+02)	(-1.532111e-02 6.622916e-02 8.668076e+02)	(1.634701e-08 -4.555154e-09 -8.746288e-09)
0.00132009    	(-1.533216e-02 6.621659e-02 8.668074e+02)	(-1.533226e-02 6.621661e-02 8.668074e+02)	(9.774958e-08 -1.963436e-08 5.470159e-08)
0.00218416    	(-1.534707e-02 6.620855e-02 8.668075e+02)	(-1.534726e-02 6.620858e-02 8.668075e+02)	(1.941307e-07 -3.758877e-08 1.298155e-07)
0.00322105    	(-1.530721e-02 6.622398e-02 8.668075e+02)	(-1.530752e-02 6.622404e-02 8.668075e+02)	(3.128128e-07 -5.957860e-08 2.213807e-07)
0.00446527    	(-1.526792e-02 6.623904e-02 8.668075e+02)	(-1.526837e-02 6.623913e-02 8.668075e+02)	(4.586515e-07 -8.641924e-08 3.335830e-07)
0.00595826    	(-1.523208e-02 6.625260e-02 8.668075e+02)	(-1.523272e-02 6.625272e-02 8.668075e+02)	(6.372324e-07 -1.190662e-07 4.707285e-07)
0.00775017    	(-1.518591e-02 6.627108e-02 8.668075e+02)	(-1.518677e-02 6.627124e-02 8.668075e+02)	(8.569643e-07 -1.588908e-07 6.393096e-07)
0.00990014    	(-1.512827e-02 6.629441e-02 8.668075e+02)	(-1.512940e-02 6.629462e-02 8.668075e+02)	(1.128582e-06 -2.077266e-07 8.477814e-07)
0.0124803     	(-1.505650e-02 6.632239e-02 8.668075e+02)	(-1.505797e-02 6.632266e-02 8.668075e+02)	(1.466894e-06 -2.680821e-07 1.106332e-06)
0.0155104     	(-1.496085e-02 6.636252e-02 8.668075e+02)	(-1.496273e-02 6.636286e-02 8.668075e+02)	(1.882534e-06 -3.416672e-07 1.423901e-06)
0.0189839     	(-1.487729e-02 6.639430e-02 8.668075e+02)	(-1.487966e-02 6.639472e-02 8.668075e+02)	(2.377400e-06 -4.288800e-07 1.800036e-06)
0.0229944     	(-1.475256e-02 6.644812e-02 8.668075e+02)	(-1.475554e-02 6.644866e-02 8.668075e+02)	(2.978971e-06 -5.341961e-07 2.257806e-06)
0.0276809     	(-1.460400e-02 6.651015e-02 8.668076e+02)	(-1.460772e-02 6.651082e-02 8.668076e+02)	(3.725135e-06 -6.642871e-07 2.824585e-06)
0.033163      	(-1.440674e-02 6.659358e-02 8.668076e+02)	(-1.441141e-02 6.659441e-02 8.668076e+02)	(4.665471e-06 -8.273395e-07 3.536921e-06)
0.0395718     	(-1.412746e-02 6.671628e-02 8.668076e+02)	(-1.413334e-02 6.671732e-02 8.668076e+02)	(5.875048e-06 -1.035393e-06 4.453741e-06)
0.0469976     	(-1.378372e-02 6.686053e-02 8.668076e+02)	(-1.379116e-02 6.686183e-02 8.668076e+02)	(7.438390e-06 -1.302654e-06 5.627479e-06)
0.0555226     	(-1.334069e-02 6.704417e-02 8.668077e+02)	(-1.335016e-02 6.704581e-02 8.668077e+02)	(9.475118e-06 -1.645176e-06 7.137764e-06)
0.0653331     	(-1.271182e-02 6.731067e-02 8.668077e+02)	(-1.272403e-02 6.731278e-02 8.668077e+02)	(1.221212e-05 -2.108338e-06 9.156376e-06)
0.0767033     	(-1.186364e-02 6.766431e-02 8.668077e+02)	(-1.187967e-02 6.766706e-02 8.668077e+02)	(1.603026e-05 -2.744745e-06 1.170922e-05)
0.0898672     	(-1.074321e-02 6.812625e-02 8.668078e+02)	(-1.076467e-02 6.813008e-02 8.668078e+02)	(2.146011e-05 -3.832828e-06 1.553282e-05)
0.0973294     	(-1.049733e-02 6.815214e-02 8.668078e+02)	(-1.052255e-02 6.815701e-02 8.668077e+02)	(2.522013e-05 -4.867218e-06 1.753265e-05)
0.105976      	(-9.197010e-03 6.868309e-02 8.668079e+02)	(-9.226058e-03 6.868917e-02 8.668079e+02)	(2.904772e-05 -6.074939e-06 2.058415e-05)
0.112928      	(-8.602653e-03 6.891818e-02 8.668078e+02)	(-8.635688e-03 6.892404e-02 8.668078e+02)	(3.303476e-05 -5.863910e-06 2.273226e-05)
0.12081       	(-7.387589e-03 6.945258e-02 8.668079e+02)	(-7.425795e-03 6.945912e-02 8.668078e+02)	(3.820654e-05 -6.542763e-06 2.555119e-05)
0.129947      	(-6.062343e-03 6.999401e-02 8.668078e+02)	(-6.107124e-03 7.000168e-02 8.668078e+02)	(4.478071e-05 -7.669906e-06 3.011504e-05)
0.13801       	(-4.659856e-03 7.049621e-02 8.668078e+02)	(-4.710713e-03 7.050520e-02 8.668078e+02)	(5.085689e-05 -8.999678e-06 3.448762e-05)
