# Wall shear stress
# Time        	patch         	min           	max           
5             	cylinder	(-3.471449e-03 -2.400821e-03 -3.234894e-03)	(2.572192e-03 1.134807e-03 1.596718e-03)
10            	cylinder	(-5.863346e-03 -3.547941e-03 -6.907035e-03)	(3.167684e-03 2.182143e-03 2.245873e-03)
15            	cylinder	(-6.235503e-03 -3.814387e-03 -5.940724e-03)	(4.296705e-03 2.988926e-03 2.587862e-03)
20            	cylinder	(-6.669637e-03 -4.080703e-03 -6.376327e-03)	(4.483689e-03 2.786268e-03 2.835888e-03)
25            	cylinder	(-6.222612e-03 -4.007802e-03 -6.116091e-03)	(4.420243e-03 3.054902e-03 2.717527e-03)
30            	cylinder	(-6.613263e-03 -4.133383e-03 -6.663478e-03)	(4.370881e-03 3.182952e-03 2.731159e-03)
35            	cylinder	(-6.765601e-03 -4.213359e-03 -6.477473e-03)	(4.429428e-03 3.425240e-03 2.472450e-03)
40            	cylinder	(-6.683301e-03 -4.201992e-03 -6.472375e-03)	(4.437005e-03 3.297374e-03 2.624307e-03)
45            	cylinder	(-6.378507e-03 -4.098212e-03 -6.426196e-03)	(4.431146e-03 3.346514e-03 2.952773e-03)
50            	cylinder	(-6.751508e-03 -4.185701e-03 -6.394525e-03)	(4.448979e-03 3.131080e-03 2.674766e-03)
55            	cylinder	(-6.311543e-03 -4.063359e-03 -6.461819e-03)	(4.402912e-03 3.299078e-03 2.812743e-03)
60            	cylinder	(-6.477476e-03 -4.138250e-03 -6.431716e-03)	(4.417021e-03 3.390651e-03 2.970980e-03)
65            	cylinder	(-6.538977e-03 -4.081485e-03 -6.455103e-03)	(4.394748e-03 3.148873e-03 2.793578e-03)
70            	cylinder	(-6.697292e-03 -4.075625e-03 -6.492304e-03)	(4.397590e-03 3.247476e-03 2.716695e-03)
75            	cylinder	(-6.368347e-03 -4.120278e-03 -6.461789e-03)	(4.387993e-03 3.244764e-03 2.549696e-03)
80            	cylinder	(-6.436749e-03 -4.132528e-03 -6.470148e-03)	(4.406428e-03 3.354850e-03 2.537446e-03)
85            	cylinder	(-7.005866e-03 -4.213332e-03 -6.471401e-03)	(4.422497e-03 2.885909e-03 2.687638e-03)
90            	cylinder	(-6.328770e-03 -4.073248e-03 -6.443617e-03)	(4.407465e-03 3.066910e-03 2.775067e-03)
