# y+ ()       
# Time        	patch         	min           	max           	average       
5             	bottom	2.911865e-01	1.595957e+02	5.762308e+01
5             	cylinder	1.899051e-01	1.997494e+01	8.050392e+00
5             	frontAndBack	2.725461e-01	1.642747e+02	4.706021e+01
10            	bottom	2.949677e-01	1.655955e+02	7.732313e+01
10            	cylinder	2.396857e-01	3.577913e+01	1.279565e+01
10            	frontAndBack	1.987767e-01	1.771828e+02	5.364973e+01
15            	bottom	1.871776e-01	1.777369e+02	8.508880e+01
15            	cylinder	1.480708e-01	3.637331e+01	1.454216e+01
15            	frontAndBack	2.511632e-01	1.794508e+02	5.259758e+01
20            	bottom	3.003600e-01	1.794685e+02	8.615827e+01
20            	cylinder	3.840699e-01	3.753087e+01	1.544484e+01
20            	frontAndBack	3.355359e-01	1.742963e+02	5.156162e+01
25            	bottom	2.336371e-01	1.920729e+02	8.627609e+01
25            	cylinder	2.788384e-01	3.635193e+01	1.575740e+01
25            	frontAndBack	3.160932e-01	1.843205e+02	5.161518e+01
30            	bottom	1.335529e-01	2.007206e+02	8.754034e+01
30            	cylinder	2.071289e-01	3.647353e+01	1.606865e+01
30            	frontAndBack	2.022004e-01	1.853911e+02	5.224061e+01
35            	bottom	4.687144e-01	1.743984e+02	8.741617e+01
35            	cylinder	4.420042e-01	4.204579e+01	1.625369e+01
35            	frontAndBack	1.632172e-01	1.811094e+02	5.223755e+01
40            	bottom	4.154941e-01	1.851109e+02	8.700283e+01
40            	cylinder	2.221078e-01	3.833612e+01	1.627581e+01
40            	frontAndBack	2.559663e-01	1.759542e+02	5.213530e+01
45            	bottom	1.238154e-01	1.749408e+02	8.695482e+01
45            	cylinder	1.885467e-01	4.117221e+01	1.596181e+01
45            	frontAndBack	2.928101e-01	1.760661e+02	5.212247e+01
50            	bottom	1.146562e-01	1.802722e+02	8.685596e+01
50            	cylinder	1.699080e-01	3.865181e+01	1.594037e+01
50            	frontAndBack	2.950617e-01	1.768422e+02	5.203312e+01
55            	bottom	7.066854e-02	1.870830e+02	8.704880e+01
55            	cylinder	1.450351e-01	4.203820e+01	1.576605e+01
55            	frontAndBack	3.172449e-01	1.732879e+02	5.201866e+01
60            	bottom	2.227328e-01	1.890860e+02	8.701317e+01
60            	cylinder	2.381072e-01	4.043261e+01	1.601352e+01
60            	frontAndBack	2.544181e-01	1.788159e+02	5.202728e+01
65            	bottom	1.281749e-01	1.947375e+02	8.697468e+01
65            	cylinder	1.713978e-01	3.817031e+01	1.596164e+01
65            	frontAndBack	3.236181e-01	1.745355e+02	5.191443e+01
70            	bottom	1.043097e-01	2.007186e+02	8.693238e+01
70            	cylinder	1.613134e-01	4.070529e+01	1.588472e+01
70            	frontAndBack	3.329642e-01	1.748504e+02	5.198404e+01
75            	bottom	1.541505e-01	1.939491e+02	8.708845e+01
75            	cylinder	2.188485e-01	3.865635e+01	1.591929e+01
75            	frontAndBack	2.998763e-01	1.735487e+02	5.206409e+01
80            	bottom	1.176382e-01	1.923317e+02	8.709369e+01
80            	cylinder	1.543402e-01	3.913819e+01	1.587085e+01
80            	frontAndBack	3.345866e-01	1.726612e+02	5.196638e+01
85            	bottom	2.791660e-02	1.762308e+02	8.688259e+01
85            	cylinder	9.567835e-02	3.648833e+01	1.596918e+01
85            	frontAndBack	3.062358e-01	1.767398e+02	5.196235e+01
90            	bottom	2.265879e-01	1.798427e+02	8.692371e+01
90            	cylinder	2.482831e-01	3.739329e+01	1.598715e+01
90            	frontAndBack	3.214277e-01	1.740650e+02	5.199913e+01
