# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000600024   	(-1.906143e-03 -5.043226e-06 2.398524e+03)	(-1.906144e-03 -5.043322e-06 2.398524e+03)	(2.735717e-10 9.524284e-11 7.950509e-08)
0.00123689    	(-1.948834e-03 3.956766e-07 2.398525e+03)	(-1.948834e-03 3.955180e-07 2.398525e+03)	(2.761407e-10 1.586930e-10 3.039502e-07)
0.00156543    	(-2.016942e-03 4.087200e-09 2.398524e+03)	(-2.016942e-03 3.926139e-09 2.398524e+03)	(-2.710071e-10 1.610607e-10 4.073062e-07)
0.00187576    	(-1.998692e-03 4.000229e-08 2.398524e+03)	(-1.998691e-03 3.983802e-08 2.398524e+03)	(-7.585192e-10 1.642680e-10 5.056048e-07)
0.00221796    	(-1.997776e-03 7.747481e-08 2.398524e+03)	(-1.997775e-03 7.730560e-08 2.398524e+03)	(-1.423746e-09 1.692112e-10 6.144779e-07)
0.00259984    	(-1.995177e-03 8.255837e-08 2.398524e+03)	(-1.995175e-03 8.238386e-08 2.398524e+03)	(-2.136376e-09 1.745055e-10 7.352521e-07)
0.00302895    	(-1.993578e-03 8.708037e-08 2.398524e+03)	(-1.993575e-03 8.690024e-08 2.398524e+03)	(-2.949247e-09 1.801329e-10 8.709186e-07)
0.00351443    	(-1.992424e-03 7.066115e-08 2.398524e+03)	(-1.992420e-03 7.047656e-08 2.398524e+03)	(-3.900475e-09 1.845890e-10 1.024101e-06)
0.00406361    	(-1.990636e-03 4.880031e-08 2.398524e+03)	(-1.990631e-03 4.861390e-08 2.398524e+03)	(-5.002811e-09 1.864058e-10 1.197098e-06)
0.00468662    	(-1.988520e-03 6.283137e-08 2.398524e+03)	(-1.988513e-03 6.264123e-08 2.398524e+03)	(-6.254838e-09 1.901431e-10 1.392689e-06)
0.00539649    	(-1.985168e-03 3.596548e-08 2.398524e+03)	(-1.985160e-03 3.577393e-08 2.398524e+03)	(-7.655984e-09 1.915573e-10 1.614656e-06)
0.00619537    	(-1.981323e-03 -8.502402e-09 2.398524e+03)	(-1.981314e-03 -8.689915e-09 2.398524e+03)	(-9.178716e-09 1.875131e-10 1.863284e-06)
0.00701997    	(-1.977710e-03 2.507854e-08 2.398524e+03)	(-1.977699e-03 2.489054e-08 2.398524e+03)	(-1.062828e-08 1.879943e-10 2.117924e-06)
0.00788847    	(-1.975025e-03 2.822168e-07 2.398524e+03)	(-1.975013e-03 2.819880e-07 2.398524e+03)	(-1.211996e-08 2.288494e-10 2.384105e-06)
0.00868964    	(-1.972168e-03 -2.396786e-07 2.398524e+03)	(-1.972155e-03 -2.398689e-07 2.398524e+03)	(-1.327892e-08 1.903380e-10 2.627667e-06)
0.00948204    	(-1.969428e-03 -3.702776e-09 2.398524e+03)	(-1.969414e-03 -3.889459e-09 2.398524e+03)	(-1.438139e-08 1.866839e-10 2.866634e-06)
0.0102888     	(-1.966448e-03 -1.610109e-08 2.398524e+03)	(-1.966432e-03 -1.628296e-08 2.398524e+03)	(-1.544875e-08 1.818662e-10 3.107725e-06)
0.0111194     	(-1.965140e-03 -7.306175e-08 2.398524e+03)	(-1.965123e-03 -7.323106e-08 2.398524e+03)	(-1.651088e-08 1.693024e-10 3.353071e-06)
0.0119791     	(-1.958859e-03 -8.144103e-07 2.398524e+03)	(-1.958841e-03 -8.144542e-07 2.398524e+03)	(-1.737402e-08 4.390546e-11 3.603399e-06)
0.0128694     	(-1.956489e-03 9.851534e-07 2.398524e+03)	(-1.956471e-03 9.849537e-07 2.398524e+03)	(-1.823837e-08 1.997046e-10 3.859314e-06)
0.013791      	(-1.956622e-03 -4.311606e-08 2.398524e+03)	(-1.956603e-03 -4.330654e-08 2.398524e+03)	(-1.926177e-08 1.904817e-10 4.120243e-06)
0.0147481     	(-1.955538e-03 2.378652e-08 2.398524e+03)	(-1.955517e-03 2.359285e-08 2.398524e+03)	(-2.053234e-08 1.936748e-10 4.386538e-06)
0.015756      	(-1.947619e-03 6.699750e-08 2.398524e+03)	(-1.947598e-03 6.679286e-08 2.398524e+03)	(-2.119772e-08 2.046401e-10 4.662602e-06)
0.0168235     	(-1.948378e-03 7.341773e-08 2.398524e+03)	(-1.948356e-03 7.320122e-08 2.398524e+03)	(-2.197791e-08 2.165075e-10 4.948746e-06)
0.0179336     	(-1.948922e-03 6.249688e-08 2.398524e+03)	(-1.948900e-03 6.226931e-08 2.398524e+03)	(-2.282411e-08 2.275756e-10 5.239072e-06)
0.0190955     	(-1.945537e-03 1.600783e-07 2.398524e+03)	(-1.945513e-03 1.598190e-07 2.398524e+03)	(-2.362195e-08 2.592200e-10 5.535176e-06)
0.0203275     	(-1.944208e-03 9.139309e-08 2.398524e+03)	(-1.944184e-03 9.111625e-08 2.398524e+03)	(-2.447621e-08 2.768453e-10 5.838574e-06)
0.0216372     	(-1.934028e-03 1.415584e-07 2.398524e+03)	(-1.934003e-03 1.412505e-07 2.398524e+03)	(-2.466322e-08 3.078408e-10 6.148675e-06)
0.0230267     	(-1.938446e-03 1.680989e-07 2.398523e+03)	(-1.938420e-03 1.677490e-07 2.398523e+03)	(-2.502837e-08 3.498265e-10 6.463266e-06)
0.0245005     	(-1.931972e-03 2.094177e-07 2.398523e+03)	(-1.931948e-03 2.090171e-07 2.398523e+03)	(-2.448505e-08 4.005643e-10 6.779695e-06)
0.0260626     	(-1.926497e-03 5.180581e-07 2.398523e+03)	(-1.926474e-03 5.175148e-07 2.398523e+03)	(-2.311637e-08 5.433696e-10 7.094391e-06)
0.0277284     	(-1.925914e-03 6.711623e-08 2.398523e+03)	(-1.925893e-03 6.655817e-08 2.398523e+03)	(-2.120385e-08 5.580668e-10 7.399158e-06)
0.0295157     	(-1.923868e-03 3.163162e-07 2.398523e+03)	(-1.923849e-03 3.156610e-07 2.398523e+03)	(-1.897079e-08 6.552029e-10 7.691809e-06)
0.0314415     	(-1.925571e-03 3.840908e-07 2.398523e+03)	(-1.925554e-03 3.833083e-07 2.398523e+03)	(-1.672721e-08 7.825540e-10 7.976640e-06)
0.0335256     	(-1.926815e-03 6.032216e-07 2.398523e+03)	(-1.926801e-03 6.022274e-07 2.398523e+03)	(-1.447374e-08 9.941425e-10 8.254629e-06)
0.0357944     	(-1.928933e-03 8.223091e-07 2.398523e+03)	(-1.928921e-03 8.210020e-07 2.398523e+03)	(-1.222934e-08 1.307125e-09 8.522596e-06)
0.0382803     	(-1.935503e-03 9.439129e-07 2.398522e+03)	(-1.935492e-03 9.422091e-07 2.398522e+03)	(-1.081707e-08 1.703789e-09 8.764692e-06)
0.0410291     	(-1.938719e-03 1.078682e-06 2.398522e+03)	(-1.938709e-03 1.076475e-06 2.398522e+03)	(-1.012579e-08 2.206890e-09 8.976420e-06)
0.0440511     	(-1.939980e-03 1.160901e-06 2.398522e+03)	(-1.939970e-03 1.158153e-06 2.398522e+03)	(-9.817313e-09 2.748583e-09 9.156617e-06)
0.0473817     	(-1.946452e-03 1.290143e-06 2.398522e+03)	(-1.946442e-03 1.286728e-06 2.398522e+03)	(-9.792639e-09 3.414745e-09 9.293746e-06)
0.0510694     	(-1.998524e-03 1.016171e-06 2.398521e+03)	(-1.998495e-03 1.012213e-06 2.398521e+03)	(-2.884924e-08 3.958038e-09 9.515235e-06)
0.0551662     	(-1.994633e-03 1.483361e-06 2.398521e+03)	(-1.994585e-03 1.478566e-06 2.398521e+03)	(-4.801029e-08 4.794717e-09 9.748075e-06)
0.0597194     	(-1.978629e-03 1.156668e-06 2.398521e+03)	(-1.978570e-03 1.151204e-06 2.398521e+03)	(-5.918387e-08 5.464622e-09 9.933417e-06)
0.0647864     	(-1.978363e-03 1.040858e-06 2.398520e+03)	(-1.978297e-03 1.034723e-06 2.398520e+03)	(-6.653436e-08 6.134261e-09 1.033008e-05)
0.0704266     	(-1.987914e-03 -2.447927e-08 2.398520e+03)	(-1.987837e-03 -3.053174e-08 2.398520e+03)	(-7.705041e-08 6.052467e-09 1.080751e-05)
0.0767144     	(-2.028619e-03 1.595332e-07 2.398519e+03)	(-2.028513e-03 1.534872e-07 2.398519e+03)	(-1.065133e-07 6.046035e-09 1.134612e-05)
0.0837577     	(-2.032124e-03 7.153672e-07 2.398519e+03)	(-2.031993e-03 7.088930e-07 2.398519e+03)	(-1.301662e-07 6.474252e-09 1.209779e-05)
0.0916237     	(-2.047443e-03 1.360161e-07 2.398519e+03)	(-2.047283e-03 1.296973e-07 2.398519e+03)	(-1.602965e-07 6.318838e-09 1.296222e-05)
0.0998592     	(-2.063043e-03 9.957396e-08 2.398519e+03)	(-2.062855e-03 9.333950e-08 2.398519e+03)	(-1.884285e-07 6.234462e-09 1.388816e-05)
0.107576      	(-2.087809e-03 -5.097609e-07 2.398518e+03)	(-2.087588e-03 -5.153779e-07 2.398518e+03)	(-2.208583e-07 5.616933e-09 1.467046e-05)
0.114922      	(-2.109298e-03 -3.957570e-07 2.398518e+03)	(-2.109043e-03 -4.009162e-07 2.398518e+03)	(-2.552014e-07 5.159236e-09 1.525598e-05)
0.121851      	(-2.138971e-03 -2.436968e-07 2.398517e+03)	(-2.138676e-03 -2.485210e-07 2.398517e+03)	(-2.950343e-07 4.824261e-09 1.563679e-05)
0.127918      	(-2.163395e-03 2.044626e-07 2.398517e+03)	(-2.163059e-03 1.996243e-07 2.398517e+03)	(-3.361543e-07 4.838310e-09 1.580331e-05)
