# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.000600024   	smoothSolver	0.000000e+00	0.000000e+00	0	true	smoothSolver	1.000000e+00	8.674120e-03	1	true	GAMG	1.000000e+00	5.202370e-03	3	true	smoothSolver	1.524940e-03	8.879040e-05	1	true
0.00123689    	smoothSolver	3.512720e-04	2.349930e-09	3	true	smoothSolver	1.309340e-01	2.785530e-05	1	true	GAMG	1.857380e-03	1.375330e-05	8	true	smoothSolver	3.540260e-05	1.217570e-07	1	true
0.00156543    	smoothSolver	1.333360e-04	3.843610e-10	3	true	smoothSolver	3.144560e-02	2.598220e-06	1	true	GAMG	1.492870e-03	1.382500e-05	5	true	smoothSolver	1.919170e-05	3.620690e-08	1	true
0.00187576    	smoothSolver	1.282730e-04	2.372990e-10	3	true	smoothSolver	2.326520e-02	2.006860e-06	1	true	GAMG	1.125140e-03	6.075870e-06	7	true	smoothSolver	1.893040e-05	4.039310e-08	1	true
0.00221796    	smoothSolver	1.490840e-04	5.330510e-10	3	true	smoothSolver	2.139120e-02	2.415810e-06	1	true	GAMG	1.058660e-03	5.686940e-06	5	true	smoothSolver	2.204750e-05	6.338570e-08	1	true
0.00259984    	smoothSolver	1.705690e-04	1.279460e-09	3	true	smoothSolver	2.019050e-02	3.239300e-06	1	true	GAMG	1.333620e-03	7.559700e-06	5	true	smoothSolver	2.605090e-05	1.079660e-07	1	true
0.00302895    	smoothSolver	2.239010e-04	3.498630e-09	3	true	smoothSolver	1.952940e-02	4.439800e-06	1	true	GAMG	1.022360e-03	5.084950e-06	5	true	smoothSolver	3.118230e-05	1.949250e-07	1	true
0.00351443    	smoothSolver	2.754230e-04	9.145700e-09	3	true	smoothSolver	1.919620e-02	6.486860e-06	1	true	GAMG	1.248580e-03	7.724580e-06	4	true	smoothSolver	3.763780e-05	3.318970e-07	1	true
0.00406361    	smoothSolver	3.070860e-04	4.460790e-10	4	true	smoothSolver	1.909500e-02	9.571020e-06	1	true	GAMG	1.121420e-03	6.260700e-06	4	true	smoothSolver	4.610440e-05	5.868200e-07	1	true
0.00468662    	smoothSolver	3.366600e-04	1.136370e-09	4	true	smoothSolver	1.916950e-02	1.408020e-05	1	true	GAMG	1.128910e-03	1.105490e-05	3	true	smoothSolver	5.682190e-05	1.054760e-06	1	true
0.00539649    	smoothSolver	4.117440e-04	3.325670e-09	4	true	smoothSolver	1.946460e-02	2.079750e-05	1	true	GAMG	1.080650e-03	5.615420e-06	4	true	smoothSolver	7.151610e-05	1.815060e-06	1	true
0.00619537    	smoothSolver	4.530150e-04	8.271910e-09	4	true	smoothSolver	1.973100e-02	2.844870e-05	1	true	GAMG	1.262910e-03	1.064070e-05	3	true	smoothSolver	8.973150e-05	2.915320e-06	1	true
