# Wall shear stress
# Time        	patch         	min           	max           
2             	cylinder	(-4.473178e-03 -5.759019e-03 -3.812573e-03)	(1.244643e-03 5.746766e-03 1.319309e-03)
4             	cylinder	(-4.295300e-03 -4.898339e-03 -4.272126e-03)	(2.211090e-03 4.780910e-03 2.359907e-03)
6             	cylinder	(-1.416055e-03 -1.624128e-03 -1.548016e-03)	(4.710540e-04 1.613565e-03 9.992116e-04)
8             	cylinder	(-1.283124e-03 -1.921420e-03 -1.785962e-03)	(4.662713e-04 1.871440e-03 8.420400e-04)
10            	cylinder	(-1.965197e-03 -3.345118e-03 -2.994059e-03)	(8.308994e-04 3.418398e-03 1.679096e-03)
12            	cylinder	(-4.090500e-03 -4.739006e-03 -4.109197e-03)	(1.515898e-03 4.497910e-03 2.950354e-03)
14            	cylinder	(-4.682948e-03 -5.235547e-03 -4.078436e-03)	(1.764655e-03 4.972409e-03 2.860510e-03)
16            	cylinder	(-5.025308e-03 -4.233428e-03 -3.973095e-03)	(1.710375e-03 4.272697e-03 3.105078e-03)
18            	cylinder	(-4.941310e-03 -4.305719e-03 -3.765713e-03)	(1.543835e-03 4.293890e-03 2.981210e-03)
20            	cylinder	(-5.511916e-03 -4.216557e-03 -4.110841e-03)	(1.582737e-03 4.714535e-03 2.905979e-03)
22            	cylinder	(-5.173985e-03 -3.677059e-03 -3.951014e-03)	(1.649931e-03 5.451431e-03 3.051777e-03)
24            	cylinder	(-5.080066e-03 -3.960689e-03 -4.029631e-03)	(1.801794e-03 5.379641e-03 3.105769e-03)
26            	cylinder	(-5.057586e-03 -3.896266e-03 -3.911647e-03)	(1.553356e-03 5.366656e-03 2.982930e-03)
28            	cylinder	(-5.241032e-03 -3.888705e-03 -3.758165e-03)	(1.867728e-03 4.885148e-03 3.112946e-03)
30            	cylinder	(-5.190696e-03 -4.033906e-03 -3.924864e-03)	(1.544486e-03 4.320771e-03 3.164293e-03)
