# y+ ()       
# Time        	patch         	min           	max           	average       
2             	bottom	2.421990e-01	7.386245e+02	9.545506e+01
2             	cylinder	2.287963e-01	6.343693e+01	1.513194e+01
2             	frontAndBack	2.632275e-01	5.242470e+02	7.325279e+01
4             	bottom	6.685152e-01	2.053872e+02	7.962247e+01
4             	cylinder	6.315378e-01	3.829774e+01	2.197659e+01
4             	frontAndBack	7.099463e-01	3.459663e+02	7.006501e+01
6             	bottom	5.095922e-01	2.485015e+02	7.597927e+01
6             	cylinder	4.814017e-01	2.656614e+01	1.199354e+01
6             	frontAndBack	6.531000e-01	3.017037e+02	6.208596e+01
8             	bottom	4.117882e-01	1.723771e+02	7.899279e+01
8             	cylinder	4.348877e-01	2.460269e+01	9.926405e+00
8             	frontAndBack	3.630507e-01	1.844997e+02	6.165612e+01
10            	bottom	3.140187e-01	1.933732e+02	9.126495e+01
10            	cylinder	2.966475e-01	3.007376e+01	1.470808e+01
10            	frontAndBack	7.888453e-01	1.845131e+02	6.892074e+01
12            	bottom	1.928118e-01	2.224713e+02	9.807923e+01
12            	cylinder	1.821437e-01	3.322531e+01	1.905389e+01
12            	frontAndBack	4.982795e-01	1.962114e+02	7.042760e+01
14            	bottom	2.719588e+00	2.022190e+02	1.027241e+02
14            	cylinder	2.569096e+00	3.338738e+01	2.126201e+01
14            	frontAndBack	3.049998e-01	2.157550e+02	6.859992e+01
16            	bottom	1.917698e+00	2.218847e+02	1.056067e+02
16            	cylinder	1.811613e+00	3.257016e+01	2.270237e+01
16            	frontAndBack	1.912856e-01	2.330719e+02	6.747933e+01
18            	bottom	9.280416e-01	2.426338e+02	1.076740e+02
18            	cylinder	8.767027e-01	3.288277e+01	2.283672e+01
18            	frontAndBack	1.538947e-01	2.252684e+02	6.409677e+01
20            	bottom	1.260551e+00	2.203545e+02	1.098999e+02
20            	cylinder	1.190825e+00	3.419694e+01	2.345726e+01
20            	frontAndBack	1.212151e-01	2.034266e+02	6.170895e+01
22            	bottom	2.771461e+00	2.334015e+02	1.111010e+02
22            	cylinder	2.618145e+00	3.460042e+01	2.334919e+01
22            	frontAndBack	1.228201e-01	2.191053e+02	6.044673e+01
24            	bottom	9.264565e-01	2.603477e+02	1.128246e+02
24            	cylinder	8.752117e-01	3.392450e+01	2.318363e+01
24            	frontAndBack	1.184232e-01	2.180834e+02	5.894680e+01
26            	bottom	3.832460e+00	2.770233e+02	1.141754e+02
26            	cylinder	3.620474e+00	3.401669e+01	2.330852e+01
26            	frontAndBack	8.822281e-02	2.465230e+02	5.850326e+01
28            	bottom	2.638323e+00	2.930419e+02	1.158691e+02
28            	cylinder	2.492483e+00	3.485470e+01	2.268741e+01
28            	frontAndBack	5.567664e-02	2.605970e+02	5.897846e+01
30            	bottom	3.220008e+00	3.030143e+02	1.173247e+02
30            	cylinder	3.041901e+00	3.309225e+01	2.301772e+01
30            	frontAndBack	3.709848e-02	2.679958e+02	5.980865e+01
