# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000600024   	(4.910603e-01 -1.509916e+00 -4.570627e-02)	(4.910603e-01 -1.509916e+00 -4.570627e-02)	(1.051583e-10 3.074072e-10 -1.246013e-10)
0.00132009    	(4.912420e-01 -1.509924e+00 -4.582428e-02)	(4.912419e-01 -1.509924e+00 -4.582472e-02)	(9.962767e-08 -3.329378e-10 4.473949e-07)
0.00216091    	(4.913041e-01 -1.509941e+00 -4.596059e-02)	(4.913039e-01 -1.509941e+00 -4.596110e-02)	(2.199153e-07 -4.289956e-09 5.099961e-07)
0.00270081    	(4.955288e-01 -1.510258e+00 -4.888621e-02)	(4.955310e-01 -1.510258e+00 -4.887996e-02)	(-2.161345e-06 2.622577e-08 -6.249725e-06)
0.00280174    	(6.044639e-01 -1.518451e+00 -1.248941e-01)	(6.044696e-01 -1.518451e+00 -1.248717e-01)	(-5.751315e-06 1.612871e-08 -2.237380e-05)
0.00282805    	(2.559233e+00 -1.669654e+00 -1.496217e+00)	(2.559288e+00 -1.669654e+00 -1.496062e+00)	(-5.492394e-05 6.447924e-07 -1.546511e-04)
0.00283485    	(2.439047e+01 -3.361687e+00 -1.721310e+01)	(2.439061e+01 -3.361688e+00 -1.721258e+01)	(-1.477481e-04 1.113319e-06 -5.249899e-04)
0.00283643    	(5.254501e+02 -4.146840e+01 -3.624948e+02)	(5.254509e+02 -4.146841e+01 -3.624921e+02)	(-7.984988e-04 6.761438e-06 -2.685061e-03)
0.00283688    	(5.697782e+03 -4.487618e+02 -4.145353e+03)	(5.697784e+03 -4.487618e+02 -4.145345e+03)	(-1.820721e-03 6.465615e-06 -7.651378e-03)
0.00283697    	(1.425834e+05 -1.087136e+04 -9.856425e+04)	(1.425834e+05 -1.087136e+04 -9.856421e+04)	(-1.296697e-02 1.106991e-04 -4.330553e-02)
0.002837      	(1.521245e+06 -1.169046e+05 -1.088056e+06)	(1.521245e+06 -1.169046e+05 -1.088056e+06)	(-3.545850e-02 2.574095e-04 -1.322756e-01)
0.00283701    	(3.644077e+07 -2.756948e+06 -2.503563e+07)	(3.644077e+07 -2.756948e+06 -2.503563e+07)	(-1.941868e-01 1.230402e-03 -7.282872e-01)
0.00283701    	(4.001972e+08 -3.069750e+07 -2.859230e+08)	(4.001972e+08 -3.069750e+07 -2.859230e+08)	(-6.047101e-01 4.915030e-03 -2.215812e+00)
0.00283701    	(9.382660e+09 -7.101715e+08 -6.455645e+09)	(9.382660e+09 -7.101715e+08 -6.455645e+09)	(-3.273836e+00 2.280665e-02 -1.207692e+01)
0.00283701    	(1.067247e+11 -8.168766e+09 -7.609092e+10)	(1.067247e+11 -8.168766e+09 -7.609092e+10)	(-9.902665e+00 8.238267e-02 -3.627413e+01)
0.00283701    	(2.486758e+12 -1.884598e+11 -1.713269e+12)	(2.486758e+12 -1.884598e+11 -1.713269e+12)	(-5.366857e+01 3.699451e-01 -1.985557e+02)
0.00283701    	(2.898155e+13 -2.216709e+12 -2.063243e+13)	(2.898155e+13 -2.216709e+12 -2.063243e+13)	(-1.635396e+02 1.415535e+00 -5.901100e+02)
0.00283701    	(6.575796e+14 -4.974612e+13 -4.527378e+14)	(6.575796e+14 -4.974612e+13 -4.527378e+14)	(-8.959207e+02 6.689509e+00 -3.247460e+03)
0.00283701    	(7.902241e+15 -6.024933e+14 -5.608777e+15)	(7.902241e+15 -6.024933e+14 -5.608777e+15)	(-2.726423e+03 2.436761e+01 -9.760305e+03)
0.00283701    	(1.744376e+17 -1.317946e+16 -1.200010e+17)	(1.744376e+17 -1.317946e+16 -1.200010e+17)	(-1.487844e+04 1.129971e+02 -5.388906e+04)
0.00283701    	(2.127464e+18 -1.623435e+17 -1.509475e+18)	(2.127464e+18 -1.623435e+17 -1.509475e+18)	(-4.519937e+04 4.210122e+02 -1.584181e+05)
0.00283701    	(4.566507e+19 -3.453282e+18 -3.144708e+19)	(4.566507e+19 -3.453282e+18 -3.144708e+19)	(-2.471904e+05 1.975040e+03 -8.795869e+05)
0.00283701    	(5.706559e+20 -4.358143e+19 -4.049518e+20)	(5.706559e+20 -4.358143e+19 -4.049518e+20)	(-7.261971e+05 6.516073e+03 -2.578496e+06)
0.00283701    	(1.204290e+22 -9.107236e+20 -8.294884e+21)	(1.204290e+22 -9.107236e+20 -8.294884e+21)	(-4.056125e+06 3.321571e+04 -1.429171e+07)
0.00283701    	(1.518300e+23 -1.160222e+22 -1.077642e+23)	(1.518300e+23 -1.160222e+22 -1.077642e+23)	(-1.177859e+07 1.052946e+05 -4.180332e+07)
0.00283701    	(3.174232e+24 -2.400596e+23 -2.186876e+24)	(3.174232e+24 -2.400596e+23 -2.186876e+24)	(-6.607637e+07 5.428939e+05 -2.324934e+08)
0.00283701    	(4.037106e+25 -3.084688e+24 -2.864569e+25)	(4.037106e+25 -3.084688e+24 -2.864569e+25)	(-1.906449e+08 1.688986e+06 -6.785063e+08)
0.00283701    	(8.376141e+26 -6.334876e+25 -5.771762e+26)	(8.376141e+26 -6.334876e+25 -5.771762e+26)	(-1.080185e+09 8.959310e+06 -3.788315e+09)
0.00283701    	(1.072101e+28 -8.189632e+26 -7.604466e+27)	(1.072101e+28 -8.189632e+26 -7.604466e+27)	(-3.092432e+09 2.720200e+07 -1.103555e+10)
0.00283701    	(2.211668e+29 -1.672724e+28 -1.524198e+29)	(2.211668e+29 -1.672724e+28 -1.524198e+29)	(-1.763404e+10 1.473499e+08 -6.168123e+10)
0.00283701    	(2.844056e+30 -2.172250e+29 -2.016892e+30)	(2.844056e+30 -2.172250e+29 -2.016892e+30)	(-5.017458e+10 4.380059e+08 -1.795639e+11)
0.00283701    	(5.845261e+31 -4.420856e+30 -4.028623e+31)	(5.845261e+31 -4.420856e+30 -4.028623e+31)	(-2.877855e+11 2.420893e+09 -1.004143e+12)
0.00283701    	(7.539809e+32 -5.758140e+31 -5.346064e+32)	(7.539809e+32 -5.758140e+31 -5.346064e+32)	(-8.155529e+11 7.085083e+09 -2.924106e+12)
0.00283701    	(1.545632e+34 -1.169058e+33 -1.065375e+34)	(1.545632e+34 -1.169058e+33 -1.065375e+34)	(-4.696797e+12 3.975640e+10 -1.634971e+13)
0.00283701    	(1.997896e+35 -1.525685e+34 -1.416451e+35)	(1.997896e+35 -1.525685e+34 -1.416451e+35)	(-1.328928e+13 1.154245e+11 -4.764736e+13)
0.00283701    	(4.090749e+36 -3.093949e+35 -2.819617e+36)	(4.090749e+36 -3.093949e+35 -2.819617e+36)	(-7.669773e+13 6.534711e+11 -2.663124e+14)
0.00283701    	(5.292486e+37 -4.040944e+36 -3.751606e+37)	(5.292486e+37 -4.040944e+36 -3.751606e+37)	(-2.168876e+14 1.890227e+12 -7.766723e+14)
0.00283701    	(1.082791e+39 -8.188887e+37 -7.462986e+38)	(1.082791e+39 -8.188887e+37 -7.462986e+38)	(-1.252877e+15 1.075216e+13 -4.338824e+15)
0.00283701    	(1.401467e+40 -1.069969e+39 -9.933529e+39)	(1.401467e+40 -1.069969e+39 -9.933529e+39)	(-3.546933e+15 3.115317e+13 -1.266419e+16)
0.00283701    	(2.867517e+41 -2.168383e+40 -1.976212e+41)	(2.867517e+41 -2.168383e+40 -1.976212e+41)	(-2.049061e+16 1.774874e+14 -7.070845e+16)
0.00283701    	(3.712001e+42 -2.833324e+41 -2.630518e+42)	(3.712001e+42 -2.833324e+41 -2.630518e+42)	(-5.815672e+16 5.177299e+14 -2.065785e+17)
0.00283701    	(7.598384e+43 -5.744007e+42 -5.235200e+43)	(7.598384e+43 -5.744007e+42 -5.235200e+43)	(-3.356006e+17 2.940072e+15 -1.153176e+18)
0.00283701    	(9.833488e+44 -7.502966e+43 -6.966328e+44)	(9.833488e+44 -7.502966e+43 -6.966328e+44)	(-9.567121e+17 8.682793e+15 -3.373381e+18)
0.00283701    	(2.013669e+46 -1.521516e+45 -1.386847e+46)	(2.013669e+46 -1.521516e+45 -1.386847e+46)	(-5.506230e+18 4.891616e+16 -1.883012e+19)
0.00283701    	(2.606850e+47 -1.987858e+46 -1.845787e+47)	(2.606850e+47 -1.987858e+46 -1.845787e+47)	(-1.578911e+19 1.468685e+17 -5.516768e+19)
0.00283701    	(5.328533e+48 -4.024422e+47 -3.668499e+48)	(5.328533e+48 -4.024422e+47 -3.668499e+48)	(-8.991669e+19 8.050741e+17 -3.070599e+20)
0.00283701    	(6.896144e+49 -5.256427e+48 -4.881058e+49)	(6.896144e+49 -5.256427e+48 -4.881058e+49)	(-2.571212e+20 2.400807e+18 -8.982123e+20)
0.00283701    	(1.410474e+51 -1.064903e+50 -9.707751e+50)	(1.410474e+51 -1.064903e+50 -9.707751e+50)	(-1.465516e+21 1.316343e+19 -5.001680e+21)
0.00283701    	(1.826268e+52 -1.391666e+51 -1.292297e+52)	(1.826268e+52 -1.391666e+51 -1.292297e+52)	(-4.192366e+21 3.933363e+19 -1.462330e+22)
0.00283701    	(3.734234e+53 -2.818773e+52 -2.569711e+53)	(3.734234e+53 -2.818773e+52 -2.569711e+53)	(-2.387962e+22 2.150887e+20 -8.143414e+22)
0.00283701    	(4.836463e+54 -3.684887e+53 -3.421797e+54)	(4.836463e+54 -3.684887e+53 -3.421797e+54)	(-6.833676e+22 6.436134e+20 -2.380279e+23)
0.00283701    	(9.884066e+55 -7.460051e+54 -6.801097e+55)	(9.884066e+55 -7.460051e+54 -6.801097e+55)	(-3.889892e+23 3.511920e+21 -1.325502e+24)
0.00283701    	(1.280827e+57 -9.757690e+55 -9.060944e+56)	(1.280827e+57 -9.757690e+55 -9.060944e+56)	(-1.113009e+24 1.050042e+22 -3.874453e+24)
0.00283701    	(2.616354e+58 -1.974545e+57 -1.800170e+58)	(2.616354e+58 -1.974545e+57 -1.800170e+58)	(-6.334310e+24 5.729661e+22 -2.157001e+25)
0.00283701    	(3.391020e+59 -2.583240e+58 -2.398783e+59)	(3.391020e+59 -2.583240e+58 -2.398783e+59)	(-1.812131e+25 1.711583e+23 -6.305350e+25)
0.00283701    	(6.924690e+60 -5.225874e+59 -4.764429e+60)	(6.924690e+60 -5.225874e+59 -4.764429e+60)	(-1.031025e+26 9.336870e+23 -3.509285e+26)
0.00283701    	(8.978139e+61 -6.839267e+60 -6.350865e+61)	(8.978139e+61 -6.839267e+60 -6.350865e+61)	(-2.949069e+26 2.786027e+24 -1.026038e+27)
0.00283701    	(1.833039e+63 -1.383318e+62 -1.261180e+63)	(1.833039e+63 -1.383318e+62 -1.261180e+63)	(-1.677763e+27 1.520359e+25 -5.708995e+27)
0.00283701    	(2.376428e+64 -1.810262e+63 -1.680997e+64)	(2.376428e+64 -1.810262e+63 -1.680997e+64)	(-4.798827e+27 4.535213e+25 -1.669296e+28)
0.00283701    	(4.851428e+65 -3.661225e+64 -3.337969e+65)	(4.851428e+65 -3.661225e+64 -3.337969e+65)	(-2.729398e+28 2.473552e+26 -9.286646e+28)
0.00283701    	(6.291000e+66 -4.792209e+65 -4.449989e+66)	(6.291000e+66 -4.792209e+65 -4.449989e+66)	(-7.806520e+28 7.375070e+26 -2.715838e+29)
0.00283701    	(1.284167e+68 -9.691272e+66 -8.835616e+67)	(1.284167e+68 -9.691272e+66 -8.835616e+67)	(-4.439781e+29 4.023110e+27 -1.510645e+30)
0.00283701    	(1.664838e+69 -1.268207e+68 -1.177652e+69)	(1.664838e+69 -1.268207e+68 -1.177652e+69)	(-1.269822e+30 1.199479e+28 -4.417830e+30)
0.00283701    	(3.398421e+70 -2.564784e+69 -2.338329e+70)	(3.398421e+70 -2.564784e+69 -2.338329e+70)	(-7.220730e+30 6.539662e+28 -2.457285e+31)
0.00283701    	(4.406715e+71 -3.356914e+70 -3.117200e+71)	(4.406715e+71 -3.356914e+70 -3.117200e+71)	(-2.065154e+31 1.949588e+29 -7.186460e+31)
0.00283701    	(8.994845e+72 -6.788539e+71 -6.189129e+72)	(8.994845e+72 -6.788539e+71 -6.189129e+72)	(-1.174331e+32 1.062878e+30 -3.997344e+32)
0.00283701    	(1.166130e+74 -8.883482e+72 -8.249165e+73)	(1.166130e+74 -8.883482e+72 -8.249165e+73)	(-3.358207e+32 3.168646e+30 -1.168831e+33)
