# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.000600024   	smoothSolver	0.000000e+00	0.000000e+00	0	true	smoothSolver	1.000000e+00	1.591520e-02	1	true	GAMG	1.000000e+00	4.719210e-03	3	true	smoothSolver	1.558870e-03	1.186350e-04	1	true
0.00132009    	smoothSolver	1.075890e-04	2.347230e-09	2	true	smoothSolver	1.116020e-01	9.455470e-06	1	true	GAMG	6.028670e-04	5.139500e-06	8	true	smoothSolver	2.270960e-05	6.076350e-08	1	true
0.00216091    	smoothSolver	9.191560e-05	3.845600e-10	3	true	smoothSolver	4.636290e-02	6.920400e-06	1	true	GAMG	5.016010e-04	4.036890e-06	4	true	smoothSolver	2.513050e-05	1.061660e-07	1	true
0.00270081    	smoothSolver	5.606120e-05	3.208080e-09	2	true	smoothSolver	1.859270e-02	6.145140e-06	1	true	GAMG	3.813610e-04	3.172840e-06	5	true	smoothSolver	1.718060e-05	2.964010e-07	1	true
0.00280174    	smoothSolver	1.087140e-05	2.742510e-09	1	true	smoothSolver	3.029000e-03	2.064840e-06	1	true	GAMG	2.405610e-04	1.914210e-06	5	true	smoothSolver	3.482770e-06	1.224660e-07	1	true
0.00282805    	smoothSolver	2.807210e-06	6.704860e-11	1	true	smoothSolver	8.407510e-04	1.486350e-06	1	true	GAMG	4.522940e-04	3.705510e-06	4	true	smoothSolver	1.549000e-06	1.466150e-07	1	true
0.00283485    	smoothSolver	7.226770e-07	8.441940e-12	1	true	smoothSolver	2.219430e-04	7.912430e-07	1	true	GAMG	1.499650e-03	8.762170e-06	5	true	smoothSolver	6.810530e-07	6.810530e-07	0	true
0.00283643    	smoothSolver	1.685370e-07	7.690280e-12	1	true	smoothSolver	5.451530e-05	7.220260e-07	1	true	GAMG	5.188510e-03	3.022280e-05	5	true	smoothSolver	4.316860e-07	4.316860e-07	0	true
0.00283688    	smoothSolver	4.759170e-08	8.926530e-12	1	true	smoothSolver	1.845240e-05	8.374310e-07	1	true	GAMG	1.701070e-03	1.523880e-05	4	true	smoothSolver	5.549350e-07	5.549350e-07	0	true
0.00283697    	smoothSolver	9.953430e-09	9.953430e-09	0	true	smoothSolver	6.378310e-06	5.197290e-07	1	true	GAMG	1.368570e-03	8.855190e-06	5	true	smoothSolver	3.727510e-07	3.727510e-07	0	true
0.002837      	smoothSolver	3.125090e-09	3.125090e-09	0	true	smoothSolver	4.693040e-06	6.522050e-07	1	true	GAMG	9.879780e-04	7.304870e-06	4	true	smoothSolver	5.366960e-07	5.366960e-07	0	true
0.00283701    	smoothSolver	7.099050e-10	7.099050e-10	0	true	smoothSolver	2.926370e-06	3.819940e-07	1	true	GAMG	1.165340e-03	7.913040e-06	5	true	smoothSolver	3.924880e-07	3.924880e-07	0	true
0.00283701    	smoothSolver	2.956880e-10	2.956880e-10	0	true	smoothSolver	3.113090e-06	4.709690e-07	1	true	GAMG	9.376710e-04	6.756240e-06	4	true	smoothSolver	5.172530e-07	5.172530e-07	0	true
0.00283701    	smoothSolver	1.285730e-10	1.285730e-10	0	true	smoothSolver	2.238970e-06	2.870520e-07	1	true	GAMG	1.132370e-03	7.674450e-06	5	true	smoothSolver	3.955260e-07	3.955260e-07	0	true
0.00283701    	smoothSolver	1.267750e-10	1.267750e-10	0	true	smoothSolver	2.491420e-06	3.465450e-07	1	true	GAMG	9.390570e-04	6.844930e-06	4	true	smoothSolver	5.147590e-07	5.147590e-07	0	true
