# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000600024   	(4.710872e+00 -3.913627e+00 6.438399e+02)	(4.664646e+00 -3.928123e+00 6.438278e+02)	(4.622567e-02 1.449571e-02 1.206743e-02)
0.00132009    	(4.708167e+00 -3.913239e+00 6.438490e+02)	(4.662016e+00 -3.927681e+00 6.438369e+02)	(4.615132e-02 1.444137e-02 1.202739e-02)
0.00218416    	(4.711070e+00 -3.915934e+00 6.438483e+02)	(4.665003e+00 -3.930326e+00 6.438363e+02)	(4.606619e-02 1.439182e-02 1.199755e-02)
0.00322105    	(4.711691e+00 -3.916105e+00 6.438479e+02)	(4.665715e+00 -3.930445e+00 6.438359e+02)	(4.597610e-02 1.433997e-02 1.196066e-02)
0.00446527    	(4.710395e+00 -3.915522e+00 6.438488e+02)	(4.664513e+00 -3.929807e+00 6.438369e+02)	(4.588222e-02 1.428526e-02 1.193212e-02)
0.00592       	(4.708982e+00 -3.914533e+00 6.438501e+02)	(4.663194e+00 -3.928763e+00 6.438382e+02)	(4.578735e-02 1.423007e-02 1.189733e-02)
0.00760094    	(4.707515e+00 -3.912892e+00 6.438484e+02)	(4.661825e+00 -3.927068e+00 6.438365e+02)	(4.569012e-02 1.417607e-02 1.187062e-02)
0.00950717    	(4.705810e+00 -3.911303e+00 6.438491e+02)	(4.660207e+00 -3.925427e+00 6.438373e+02)	(4.560337e-02 1.412394e-02 1.184359e-02)
0.0116389     	(4.701882e+00 -3.907540e+00 6.438517e+02)	(4.656364e+00 -3.921626e+00 6.438399e+02)	(4.551834e-02 1.408518e-02 1.182323e-02)
0.0140042     	(4.699792e+00 -3.905181e+00 6.438518e+02)	(4.654353e+00 -3.919226e+00 6.438400e+02)	(4.543885e-02 1.404512e-02 1.180582e-02)
0.016344      	(4.698723e+00 -3.903596e+00 6.438503e+02)	(4.653359e+00 -3.917597e+00 6.438385e+02)	(4.536430e-02 1.400080e-02 1.178229e-02)
0.018596      	(4.696584e+00 -3.901296e+00 6.438532e+02)	(4.651289e+00 -3.915257e+00 6.438414e+02)	(4.529488e-02 1.396125e-02 1.176951e-02)
0.0210941     	(4.691210e+00 -3.895747e+00 6.438544e+02)	(4.645979e+00 -3.909674e+00 6.438427e+02)	(4.523080e-02 1.392674e-02 1.175379e-02)
0.0235663     	(4.690649e+00 -3.894942e+00 6.438516e+02)	(4.645473e+00 -3.908830e+00 6.438399e+02)	(4.517598e-02 1.388775e-02 1.173644e-02)
0.0260214     	(4.688374e+00 -3.891953e+00 6.438526e+02)	(4.643240e+00 -3.905815e+00 6.438409e+02)	(4.513425e-02 1.386173e-02 1.172432e-02)
0.0287528     	(4.684888e+00 -3.887873e+00 6.438518e+02)	(4.639790e+00 -3.901721e+00 6.438401e+02)	(4.509734e-02 1.384838e-02 1.170920e-02)
0.0313845     	(4.685090e+00 -3.887908e+00 6.438492e+02)	(4.640020e+00 -3.901750e+00 6.438375e+02)	(4.507036e-02 1.384202e-02 1.168921e-02)
0.0341235     	(4.684836e+00 -3.887195e+00 6.438474e+02)	(4.639771e+00 -3.901047e+00 6.438357e+02)	(4.506526e-02 1.385252e-02 1.167873e-02)
0.0371814     	(4.682341e+00 -3.883933e+00 6.438443e+02)	(4.637293e+00 -3.897810e+00 6.438326e+02)	(4.504804e-02 1.387729e-02 1.166489e-02)
0.040171      	(4.683394e+00 -3.884356e+00 6.438412e+02)	(4.638351e+00 -3.898269e+00 6.438296e+02)	(4.504266e-02 1.391313e-02 1.164707e-02)
0.0435037     	(4.685509e+00 -3.885194e+00 6.438354e+02)	(4.640450e+00 -3.899165e+00 6.438237e+02)	(4.505953e-02 1.397122e-02 1.163679e-02)
0.0471685     	(4.685685e+00 -3.883848e+00 6.438290e+02)	(4.640628e+00 -3.897888e+00 6.438174e+02)	(4.505731e-02 1.404034e-02 1.160984e-02)
0.0505117     	(4.686812e+00 -3.884653e+00 6.438249e+02)	(4.641739e+00 -3.898771e+00 6.438133e+02)	(4.507308e-02 1.411780e-02 1.157614e-02)
0.0541919     	(4.686277e+00 -3.883909e+00 6.438204e+02)	(4.641167e+00 -3.898109e+00 6.438089e+02)	(4.510968e-02 1.419947e-02 1.155896e-02)
0.0579904     	(4.684490e+00 -3.881473e+00 6.438158e+02)	(4.639361e+00 -3.895747e+00 6.438042e+02)	(4.512926e-02 1.427437e-02 1.152848e-02)
0.0611621     	(4.681741e+00 -3.878980e+00 6.438141e+02)	(4.636581e+00 -3.893346e+00 6.438026e+02)	(4.515946e-02 1.436613e-02 1.150295e-02)
0.0638217     	(4.680447e+00 -3.877457e+00 6.438135e+02)	(4.635242e+00 -3.891885e+00 6.438020e+02)	(4.520510e-02 1.442797e-02 1.149193e-02)
0.0662724     	(4.676496e+00 -3.873855e+00 6.438137e+02)	(4.631270e+00 -3.888331e+00 6.438022e+02)	(4.522660e-02 1.447544e-02 1.149738e-02)
0.0686789     	(4.670041e+00 -3.869532e+00 6.438130e+02)	(4.624771e+00 -3.884031e+00 6.438015e+02)	(4.527029e-02 1.449987e-02 1.148639e-02)
0.0706563     	(4.669242e+00 -3.870890e+00 6.438153e+02)	(4.623941e+00 -3.885415e+00 6.438038e+02)	(4.530051e-02 1.452444e-02 1.149538e-02)
0.0726169     	(4.668914e+00 -3.870133e+00 6.438153e+02)	(4.623594e+00 -3.884649e+00 6.438038e+02)	(4.532001e-02 1.451623e-02 1.151469e-02)
0.074549      	(4.666993e+00 -3.868175e+00 6.438153e+02)	(4.621653e+00 -3.882675e+00 6.438038e+02)	(4.533949e-02 1.449955e-02 1.154673e-02)
0.0763425     	(4.665723e+00 -3.868286e+00 6.438172e+02)	(4.620369e+00 -3.882782e+00 6.438056e+02)	(4.535365e-02 1.449608e-02 1.158179e-02)
0.0782122     	(4.667355e+00 -3.871747e+00 6.438147e+02)	(4.621983e+00 -3.886243e+00 6.438031e+02)	(4.537216e-02 1.449529e-02 1.162403e-02)
0.0801207     	(4.670432e+00 -3.876641e+00 6.438124e+02)	(4.625051e+00 -3.891109e+00 6.438007e+02)	(4.538125e-02 1.446805e-02 1.168195e-02)
0.0820213     	(4.668978e+00 -3.876450e+00 6.438124e+02)	(4.623583e+00 -3.890883e+00 6.438007e+02)	(4.539534e-02 1.443250e-02 1.171529e-02)
0.0840749     	(4.672020e+00 -3.880105e+00 6.438091e+02)	(4.626623e+00 -3.894511e+00 6.437973e+02)	(4.539688e-02 1.440560e-02 1.175802e-02)
