# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000600024   	(-1.897985e-02 2.268962e-01 1.296648e-01)	(-1.865955e-02 2.252326e-01 1.284328e-01)	(-3.203018e-04 1.663660e-03 1.231933e-03)
0.00132009    	(-1.892449e-02 2.267071e-01 1.281578e-01)	(-1.860177e-02 2.250404e-01 1.269242e-01)	(-3.227231e-04 1.666700e-03 1.233660e-03)
0.00218416    	(-1.908209e-02 2.269593e-01 1.276108e-01)	(-1.875737e-02 2.252903e-01 1.263746e-01)	(-3.247275e-04 1.668992e-03 1.236284e-03)
0.00322105    	(-1.927389e-02 2.271302e-01 1.272863e-01)	(-1.894646e-02 2.254581e-01 1.260474e-01)	(-3.274370e-04 1.672060e-03 1.238910e-03)
0.00446527    	(-1.914119e-02 2.269766e-01 1.273816e-01)	(-1.881168e-02 2.253023e-01 1.261401e-01)	(-3.295117e-04 1.674306e-03 1.241481e-03)
0.00592       	(-1.901939e-02 2.267701e-01 1.274116e-01)	(-1.868728e-02 2.250930e-01 1.261676e-01)	(-3.321090e-04 1.677116e-03 1.243993e-03)
0.00760094    	(-1.914196e-02 2.268326e-01 1.273864e-01)	(-1.880796e-02 2.251535e-01 1.261396e-01)	(-3.340018e-04 1.679028e-03 1.246746e-03)
0.00950717    	(-1.899049e-02 2.266059e-01 1.274737e-01)	(-1.865476e-02 2.249251e-01 1.262250e-01)	(-3.357315e-04 1.680804e-03 1.248694e-03)
0.0116389     	(-1.864786e-02 2.261283e-01 1.280069e-01)	(-1.831106e-02 2.244465e-01 1.267553e-01)	(-3.368057e-04 1.681786e-03 1.251641e-03)
0.0140042     	(-1.853310e-02 2.259000e-01 1.281632e-01)	(-1.819545e-02 2.242175e-01 1.269093e-01)	(-3.376503e-04 1.682491e-03 1.253842e-03)
0.016344      	(-1.853109e-02 2.258761e-01 1.283295e-01)	(-1.819235e-02 2.241926e-01 1.270743e-01)	(-3.387357e-04 1.683518e-03 1.255191e-03)
0.018596      	(-1.813030e-02 2.253686e-01 1.286521e-01)	(-1.779149e-02 2.236852e-01 1.273956e-01)	(-3.388067e-04 1.683393e-03 1.256510e-03)
0.0210941     	(-1.795109e-02 2.249476e-01 1.291887e-01)	(-1.761200e-02 2.232641e-01 1.279312e-01)	(-3.390875e-04 1.683501e-03 1.257553e-03)
0.0235663     	(-1.799303e-02 2.249317e-01 1.292360e-01)	(-1.765372e-02 2.232481e-01 1.279788e-01)	(-3.393150e-04 1.683668e-03 1.257230e-03)
0.0260214     	(-1.776664e-02 2.245858e-01 1.294739e-01)	(-1.742758e-02 2.229025e-01 1.282170e-01)	(-3.390657e-04 1.683314e-03 1.256888e-03)
0.0287528     	(-1.765912e-02 2.243045e-01 1.298079e-01)	(-1.732013e-02 2.226214e-01 1.285506e-01)	(-3.389957e-04 1.683105e-03 1.257285e-03)
0.0313845     	(-1.766099e-02 2.242857e-01 1.297161e-01)	(-1.732177e-02 2.226024e-01 1.284586e-01)	(-3.392164e-04 1.683278e-03 1.257536e-03)
0.0341235     	(-1.758771e-02 2.241491e-01 1.296202e-01)	(-1.724888e-02 2.224664e-01 1.283628e-01)	(-3.388354e-04 1.682711e-03 1.257434e-03)
0.0371814     	(-1.768540e-02 2.240862e-01 1.297387e-01)	(-1.734678e-02 2.224040e-01 1.284791e-01)	(-3.386216e-04 1.682206e-03 1.259624e-03)
0.040171      	(-1.771619e-02 2.240966e-01 1.294428e-01)	(-1.737747e-02 2.224145e-01 1.281810e-01)	(-3.387225e-04 1.682087e-03 1.261892e-03)
0.0435037     	(-1.797287e-02 2.243037e-01 1.287641e-01)	(-1.763473e-02 2.226226e-01 1.274998e-01)	(-3.381484e-04 1.681183e-03 1.264251e-03)
0.0471685     	(-1.832029e-02 2.245893e-01 1.284826e-01)	(-1.798123e-02 2.229074e-01 1.272135e-01)	(-3.390580e-04 1.681858e-03 1.269102e-03)
0.0505117     	(-1.841069e-02 2.246831e-01 1.283261e-01)	(-1.807028e-02 2.230000e-01 1.270527e-01)	(-3.404073e-04 1.683122e-03 1.273371e-03)
0.0541919     	(-1.855271e-02 2.247416e-01 1.280257e-01)	(-1.821230e-02 2.230588e-01 1.267497e-01)	(-3.404038e-04 1.682839e-03 1.275945e-03)
0.0579904     	(-1.875341e-02 2.248736e-01 1.281136e-01)	(-1.841183e-02 2.231897e-01 1.268344e-01)	(-3.415811e-04 1.683852e-03 1.279186e-03)
0.0611621     	(-1.871115e-02 2.248430e-01 1.286765e-01)	(-1.836858e-02 2.231583e-01 1.273930e-01)	(-3.425706e-04 1.684629e-03 1.283512e-03)
0.0638217     	(-1.861394e-02 2.247500e-01 1.288268e-01)	(-1.827160e-02 2.230658e-01 1.275432e-01)	(-3.423375e-04 1.684189e-03 1.283602e-03)
0.0662724     	(-1.850085e-02 2.245047e-01 1.291785e-01)	(-1.816001e-02 2.228225e-01 1.278940e-01)	(-3.408460e-04 1.682220e-03 1.284457e-03)
0.0686789     	(-1.844797e-02 2.243401e-01 1.299121e-01)	(-1.810732e-02 2.226581e-01 1.286311e-01)	(-3.406469e-04 1.681981e-03 1.280994e-03)
0.0706563     	(-1.817561e-02 2.240958e-01 1.296314e-01)	(-1.783678e-02 2.224160e-01 1.283523e-01)	(-3.388303e-04 1.679806e-03 1.279065e-03)
0.0726169     	(-1.804213e-02 2.239317e-01 1.295750e-01)	(-1.770594e-02 2.222549e-01 1.283004e-01)	(-3.361945e-04 1.676756e-03 1.274647e-03)
0.074549      	(-1.808052e-02 2.238464e-01 1.296051e-01)	(-1.774786e-02 2.221738e-01 1.283355e-01)	(-3.326627e-04 1.672585e-03 1.269643e-03)
0.0763425     	(-1.790351e-02 2.236181e-01 1.295251e-01)	(-1.757451e-02 2.219498e-01 1.282583e-01)	(-3.289992e-04 1.668234e-03 1.266845e-03)
0.0782122     	(-1.802691e-02 2.238057e-01 1.288587e-01)	(-1.770214e-02 2.221424e-01 1.275946e-01)	(-3.247673e-04 1.663251e-03 1.264006e-03)
0.0801207     	(-1.821083e-02 2.240611e-01 1.278059e-01)	(-1.789183e-02 2.224045e-01 1.265466e-01)	(-3.189974e-04 1.656614e-03 1.259360e-03)
0.0820213     	(-1.828444e-02 2.241191e-01 1.276989e-01)	(-1.796893e-02 2.224664e-01 1.264455e-01)	(-3.155098e-04 1.652672e-03 1.253387e-03)
0.0840749     	(-1.854880e-02 2.244931e-01 1.268689e-01)	(-1.823745e-02 2.228453e-01 1.256193e-01)	(-3.113560e-04 1.647867e-03 1.249571e-03)
0.0860574     	(-1.872000e-02 2.246713e-01 1.266457e-01)	(-1.841271e-02 2.230282e-01 1.253993e-01)	(-3.072902e-04 1.643105e-03 1.246466e-03)
0.088265      	(-1.873892e-02 2.245911e-01 1.265728e-01)	(-1.843520e-02 2.229521e-01 1.253305e-01)	(-3.037181e-04 1.638981e-03 1.242319e-03)
0.0904942     	(-1.909045e-02 2.249760e-01 1.257697e-01)	(-1.879005e-02 2.233409e-01 1.245298e-01)	(-3.004074e-04 1.635117e-03 1.239914e-03)
