# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.000600024   	smoothSolver	1.227740e-04	1.907990e-09	2	true	smoothSolver	2.987000e-04	2.009160e-06	1	true	GAMG	6.755140e-05	2.723220e-07	3	true	smoothSolver	1.701550e-05	2.067290e-07	1	true
0.00132009    	smoothSolver	1.464800e-04	3.879940e-09	2	true	smoothSolver	3.596090e-04	3.092500e-06	1	true	GAMG	5.294620e-05	1.791770e-07	3	true	smoothSolver	2.039710e-05	3.042810e-07	1	true
0.00218416    	smoothSolver	1.758960e-04	7.903780e-09	2	true	smoothSolver	4.342700e-04	4.706250e-06	1	true	GAMG	4.745280e-05	1.884200e-07	3	true	smoothSolver	2.467880e-05	4.250480e-07	1	true
0.00322105    	smoothSolver	2.113530e-04	2.512990e-10	3	true	smoothSolver	5.235600e-04	7.163820e-06	1	true	GAMG	4.568490e-05	1.614230e-07	3	true	smoothSolver	3.001640e-05	5.949180e-07	1	true
0.00446527    	smoothSolver	2.539540e-04	6.451310e-10	3	true	smoothSolver	6.322270e-04	1.081220e-05	1	true	GAMG	5.043240e-05	1.446830e-07	3	true	smoothSolver	3.667510e-05	7.913460e-07	1	true
0.00592       	smoothSolver	2.975020e-04	1.449910e-09	3	true	smoothSolver	7.437350e-04	1.548830e-05	1	true	GAMG	5.474800e-05	1.506220e-07	3	true	smoothSolver	4.357910e-05	1.034710e-06	1	true
0.00760094    	smoothSolver	3.446460e-04	3.049400e-09	3	true	smoothSolver	8.663290e-04	2.149530e-05	1	true	GAMG	6.043680e-05	1.802190e-07	3	true	smoothSolver	5.102870e-05	1.362130e-06	1	true
0.00950717    	smoothSolver	3.917500e-04	5.801080e-09	3	true	smoothSolver	9.845220e-04	2.839210e-05	1	true	GAMG	6.593360e-05	2.155150e-07	3	true	smoothSolver	5.792640e-05	1.677010e-06	1	true
0.0116389     	smoothSolver	4.389290e-04	5.143560e-10	4	true	smoothSolver	1.090270e-03	3.612520e-05	1	true	GAMG	6.857800e-05	2.617460e-07	3	true	smoothSolver	6.329420e-05	2.004630e-06	1	true
0.0140042     	smoothSolver	4.877430e-04	9.674560e-10	4	true	smoothSolver	1.200360e-03	4.514030e-05	1	true	GAMG	7.285040e-05	2.258450e-07	3	true	smoothSolver	6.917900e-05	2.454150e-06	1	true
