# Wall shear stress
# Time        	patch         	min           	max           
1             	obstacle	(-1.148740e-02 -1.432890e-02 -1.280639e-02)	(4.154347e-03 6.697775e-03 5.213505e-03)
2             	obstacle	(-3.544772e-02 -2.184338e-02 -1.284253e-02)	(6.618157e-03 6.666471e-03 1.119840e-02)
3             	obstacle	(-2.323652e-02 -2.205355e-02 -1.406651e-02)	(9.368573e-03 6.681448e-03 1.196495e-02)
4             	obstacle	(-2.088543e-02 -2.168473e-02 -2.249227e-02)	(1.033125e-02 6.668439e-03 9.727067e-03)
5             	obstacle	(-9.909402e-03 -1.115891e-02 -1.278294e-02)	(4.152011e-03 6.690303e-03 4.428176e-03)
6             	obstacle	(-2.290255e-02 -2.404934e-02 -1.977258e-02)	(9.038962e-03 6.678481e-03 7.527585e-03)
7             	obstacle	(-4.003366e-02 -3.053003e-02 -2.034686e-02)	(6.891534e-03 6.691837e-03 1.605949e-02)
8             	obstacle	(-6.265970e-02 -8.857230e-02 -3.785601e-02)	(3.721423e-02 1.289995e-02 2.663201e-02)
9             	obstacle	(-1.083755e-02 -1.169655e-02 -1.275065e-02)	(4.152064e-03 6.692251e-03 4.917248e-03)
10            	obstacle	(-3.702294e-02 -2.678377e-02 -1.697182e-02)	(8.461788e-03 8.873060e-03 1.194757e-02)
11            	obstacle	(-4.758808e-02 -7.280674e-02 -4.468737e-02)	(3.311813e-02 1.378370e-02 1.420008e-02)
12            	obstacle	(-7.785189e-03 -7.654116e-03 -1.279730e-02)	(4.162858e-03 6.709575e-03 4.607182e-03)
13            	obstacle	(-2.656219e-02 -1.967076e-02 -1.282703e-02)	(5.767859e-03 6.734846e-03 9.809784e-03)
14            	obstacle	(-2.338992e-02 -2.098656e-02 -1.723847e-02)	(6.028738e-03 6.758313e-03 1.288559e-02)
15            	obstacle	(-1.948281e-02 -2.315663e-02 -2.114622e-02)	(8.219285e-03 6.760963e-03 7.898378e-03)
16            	obstacle	(-4.168591e-02 -6.586758e-02 -3.152463e-02)	(1.989286e-02 8.341689e-03 1.641183e-02)
17            	obstacle	(-2.734773e-02 -2.416184e-02 -2.217519e-02)	(1.006880e-02 6.756113e-03 1.110220e-02)
18            	obstacle	(-7.316748e-02 -1.362973e-01 -5.413135e-02)	(5.882507e-02 1.516737e-02 5.777428e-02)
19            	obstacle	(-1.495106e-02 -2.006061e-02 -1.302615e-02)	(4.187973e-03 6.779077e-03 6.440074e-03)
20            	obstacle	(-3.678491e-02 -2.895373e-02 -1.648019e-02)	(9.083619e-03 8.220954e-03 1.066059e-02)
21            	obstacle	(-4.671236e-02 -5.094219e-02 -1.926797e-02)	(1.483929e-02 1.802631e-02 1.461131e-02)
22            	obstacle	(-3.087615e-02 -3.098598e-02 -2.546912e-02)	(1.156578e-02 1.110350e-02 1.645507e-02)
23            	obstacle	(-2.721027e-02 -4.711041e-02 -4.433025e-02)	(2.718353e-02 6.733218e-03 9.736512e-03)
24            	obstacle	(-2.218485e-02 -2.288525e-02 -1.815957e-02)	(9.177125e-03 8.237604e-03 1.034206e-02)
25            	obstacle	(-2.732546e-02 -2.830196e-02 -2.389784e-02)	(1.566439e-02 6.787325e-03 1.529644e-02)
26            	obstacle	(-1.624006e-02 -2.123028e-02 -1.572639e-02)	(1.021336e-02 6.783159e-03 7.322504e-03)
27            	obstacle	(-1.304066e-02 -1.578655e-02 -1.323235e-02)	(4.403237e-03 6.785746e-03 5.633511e-03)
28            	obstacle	(-2.433160e-02 -2.506605e-02 -2.521534e-02)	(1.227155e-02 7.545178e-03 1.423246e-02)
29            	obstacle	(-2.037060e-02 -2.347317e-02 -1.322480e-02)	(4.303367e-03 6.793477e-03 9.924591e-03)
30            	obstacle	(-2.334750e-02 -2.311003e-02 -2.064827e-02)	(7.475714e-03 8.479544e-03 1.096617e-02)
