# y+ ()       
# Time        	patch         	min           	max           	average       
1             	bottom	4.210806e-01	2.044686e+02	7.481001e+01
1             	frontAndBack	1.080564e-01	1.761599e+02	5.210302e+01
1             	obstacle	3.530252e-01	4.317252e+01	7.863291e+00
2             	bottom	3.822428e-01	2.109694e+02	7.556900e+01
2             	frontAndBack	1.503882e-01	1.781906e+02	5.204418e+01
2             	obstacle	1.856638e-01	6.492727e+01	8.793945e+00
3             	bottom	4.291736e-01	2.103025e+02	7.554923e+01
3             	frontAndBack	1.586141e-01	1.782679e+02	5.208168e+01
3             	obstacle	2.704415e-01	5.803914e+01	8.660851e+00
4             	bottom	4.195904e-01	2.126174e+02	7.570253e+01
4             	frontAndBack	1.812834e-01	1.776815e+02	5.207175e+01
4             	obstacle	2.362563e-01	6.083379e+01	8.520542e+00
5             	bottom	3.307226e-01	1.985471e+02	7.541397e+01
5             	frontAndBack	8.247160e-02	1.743778e+02	5.206872e+01
5             	obstacle	2.080892e-01	4.025747e+01	7.893899e+00
6             	bottom	2.931437e-01	2.013741e+02	7.634246e+01
6             	frontAndBack	1.425101e-01	1.723363e+02	5.207249e+01
6             	obstacle	2.522382e-01	6.370976e+01	8.643884e+00
7             	bottom	3.313948e-01	2.087454e+02	7.628661e+01
7             	frontAndBack	1.016956e-01	1.738084e+02	5.206349e+01
7             	obstacle	1.519006e-01	7.362207e+01	8.599446e+00
8             	bottom	2.482901e-01	2.086443e+02	7.629214e+01
8             	frontAndBack	1.433012e-01	1.727330e+02	5.201501e+01
8             	obstacle	1.483272e-01	9.399193e+01	8.208675e+00
9             	bottom	3.741368e-01	2.079793e+02	7.601539e+01
9             	frontAndBack	1.092361e-01	1.726759e+02	5.205180e+01
9             	obstacle	2.761459e-01	3.893464e+01	7.967280e+00
10            	bottom	5.100192e-01	2.200435e+02	7.689269e+01
10            	frontAndBack	7.780464e-02	1.709659e+02	5.201771e+01
10            	obstacle	2.848601e-01	7.429132e+01	8.747297e+00
11            	bottom	2.379794e-01	2.183459e+02	7.691660e+01
11            	frontAndBack	1.520437e-01	1.711743e+02	5.208869e+01
11            	obstacle	1.499398e-01	9.063950e+01	8.137776e+00
12            	bottom	3.873446e-01	2.025980e+02	7.653780e+01
12            	frontAndBack	1.147660e-01	1.715420e+02	5.204963e+01
12            	obstacle	2.442166e-01	2.837815e+01	7.770244e+00
13            	bottom	1.794048e-01	2.073548e+02	7.753417e+01
13            	frontAndBack	8.305826e-02	1.711346e+02	5.208369e+01
13            	obstacle	1.131113e-01	5.905539e+01	8.682781e+00
14            	bottom	2.018522e-01	2.033831e+02	7.733915e+01
14            	frontAndBack	1.607818e-01	1.749289e+02	5.207603e+01
14            	obstacle	1.206424e-01	5.584778e+01	8.221866e+00
15            	bottom	2.950612e-01	2.112840e+02	7.797279e+01
15            	frontAndBack	8.668539e-02	1.731604e+02	5.209569e+01
15            	obstacle	1.733655e-01	5.384528e+01	8.704983e+00
16            	bottom	2.078077e-01	2.020273e+02	7.797391e+01
16            	frontAndBack	6.783390e-02	1.731306e+02	5.208940e+01
16            	obstacle	1.237066e-01	8.244302e+01	8.493891e+00
17            	bottom	3.148620e-01	2.066324e+02	7.808045e+01
17            	frontAndBack	1.461315e-01	1.758867e+02	5.215929e+01
17            	obstacle	1.240843e-01	6.825541e+01	8.371264e+00
18            	bottom	3.082213e-01	2.065017e+02	7.834162e+01
18            	frontAndBack	5.121522e-02	1.769945e+02	5.216750e+01
18            	obstacle	1.829739e-01	1.292724e+02	8.483674e+00
19            	bottom	3.180630e-01	2.173819e+02	7.795255e+01
19            	frontAndBack	1.273376e-01	1.776069e+02	5.219901e+01
19            	obstacle	1.524871e-01	4.516240e+01	8.077011e+00
20            	bottom	3.343504e-01	2.251170e+02	7.859993e+01
20            	frontAndBack	9.609043e-02	1.778586e+02	5.213512e+01
20            	obstacle	2.013743e-01	7.297184e+01	8.709908e+00
21            	bottom	2.036198e-01	2.109173e+02	7.844146e+01
21            	frontAndBack	1.174844e-01	1.782463e+02	5.217573e+01
21            	obstacle	1.213875e-01	8.354442e+01	8.647640e+00
22            	bottom	4.360617e-01	2.104289e+02	7.860184e+01
22            	frontAndBack	8.505430e-02	1.781851e+02	5.216750e+01
22            	obstacle	1.461942e-01	6.583671e+01	8.865684e+00
23            	bottom	3.899317e-01	2.213412e+02	7.818092e+01
23            	frontAndBack	9.693031e-02	1.756110e+02	5.215699e+01
23            	obstacle	2.458478e-01	7.166065e+01	8.233668e+00
24            	bottom	3.485434e-01	2.108851e+02	7.832844e+01
24            	frontAndBack	1.175801e-01	1.768998e+02	5.219054e+01
