# Wall shear stress
# Time        	patch         	min           	max           
5             	obstacle	(-1.536102e-02 -1.052862e-02 -6.587304e-03)	(6.002596e-03 9.755279e-03 6.397552e-03)
10            	obstacle	(-3.439527e-01 -3.537220e-01 -3.119537e-01)	(1.476012e-01 1.408528e-01 1.750168e-01)
15            	obstacle	(-2.652476e-02 -1.866480e-02 -1.308968e-02)	(9.317933e-03 6.368797e-03 9.929375e-03)
20            	obstacle	(-6.787644e-02 -8.434912e-02 -6.775242e-02)	(4.332958e-02 1.957855e-02 2.389087e-02)
25            	obstacle	(-1.770313e-02 -1.613809e-02 -1.222236e-02)	(4.327553e-03 6.659135e-03 7.276716e-03)
30            	obstacle	(-5.280420e-02 -6.030849e-02 -6.422714e-02)	(3.070214e-02 1.546004e-02 3.434347e-02)
35            	obstacle	(-1.501739e-02 -1.934924e-02 -1.250768e-02)	(4.229547e-03 6.558621e-03 8.666270e-03)
40            	obstacle	(-1.944457e-02 -2.931228e-02 -1.514136e-02)	(8.750958e-03 6.534393e-03 9.902518e-03)
45            	obstacle	(-2.267472e-02 -2.036362e-02 -1.297581e-02)	(5.275149e-03 7.573473e-03 1.074238e-02)
50            	obstacle	(-2.385387e-02 -2.134040e-02 -1.312572e-02)	(7.078204e-03 1.062497e-02 9.775799e-03)
55            	obstacle	(-2.132382e-02 -1.775521e-02 -1.591805e-02)	(6.271590e-03 6.759010e-03 8.455324e-03)
60            	obstacle	(-2.571144e-02 -2.005651e-02 -1.291443e-02)	(4.126851e-03 7.782672e-03 1.484733e-02)
65            	obstacle	(-2.685898e-02 -2.354026e-02 -2.070621e-02)	(8.383419e-03 6.674651e-03 1.373783e-02)
70            	obstacle	(-5.126040e-02 -6.200176e-02 -5.353789e-02)	(2.878692e-02 1.605594e-02 2.054178e-02)
75            	obstacle	(-3.386562e-02 -2.330525e-02 -1.282170e-02)	(4.121212e-03 6.678086e-03 1.093773e-02)
80            	obstacle	(-2.545249e-02 -2.104261e-02 -1.700058e-02)	(7.166595e-03 6.666377e-03 1.557109e-02)
85            	obstacle	(-2.706317e-02 -3.110650e-02 -1.863149e-02)	(1.210760e-02 1.104168e-02 1.087928e-02)
90            	obstacle	(-2.736031e-02 -2.340017e-02 -1.637743e-02)	(6.976103e-03 6.656602e-03 1.371912e-02)
95            	obstacle	(-3.148485e-02 -2.495624e-02 -1.787541e-02)	(4.181118e-03 6.705084e-03 1.622470e-02)
100           	obstacle	(-1.520912e-02 -1.514344e-02 -1.463453e-02)	(6.512839e-03 6.668303e-03 9.070030e-03)
105           	obstacle	(-2.229867e-02 -2.320662e-02 -1.532377e-02)	(8.319190e-03 6.720785e-03 1.238764e-02)
110           	obstacle	(-4.891030e-02 -5.651567e-02 -3.150502e-02)	(2.289036e-02 1.400205e-02 2.006429e-02)
115           	obstacle	(-3.483501e-02 -3.703669e-02 -4.823773e-02)	(1.945403e-02 6.734572e-03 1.291466e-02)
120           	obstacle	(-7.804575e-02 -7.419468e-02 -6.930912e-02)	(2.207585e-02 2.953102e-02 3.665082e-02)
