# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.000600024   	smoothSolver	0.000000e+00	0.000000e+00	0	true	smoothSolver	1.000000e+00	2.184500e-04	1	true	GAMG	1.000000e+00	8.938900e-03	2	true	smoothSolver	2.046160e-05	3.803810e-09	1	true
0.00132009    	smoothSolver	1.449990e-03	1.133880e-09	2	true	smoothSolver	9.160100e-02	1.146320e-05	1	true	GAMG	4.448160e-03	2.298680e-05	3	true	smoothSolver	2.403910e-05	2.389860e-09	1	true
0.00218416    	smoothSolver	7.371810e-04	1.637920e-10	2	true	smoothSolver	5.348160e-02	6.621910e-06	1	true	GAMG	3.313060e-03	2.191920e-05	2	true	smoothSolver	2.872180e-05	2.961640e-09	1	true
0.00322105    	smoothSolver	6.487570e-04	1.902530e-10	2	true	smoothSolver	4.156540e-02	6.288210e-06	1	true	GAMG	2.494240e-03	9.319910e-06	2	true	smoothSolver	3.438880e-05	4.360100e-09	1	true
0.00446527    	smoothSolver	7.232080e-04	3.503760e-10	2	true	smoothSolver	3.660190e-02	7.205280e-06	1	true	GAMG	2.531830e-03	8.213800e-06	2	true	smoothSolver	4.112010e-05	6.727830e-09	1	true
0.00595826    	smoothSolver	8.507200e-04	7.416350e-10	2	true	smoothSolver	3.474160e-02	9.053130e-06	1	true	GAMG	2.816970e-03	8.958660e-06	2	true	smoothSolver	4.916160e-05	1.057250e-08	1	true
0.00775017    	smoothSolver	1.013440e-03	1.743420e-09	2	true	smoothSolver	3.474210e-02	1.203630e-05	1	true	GAMG	3.185580e-03	1.042580e-05	2	true	smoothSolver	5.870060e-05	1.670310e-08	1	true
0.00990014    	smoothSolver	1.206860e-03	4.201570e-09	2	true	smoothSolver	3.613380e-02	1.664830e-05	1	true	GAMG	3.558980e-03	1.221580e-05	2	true	smoothSolver	7.016520e-05	2.694530e-08	1	true
0.0124803     	smoothSolver	1.430010e-03	9.779650e-09	2	true	smoothSolver	3.875910e-02	2.374880e-05	1	true	GAMG	3.867740e-03	1.397290e-05	2	true	smoothSolver	8.411130e-05	4.332100e-08	1	true
0.0155763     	smoothSolver	1.679140e-03	2.306940e-10	3	true	smoothSolver	4.267410e-02	3.461810e-05	1	true	GAMG	4.053030e-03	1.541010e-05	2	true	smoothSolver	1.009830e-04	6.949020e-08	1	true
0.0192904     	smoothSolver	1.949540e-03	6.287230e-10	3	true	smoothSolver	4.806950e-02	5.144660e-05	1	true	GAMG	4.080880e-03	1.631890e-05	2	true	smoothSolver	1.214350e-04	1.114110e-07	1	true
0.0237454     	smoothSolver	2.235160e-03	1.254850e-09	3	true	smoothSolver	5.505140e-02	7.721640e-05	1	true	GAMG	3.944900e-03	1.684960e-05	2	true	smoothSolver	1.461950e-04	1.782460e-07	1	true
0.0290905     	smoothSolver	2.496010e-03	1.891690e-09	3	true	smoothSolver	6.370950e-02	1.158530e-04	1	true	GAMG	3.743960e-03	1.726020e-05	2	true	smoothSolver	1.757890e-04	2.819460e-07	1	true
0.0355046     	smoothSolver	2.721680e-03	4.234760e-09	3	true	smoothSolver	7.390560e-02	1.698080e-04	1	true	GAMG	3.645490e-03	1.844550e-05	2	true	smoothSolver	2.097090e-04	4.307470e-07	1	true
0.0432015     	smoothSolver	2.838700e-03	9.170850e-09	3	true	smoothSolver	8.485010e-02	2.452390e-04	1	true	GAMG	3.512270e-03	2.095440e-05	2	true	smoothSolver	2.446580e-04	6.484010e-07	1	true
0.052432      	smoothSolver	2.817000e-03	3.929420e-10	4	true	smoothSolver	9.585620e-02	3.522850e-04	1	true	GAMG	3.394110e-03	2.452070e-05	2	true	smoothSolver	2.741250e-04	9.792600e-07	1	true
0.062848      	smoothSolver	2.573420e-03	9.191530e-10	4	true	smoothSolver	1.082500e-01	4.909020e-04	1	true	GAMG	3.271700e-03	2.596020e-05	2	true	smoothSolver	2.999520e-04	1.387520e-06	1	true
0.0748313     	smoothSolver	2.654020e-03	2.666260e-09	4	true	smoothSolver	1.338500e-01	7.922940e-04	1	true	GAMG	3.111100e-03	2.680030e-05	2	true	smoothSolver	3.599670e-04	2.459860e-06	1	true
0.0816624     	smoothSolver	1.512850e-03	5.980780e-09	3	true	smoothSolver	9.142880e-02	2.236260e-04	1	true	GAMG	2.160460e-03	1.746550e-05	2	true	smoothSolver	2.096200e-04	6.540770e-07	1	true
0.0848854     	smoothSolver	7.021640e-04	7.602770e-11	3	true	smoothSolver	4.296300e-02	2.997130e-05	1	true	GAMG	1.200070e-03	9.207000e-06	2	true	smoothSolver	9.994010e-05	9.407260e-08	1	true
0.0887104     	smoothSolver	8.176760e-04	2.211480e-10	3	true	smoothSolver	4.801480e-02	4.677730e-05	1	true	GAMG	1.359830e-03	1.058670e-05	2	true	smoothSolver	1.209120e-04	1.571460e-07	1	true
0.0932079     	smoothSolver	9.765940e-04	6.039640e-10	3	true	smoothSolver	5.253550e-02	6.921690e-05	1	true	GAMG	1.564230e-03	1.202850e-05	2	true	smoothSolver	1.448970e-04	2.330310e-07	1	true
0.0982457     	smoothSolver	1.122560e-03	1.214830e-09	3	true	smoothSolver	5.432820e-02	8.956930e-05	1	true	GAMG	1.794560e-03	1.264360e-05	2	true	smoothSolver	1.651310e-04	3.499560e-07	1	true
0.101368      	smoothSolver	7.142070e-04	7.428600e-11	3	true	smoothSolver	3.138680e-02	2.483830e-05	1	true	GAMG	1.303810e-03	8.396900e-06	2	true	smoothSolver	1.033820e-04	1.039500e-07	1	true
0.105029      	smoothSolver	8.351170e-04	2.021190e-10	3	true	smoothSolver	3.361110e-02	3.358330e-05	1	true	GAMG	1.460060e-03	9.830190e-06	2	true	smoothSolver	1.222810e-04	1.503650e-07	1	true
0.109223      	smoothSolver	9.604900e-04	4.674730e-10	3	true	smoothSolver	3.545320e-02	4.513240e-05	1	true	GAMG	1.626300e-03	1.127050e-05	2	true	smoothSolver	1.411270e-04	2.264100e-07	1	true
0.114129      	smoothSolver	1.122120e-03	1.269070e-09	3	true	smoothSolver	3.848010e-02	6.320140e-05	1	true	GAMG	1.837950e-03	1.307080e-05	2	true	smoothSolver	1.660140e-04	3.372600e-07	1	true
0.117735      	smoothSolver	8.184880e-04	2.437720e-10	3	true	smoothSolver	2.694980e-02	2.606540e-05	1	true	GAMG	1.481600e-03	9.997380e-06	2	true	smoothSolver	1.224990e-04	1.473660e-07	1	true
0.121901      	smoothSolver	9.326020e-04	5.724390e-10	3	true	smoothSolver	3.075080e-02	3.832910e-05	1	true	GAMG	1.641210e-03	1.146260e-05	2	true	smoothSolver	1.420540e-04	2.179790e-07	1	true
0.126793      	smoothSolver	1.082570e-03	1.625020e-09	3	true	smoothSolver	3.571250e-02	5.919930e-05	1	true	GAMG	1.828190e-03	1.323830e-05	2	true	smoothSolver	1.673490e-04	3.335220e-07	1	true
0.132363      	smoothSolver	1.210990e-03	3.922830e-09	3	true	smoothSolver	4.060740e-02	8.535700e-05	1	true	GAMG	1.956250e-03	1.481930e-05	2	true	smoothSolver	1.910330e-04	4.756410e-07	1	true
