# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000600024   	(-7.539834e-03 3.687773e-03 9.606494e+02)	(-7.539188e-03 3.687799e-03 9.606494e+02)	(-6.458807e-07 -2.622611e-08 -6.376157e-07)
0.00132009    	(-1.017385e-02 4.243456e-03 9.606498e+02)	(-1.017211e-02 4.243614e-03 9.606498e+02)	(-1.737626e-06 -1.583440e-07 -1.146033e-06)
0.00218416    	(-3.952150e-03 2.427047e-03 9.606500e+02)	(-3.949989e-03 2.427162e-03 9.606500e+02)	(-2.160906e-06 -1.150130e-07 -1.442473e-06)
0.00322105    	(-3.372359e-03 1.912979e-03 9.606500e+02)	(-3.369723e-03 1.913046e-03 9.606500e+02)	(-2.635733e-06 -6.734378e-08 -1.708530e-06)
0.00446527    	(-3.354549e-03 2.008125e-03 9.606500e+02)	(-3.351389e-03 2.008134e-03 9.606500e+02)	(-3.159534e-06 -8.952851e-09 -2.041627e-06)
0.00595826    	(-2.802897e-03 1.806946e-03 9.606501e+02)	(-2.799246e-03 1.806867e-03 9.606501e+02)	(-3.650574e-06 7.929328e-08 -2.360265e-06)
0.00775017    	(-2.103461e-03 1.529559e-03 9.606501e+02)	(-2.099416e-03 1.529348e-03 9.606501e+02)	(-4.045000e-06 2.111379e-07 -2.613097e-06)
0.00990014    	(-1.364939e-03 1.239917e-03 9.606501e+02)	(-1.360664e-03 1.239512e-03 9.606502e+02)	(-4.275117e-06 4.044289e-07 -2.748804e-06)
0.0124803     	(-6.822442e-04 9.844124e-04 9.606502e+02)	(-6.779669e-04 9.837363e-04 9.606502e+02)	(-4.277267e-06 6.761018e-07 -2.748160e-06)
0.0155763     	(-3.497759e-06 7.263142e-04 9.606502e+02)	(4.710734e-07 7.252690e-04 9.606502e+02)	(-3.968832e-06 1.045140e-06 -2.556794e-06)
0.0192904     	(6.011426e-04 4.903366e-04 9.606503e+02)	(6.043777e-04 4.887830e-04 9.606503e+02)	(-3.235080e-06 1.553645e-06 -2.150930e-06)
0.0237454     	(1.066022e-03 3.223438e-04 9.606503e+02)	(1.068172e-03 3.202617e-04 9.606503e+02)	(-2.149617e-06 2.082124e-06 -1.209037e-06)
0.0290905     	(1.345592e-03 2.420856e-04 9.606503e+02)	(1.346537e-03 2.388352e-04 9.606503e+02)	(-9.454776e-07 3.250382e-06 -6.579415e-07)
0.0351305     	(1.400496e-03 2.301043e-04 9.606503e+02)	(1.401403e-03 2.256209e-04 9.606503e+02)	(-9.072579e-07 4.483424e-06 2.929067e-06)
0.0421929     	(1.179075e-03 4.013000e-04 9.606502e+02)	(1.178026e-03 3.964045e-04 9.606502e+02)	(1.049396e-06 4.895466e-06 3.005142e-06)
0.0485409     	(1.015685e-03 4.377626e-04 9.606503e+02)	(1.013020e-03 4.330083e-04 9.606503e+02)	(2.665441e-06 4.754270e-06 1.781455e-06)
0.055717      	(6.461180e-04 7.037941e-04 9.606503e+02)	(6.425196e-04 6.966736e-04 9.606503e+02)	(3.598315e-06 7.120494e-06 1.196962e-06)
0.0604756     	(6.461586e-04 8.354099e-04 9.606502e+02)	(6.433831e-04 8.286141e-04 9.606502e+02)	(2.775450e-06 6.795785e-06 1.066366e-06)
0.066007      	(3.788541e-04 1.057159e-03 9.606501e+02)	(3.758869e-04 1.049531e-03 9.606501e+02)	(2.967232e-06 7.627803e-06 1.533045e-06)
0.0724483     	(6.949507e-05 1.153486e-03 9.606501e+02)	(6.470250e-05 1.144200e-03 9.606501e+02)	(4.792568e-06 9.285848e-06 1.170102e-06)
0.0775493     	(1.075461e-04 1.207486e-03 9.606501e+02)	(1.023377e-04 1.195457e-03 9.606501e+02)	(5.208431e-06 1.202862e-05 1.012590e-06)
0.083273      	(3.564091e-05 1.408549e-03 9.606500e+02)	(3.496713e-05 1.396246e-03 9.606500e+02)	(6.737842e-07 1.230344e-05 3.783883e-07)
0.0884595     	(6.952817e-05 1.538954e-03 9.606501e+02)	(6.574143e-05 1.527713e-03 9.606501e+02)	(3.786744e-06 1.124030e-05 -1.899691e-07)
0.0924045     	(3.311584e-04 1.387072e-03 9.606501e+02)	(3.279268e-04 1.373195e-03 9.606501e+02)	(3.231533e-06 1.387686e-05 -7.280871e-07)
0.096957      	(8.276450e-05 1.479279e-03 9.606500e+02)	(7.518946e-05 1.458073e-03 9.606500e+02)	(7.575041e-06 2.120536e-05 -2.205724e-06)
0.102275      	(5.432160e-04 1.392659e-03 9.606501e+02)	(5.358166e-04 1.376082e-03 9.606501e+02)	(7.399401e-06 1.657707e-05 1.044226e-06)
0.10827       	(2.380504e-04 1.571348e-03 9.606500e+02)	(2.309323e-04 1.554530e-03 9.606500e+02)	(7.118106e-06 1.681741e-05 6.156525e-07)
