# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000600024   	(-1.789898e-04 -8.653503e-05 -1.151877e-03)	(-1.790288e-04 -8.646200e-05 -1.151802e-03)	(3.902181e-08 -7.302402e-08 -7.505232e-08)
0.00132009    	(-1.793680e-04 -1.618809e-04 -1.437858e-03)	(-1.794822e-04 -1.616804e-04 -1.437670e-03)	(1.142626e-07 -2.004393e-07 -1.875517e-07)
0.00218416    	(-1.794089e-04 2.886145e-05 -6.169004e-04)	(-1.795464e-04 2.911190e-05 -6.166582e-04)	(1.375459e-07 -2.504424e-07 -2.421741e-07)
0.00322105    	(-1.706072e-04 4.558334e-05 -5.709497e-04)	(-1.707676e-04 4.588354e-05 -5.706434e-04)	(1.603593e-07 -3.002030e-07 -3.063014e-07)
0.00446527    	(-1.717048e-04 4.502934e-05 -5.490177e-04)	(-1.718924e-04 4.538867e-05 -5.486418e-04)	(1.876837e-07 -3.593307e-07 -3.758363e-07)
0.00595826    	(-1.701369e-04 6.131030e-05 -4.688136e-04)	(-1.703484e-04 6.172541e-05 -4.683688e-04)	(2.115189e-07 -4.151112e-07 -4.448500e-07)
0.00775017    	(-1.677562e-04 8.205682e-05 -3.723366e-04)	(-1.679833e-04 8.251650e-05 -3.718289e-04)	(2.270393e-07 -4.596843e-07 -5.076868e-07)
0.00990014    	(-1.652860e-04 1.039307e-04 -2.709687e-04)	(-1.655150e-04 1.044158e-04 -2.704099e-04)	(2.290188e-07 -4.850275e-07 -5.588294e-07)
0.0124803     	(-1.634197e-04 1.243014e-04 -1.759006e-04)	(-1.636332e-04 1.247863e-04 -1.753078e-04)	(2.134487e-07 -4.849302e-07 -5.928405e-07)
0.0155763     	(-1.617850e-04 1.448701e-04 -8.114130e-05)	(-1.619590e-04 1.453200e-04 -8.053778e-05)	(1.740474e-07 -4.498578e-07 -6.035263e-07)
0.0192904     	(-1.595099e-04 1.625325e-04 2.675700e-06)	(-1.596131e-04 1.629002e-04 3.245988e-06)	(1.032874e-07 -3.677649e-07 -5.702884e-07)
0.0237454     	(-1.595961e-04 1.776071e-04 6.523563e-05)	(-1.595950e-04 1.778398e-04 6.574690e-05)	(-1.132375e-09 -2.327287e-07 -5.112613e-07)
0.0290905     	(-1.593903e-04 1.859251e-04 1.007348e-04)	(-1.593015e-04 1.860655e-04 1.012019e-04)	(-8.878288e-08 -1.403952e-07 -4.670632e-07)
0.0351305     	(-1.587860e-04 1.868531e-04 1.037205e-04)	(-1.582878e-04 1.866378e-04 1.043048e-04)	(-4.982093e-07 2.153008e-07 -5.843517e-07)
0.0421929     	(-1.743856e-04 1.931927e-04 6.452960e-05)	(-1.737989e-04 1.928174e-04 6.473802e-05)	(-5.866884e-07 3.752391e-07 -2.084152e-07)
0.0485409     	(-1.649290e-04 1.790616e-04 3.706329e-05)	(-1.643088e-04 1.785665e-04 3.719672e-05)	(-6.201772e-07 4.951021e-07 -1.334315e-07)
0.055717      	(-1.556658e-04 1.545992e-04 -2.833950e-05)	(-1.546889e-04 1.538562e-04 -2.795192e-05)	(-9.769562e-07 7.430198e-07 -3.875780e-07)
0.0604756     	(-1.624529e-04 1.584683e-04 -6.660357e-05)	(-1.614895e-04 1.577626e-04 -6.626478e-05)	(-9.634155e-07 7.057289e-07 -3.387809e-07)
0.066007      	(-1.663800e-04 1.510513e-04 -8.332883e-05)	(-1.656461e-04 1.505325e-04 -8.249142e-05)	(-7.339080e-07 5.188235e-07 -8.374076e-07)
0.0724483     	(-1.560421e-04 1.311275e-04 -1.296111e-04)	(-1.550472e-04 1.302755e-04 -1.281082e-04)	(-9.949559e-07 8.520364e-07 -1.502932e-06)
0.0775493     	(-1.634899e-04 1.380031e-04 -1.386427e-04)	(-1.623369e-04 1.371302e-04 -1.371820e-04)	(-1.153041e-06 8.729096e-07 -1.460676e-06)
0.083273      	(-1.750531e-04 1.435567e-04 -1.881937e-04)	(-1.738446e-04 1.428192e-04 -1.874850e-04)	(-1.208517e-06 7.374918e-07 -7.086974e-07)
