# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.000600024   	smoothSolver	0.000000e+00	0.000000e+00	0	true	smoothSolver	1.000000e+00	1.252350e-04	1	true	GAMG	1.000000e+00	8.772870e-03	2	true	smoothSolver	1.228850e-03	7.191150e-08	1	true
0.00132009    	smoothSolver	1.434350e-03	8.776640e-10	2	true	smoothSolver	4.216960e-01	1.567410e-05	1	true	GAMG	4.306340e-03	2.144860e-05	3	true	smoothSolver	1.407980e-03	3.946960e-08	1	true
0.00218416    	smoothSolver	7.323390e-04	1.570710e-10	2	true	smoothSolver	2.183640e-01	8.611160e-06	1	true	GAMG	3.170690e-03	2.078570e-05	2	true	smoothSolver	1.672740e-03	5.304400e-08	1	true
0.00322105    	smoothSolver	6.452060e-04	2.099460e-10	2	true	smoothSolver	1.614540e-01	7.923420e-06	1	true	GAMG	2.392150e-03	8.868270e-06	2	true	smoothSolver	1.969240e-03	7.701320e-08	1	true
0.00446527    	smoothSolver	7.190800e-04	3.929830e-10	2	true	smoothSolver	1.365960e-01	8.710060e-06	1	true	GAMG	2.424450e-03	7.806420e-06	2	true	smoothSolver	2.306830e-03	1.147450e-07	1	true
0.00595826    	smoothSolver	8.456260e-04	7.955480e-10	2	true	smoothSolver	1.241830e-01	1.022600e-05	1	true	GAMG	2.692900e-03	8.464160e-06	2	true	smoothSolver	2.691150e-03	1.711560e-07	1	true
0.00775017    	smoothSolver	1.007200e-03	1.694930e-09	2	true	smoothSolver	1.182480e-01	1.273580e-05	1	true	GAMG	3.042230e-03	9.784760e-06	2	true	smoothSolver	3.128960e-03	2.597760e-07	1	true
0.00990014    	smoothSolver	1.199320e-03	3.764220e-09	2	true	smoothSolver	1.160840e-01	1.654540e-05	1	true	GAMG	3.396810e-03	1.142120e-05	2	true	smoothSolver	3.620250e-03	3.960370e-07	1	true
0.0124803     	smoothSolver	1.421140e-03	8.438430e-09	2	true	smoothSolver	1.164530e-01	2.114450e-05	1	true	GAMG	3.690700e-03	1.304890e-05	2	true	smoothSolver	4.168970e-03	6.026460e-07	1	true
0.0155763     	smoothSolver	1.668900e-03	1.914010e-10	3	true	smoothSolver	1.189120e-01	2.672100e-05	1	true	GAMG	3.866270e-03	1.438480e-05	2	true	smoothSolver	4.777810e-03	9.350460e-07	1	true
0.0192904     	smoothSolver	1.938100e-03	5.540490e-10	3	true	smoothSolver	1.237030e-01	3.570110e-05	1	true	GAMG	3.893080e-03	1.520940e-05	2	true	smoothSolver	5.451920e-03	1.507850e-06	1	true
0.0237454     	smoothSolver	2.222640e-03	1.136300e-09	3	true	smoothSolver	1.307350e-01	5.043830e-05	1	true	GAMG	3.766900e-03	1.573550e-05	2	true	smoothSolver	6.180690e-03	2.410540e-06	1	true
0.0290905     	smoothSolver	2.482970e-03	1.613880e-09	3	true	smoothSolver	1.400870e-01	7.617310e-05	1	true	GAMG	3.582540e-03	1.619490e-05	2	true	smoothSolver	6.958160e-03	3.818230e-06	1	true
0.0351305     	smoothSolver	2.552050e-03	2.863950e-09	3	true	smoothSolver	1.427550e-01	1.025420e-04	1	true	GAMG	3.421560e-03	1.672540e-05	2	true	smoothSolver	7.335560e-03	5.023320e-06	1	true
