# y+ ()       
# Time        	patch         	min           	max           	average       
5             	bottom	3.674148e-02	1.980267e+02	5.437164e+01
5             	frontAndBack	1.769271e-01	2.153055e+02	5.339879e+01
5             	obstacle	2.316634e-02	2.072306e+01	4.249799e+00
10            	bottom	1.515712e-01	3.685378e+02	8.535470e+01
10            	frontAndBack	1.799334e-01	2.217960e+02	5.989192e+01
10            	obstacle	1.355252e-01	2.163448e+01	6.761300e+00
15            	bottom	5.042587e-02	3.807938e+02	9.704827e+01
15            	frontAndBack	1.470515e-01	2.198128e+02	6.233831e+01
15            	obstacle	3.182418e-02	2.889632e+01	8.521694e+00
20            	bottom	2.763973e-01	3.680443e+02	9.246978e+01
20            	frontAndBack	2.238472e-01	2.023370e+02	5.903442e+01
20            	obstacle	1.003223e-01	3.995651e+01	8.889580e+00
25            	bottom	1.048223e-01	3.613723e+02	9.106222e+01
25            	frontAndBack	3.070540e-01	1.960204e+02	5.736247e+01
25            	obstacle	6.613532e-02	9.723624e+01	9.081178e+00
