# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00060024    	(-1.972950e-03 -5.956233e-03 2.982084e+02)	(-1.972810e-03 -5.956233e-03 2.982084e+02)	(-1.398238e-07 1.371191e-10 -2.677657e-07)
0.00132087    	(-4.851169e-03 -5.947459e-03 2.982134e+02)	(-4.851049e-03 -5.947459e-03 2.982134e+02)	(-1.200747e-07 -5.055221e-10 -9.724111e-08)
0.00218514    	(-8.135623e-04 -5.941449e-03 2.982121e+02)	(-8.134328e-04 -5.941449e-03 2.982121e+02)	(-1.294696e-07 2.802020e-11 -1.021969e-07)
0.00322225    	(-6.963681e-04 -5.943649e-03 2.982120e+02)	(-6.962109e-04 -5.943649e-03 2.982120e+02)	(-1.572248e-07 4.887899e-10 -1.265048e-07)
0.00446731    	(-6.440628e-04 -5.946664e-03 2.982120e+02)	(-6.438748e-04 -5.946664e-03 2.982120e+02)	(-1.879466e-07 6.693852e-10 -1.541507e-07)
0.00595988    	(-3.526003e-04 -5.947282e-03 2.982121e+02)	(-3.523845e-04 -5.947283e-03 2.982121e+02)	(-2.157414e-07 7.988640e-10 -1.795786e-07)
0.00774988    	(-2.584885e-06 -5.948049e-03 2.982122e+02)	(-2.347996e-06 -5.948050e-03 2.982122e+02)	(-2.368899e-07 8.274838e-10 -1.986614e-07)
0.00989944    	(3.640038e-04 -5.948205e-03 2.982123e+02)	(3.642508e-04 -5.948205e-03 2.982123e+02)	(-2.470465e-07 8.325176e-10 -2.071652e-07)
0.0124789     	(7.431688e-04 -5.948022e-03 2.982124e+02)	(7.434091e-04 -5.948022e-03 2.982124e+02)	(-2.403204e-07 8.852588e-10 -1.993550e-07)
0.0155645     	(1.072852e-03 -5.947513e-03 2.982125e+02)	(1.073065e-03 -5.947514e-03 2.982125e+02)	(-2.125511e-07 1.088989e-09 -1.718266e-07)
0.0192625     	(1.373607e-03 -5.947039e-03 2.982126e+02)	(1.373764e-03 -5.947041e-03 2.982126e+02)	(-1.578640e-07 1.516434e-09 -1.191768e-07)
0.0237137     	(1.612787e-03 -5.946898e-03 2.982126e+02)	(1.612859e-03 -5.946900e-03 2.982126e+02)	(-7.169291e-08 2.060470e-09 -3.687276e-08)
0.0290653     	(1.733544e-03 -5.946373e-03 2.982127e+02)	(1.733499e-03 -5.946376e-03 2.982127e+02)	(4.446925e-08 2.898281e-09 7.375910e-08)
0.0355164     	(1.757598e-03 -5.946448e-03 2.982127e+02)	(1.757409e-03 -5.946452e-03 2.982127e+02)	(1.889345e-07 4.053897e-09 2.101414e-07)
0.0432578     	(1.670534e-03 -5.946818e-03 2.982127e+02)	(1.670182e-03 -5.946823e-03 2.982127e+02)	(3.516539e-07 5.113157e-09 3.616494e-07)
0.0525791     	(1.509068e-03 -5.948132e-03 2.982126e+02)	(1.508545e-03 -5.948137e-03 2.982126e+02)	(5.229229e-07 5.042511e-09 5.163958e-07)
0.0637646     	(1.386974e-03 -5.949071e-03 2.982126e+02)	(1.386262e-03 -5.949075e-03 2.982126e+02)	(7.116000e-07 3.597765e-09 6.761000e-07)
0.0769839     	(1.431859e-03 -5.951043e-03 2.982126e+02)	(1.430896e-03 -5.951044e-03 2.982126e+02)	(9.633518e-07 1.773239e-10 8.724863e-07)
0.0926511     	(1.705108e-03 -5.955279e-03 2.982126e+02)	(1.703734e-03 -5.955270e-03 2.982126e+02)	(1.374547e-06 -9.643219e-09 1.177621e-06)
0.111167      	(2.203619e-03 -5.961286e-03 2.982127e+02)	(2.201537e-03 -5.961269e-03 2.982127e+02)	(2.082302e-06 -1.671921e-08 1.681981e-06)
0.132769      	(2.848668e-03 -5.965371e-03 2.982128e+02)	(2.845459e-03 -5.965322e-03 2.982128e+02)	(3.209175e-06 -4.867366e-08 2.477980e-06)
0.159         	(3.776002e-03 -5.982350e-03 2.982130e+02)	(3.770931e-03 -5.982206e-03 2.982130e+02)	(5.070492e-06 -1.446424e-07 3.714435e-06)
0.19          	(5.302607e-03 -6.001432e-03 2.982131e+02)	(5.293041e-03 -6.000887e-03 2.982131e+02)	(9.565922e-06 -5.450618e-07 6.092860e-06)
0.22875       	(7.831416e-03 -6.060217e-03 2.982133e+02)	(7.815296e-03 -6.059348e-03 2.982133e+02)	(1.612014e-05 -8.685424e-07 9.659760e-06)
0.273958      	(1.166546e-02 -6.142975e-03 2.982133e+02)	(1.163501e-02 -6.142710e-03 2.982133e+02)	(3.045185e-05 -2.648483e-07 1.522429e-05)
0.319166      	(1.388858e-02 -6.337925e-03 2.982124e+02)	(1.385232e-02 -6.338025e-03 2.982123e+02)	(3.626381e-05 1.005924e-07 2.330028e-05)
0.364375      	(2.156102e-03 -6.118447e-03 2.982137e+02)	(2.114905e-03 -6.119058e-03 2.982136e+02)	(4.119620e-05 6.117132e-07 2.138229e-05)
0.409583      	(4.189230e-02 -6.431616e-03 2.982311e+02)	(4.181702e-02 -6.435454e-03 2.982310e+02)	(7.528125e-05 3.838007e-06 5.927265e-05)
0.432187      	(2.768345e-02 -8.087141e-03 2.981696e+02)	(2.759384e-02 -8.087474e-03 2.981696e+02)	(8.961248e-05 3.325385e-07 2.685174e-05)
0.454792      	(5.543368e-02 -6.549408e-03 2.982252e+02)	(5.532030e-02 -6.534247e-03 2.982251e+02)	(1.133792e-04 -1.516147e-05 5.010423e-05)
0.477396      	(2.127502e-02 -7.212809e-03 2.981836e+02)	(2.115807e-02 -7.193186e-03 2.981836e+02)	(1.169465e-04 -1.962273e-05 2.780709e-05)
0.5           	(4.481829e-02 -7.358869e-03 2.982031e+02)	(4.469218e-02 -7.346937e-03 2.982031e+02)	(1.261123e-04 -1.193146e-05 2.631817e-05)
0.526316      	(2.799533e-02 -7.382655e-03 2.981943e+02)	(2.784252e-02 -7.364802e-03 2.981943e+02)	(1.528038e-04 -1.785357e-05 1.491943e-05)
0.555921      	(2.410619e-02 -7.242892e-03 2.981967e+02)	(2.395210e-02 -7.223916e-03 2.981966e+02)	(1.540938e-04 -1.897525e-05 4.307106e-06)
0.590081      	(1.573012e-02 -7.182770e-03 2.981985e+02)	(1.557831e-02 -7.163593e-03 2.981985e+02)	(1.518133e-04 -1.917692e-05 -7.069605e-06)
0.627346      	(3.137374e-03 -6.883606e-03 2.981954e+02)	(2.987154e-03 -6.867695e-03 2.981954e+02)	(1.502201e-04 -1.591142e-05 -2.406092e-05)
0.653964      	(-1.355455e-02 -6.614308e-03 2.981932e+02)	(-1.368494e-02 -6.591359e-03 2.981933e+02)	(1.303879e-04 -2.294927e-05 -3.320344e-05)
0.685422      	(-1.754179e-02 -6.643293e-03 2.982012e+02)	(-1.765277e-02 -6.615095e-03 2.982012e+02)	(1.109847e-04 -2.819852e-05 -3.338533e-05)
0.705083      	(-2.379760e-02 -6.366035e-03 2.981981e+02)	(-2.389127e-02 -6.341881e-03 2.981981e+02)	(9.366711e-05 -2.415362e-05 -3.817852e-05)
0.727769      	(-2.245006e-02 -5.815696e-03 2.982072e+02)	(-2.252242e-02 -5.794709e-03 2.982073e+02)	(7.235714e-05 -2.098636e-05 -3.476082e-05)
0.752517      	(-2.966532e-02 -5.403239e-03 2.982091e+02)	(-2.972407e-02 -5.384345e-03 2.982092e+02)	(5.875206e-05 -1.889390e-05 -2.126269e-05)
0.780016      	(-2.193756e-02 -4.736568e-03 2.982154e+02)	(-2.198285e-02 -4.718130e-03 2.982154e+02)	(4.528586e-05 -1.843783e-05 -3.761640e-06)
0.811442      	(-1.754895e-02 -4.350211e-03 2.982183e+02)	(-1.758228e-02 -4.334333e-03 2.982183e+02)	(3.333064e-05 -1.587761e-05 2.083375e-05)
0.838379      	(-1.348667e-02 -3.319667e-03 2.982170e+02)	(-1.350821e-02 -3.310834e-03 2.982170e+02)	(2.154328e-05 -8.832973e-06 3.496892e-05)
0.865316      	(-1.434178e-02 -2.540128e-03 2.982157e+02)	(-1.437156e-02 -2.540161e-03 2.982156e+02)	(2.978088e-05 3.292234e-08 4.799683e-05)
0.898987      	(-9.047362e-03 -2.590956e-03 2.982126e+02)	(-9.088230e-03 -2.601316e-03 2.982126e+02)	(4.086781e-05 1.035979e-05 5.682000e-05)
0.932658      	(-1.885853e-02 -1.995834e-03 2.982046e+02)	(-1.889587e-02 -2.017634e-03 2.982046e+02)	(3.733878e-05 2.180074e-05 5.685263e-05)
