# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	bottom	2.310192e-02	5.955731e+00	1.692161e+00
0.5           	frontAndBack	1.517529e-02	3.767108e+01	1.800048e+00
0.5           	obstacle	7.234732e-03	4.173980e+00	1.963130e-01
1             	bottom	7.976743e-02	2.105939e+01	2.240401e+00
1             	frontAndBack	2.316914e-02	7.141245e+01	3.989794e+00
1             	obstacle	1.976844e-02	7.422360e+00	2.838191e-01
1.5           	bottom	5.917343e-02	4.570997e+01	4.393200e+00
1.5           	frontAndBack	3.001303e-02	3.342654e+02	9.226779e+00
1.5           	obstacle	1.794825e-02	6.855639e+00	8.795200e-01
2             	bottom	1.024282e-01	1.113189e+02	1.643239e+01
2             	frontAndBack	4.177807e-02	1.902591e+02	1.981615e+01
2             	obstacle	1.001831e-01	3.777109e+01	6.757759e+00
2.5           	bottom	6.861567e-02	1.587099e+02	4.869752e+01
2.5           	frontAndBack	6.976851e-02	1.940407e+02	3.505083e+01
2.5           	obstacle	7.853173e-02	6.044580e+01	1.615912e+01
3             	bottom	2.148990e-02	1.702585e+02	6.645264e+01
3             	frontAndBack	8.973168e-02	1.850400e+02	4.458983e+01
3             	obstacle	2.459534e-02	6.315545e+01	1.878925e+01
3.5           	bottom	8.387661e-02	1.914977e+02	7.090565e+01
3.5           	frontAndBack	9.326948e-02	1.850160e+02	4.887918e+01
3.5           	obstacle	9.599798e-02	5.842222e+01	2.193181e+01
4             	bottom	7.158828e-02	1.934635e+02	7.940370e+01
4             	frontAndBack	1.268151e-01	2.511575e+02	5.453832e+01
4             	obstacle	8.193363e-02	6.680334e+01	2.269778e+01
4.5           	bottom	3.099081e-02	1.904355e+02	8.992817e+01
4.5           	frontAndBack	2.491804e-01	2.312382e+02	5.747311e+01
4.5           	obstacle	3.546941e-02	4.897594e+01	2.201755e+01
5             	bottom	6.277256e-02	2.071692e+02	1.041981e+02
5             	frontAndBack	2.433663e-01	2.136666e+02	5.940928e+01
5             	obstacle	7.184192e-02	5.236021e+01	2.154433e+01
5.5           	bottom	1.018440e-01	3.618362e+02	1.134244e+02
5.5           	frontAndBack	2.818326e-01	2.204118e+02	5.991568e+01
5.5           	obstacle	1.165583e-01	4.662727e+01	2.209431e+01
6             	bottom	1.091750e-02	3.535174e+02	1.166874e+02
6             	frontAndBack	2.731480e-01	2.136924e+02	6.115939e+01
6             	obstacle	1.249556e-02	4.859015e+01	2.213799e+01
6.5           	bottom	3.894538e-02	3.526212e+02	1.200213e+02
6.5           	frontAndBack	1.706239e-01	2.046262e+02	6.209787e+01
6.5           	obstacle	4.457355e-02	4.757503e+01	2.118790e+01
7             	bottom	8.329905e-02	3.889488e+02	1.245320e+02
7             	frontAndBack	3.308605e-01	1.984830e+02	6.259221e+01
7             	obstacle	6.780760e-02	4.848776e+01	2.068335e+01
7.5           	bottom	3.748047e-02	4.177766e+02	1.294137e+02
7.5           	frontAndBack	3.527421e-01	2.100035e+02	6.388413e+01
7.5           	obstacle	4.299167e-02	4.651126e+01	2.062858e+01
8             	bottom	8.799610e-02	4.343933e+02	1.331686e+02
8             	frontAndBack	3.261918e-01	2.155590e+02	6.460028e+01
8             	obstacle	1.007133e-01	5.340090e+01	2.285195e+01
8.5           	bottom	3.717859e-02	4.448095e+02	1.374388e+02
8.5           	frontAndBack	1.574474e-01	2.198026e+02	6.447722e+01
8.5           	obstacle	4.255253e-02	5.757540e+01	2.421954e+01
9             	bottom	6.730988e-02	4.418295e+02	1.400584e+02
9             	frontAndBack	3.288781e-01	2.217525e+02	6.456344e+01
9             	obstacle	7.704887e-02	5.260606e+01	2.292060e+01
9.5           	bottom	8.480926e-02	4.473606e+02	1.419661e+02
9.5           	frontAndBack	2.216124e-01	3.635682e+02	6.447995e+01
9.5           	obstacle	9.706508e-02	4.918907e+01	2.184727e+01
10            	bottom	1.568823e-02	4.461764e+02	1.433582e+02
10            	frontAndBack	3.074740e-01	2.225377e+02	6.387734e+01
10            	obstacle	1.795544e-02	5.385279e+01	2.278770e+01
10.5          	bottom	1.665451e-02	4.416218e+02	1.452109e+02
10.5          	frontAndBack	2.662590e-01	2.216458e+02	6.337873e+01
10.5          	obstacle	1.906087e-02	5.958508e+01	2.410365e+01
11            	bottom	5.216890e-02	4.490341e+02	1.474860e+02
11            	frontAndBack	2.969851e-01	2.323048e+02	6.336911e+01
11            	obstacle	5.970694e-02	6.067792e+01	2.444202e+01
11.5          	bottom	6.441398e-02	4.518816e+02	1.490304e+02
11.5          	frontAndBack	2.473341e-01	2.288684e+02	6.387698e+01
11.5          	obstacle	7.388554e-02	5.835957e+01	2.439135e+01
12            	bottom	1.974843e-02	4.500564e+02	1.502508e+02
