# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00060024    	(-1.082296e-01 -9.341016e-02 9.607969e+02)	(-1.082295e-01 -9.341017e-02 9.607969e+02)	(-6.033715e-08 4.062855e-09 -1.022953e-07)
0.00132087    	(-1.106390e-01 -9.337635e-02 9.607967e+02)	(-1.106388e-01 -9.337639e-02 9.607967e+02)	(-1.986571e-07 4.681247e-08 -1.506315e-07)
0.00218514    	(-1.068538e-01 -9.337965e-02 9.607970e+02)	(-1.068537e-01 -9.337957e-02 9.607970e+02)	(-1.009295e-07 -8.837345e-08 -5.003842e-07)
0.00322225    	(-1.064151e-01 -9.335321e-02 9.607970e+02)	(-1.064147e-01 -9.335348e-02 9.607970e+02)	(-4.007266e-07 2.710412e-07 -5.060573e-07)
0.0044251     	(-1.067837e-01 -9.350015e-02 9.607972e+02)	(-1.067828e-01 -9.349941e-02 9.607972e+02)	(-8.815630e-07 -7.431484e-07 -5.452296e-08)
0.00586993    	(-1.060918e-01 -9.311263e-02 9.607969e+02)	(-1.060879e-01 -9.310305e-02 9.607969e+02)	(-3.875676e-06 -9.578792e-06 -1.277464e-06)
0.00625149    	(-1.038375e-01 -9.329523e-02 9.607955e+02)	(-1.038403e-01 -9.328639e-02 9.607955e+02)	(2.791667e-06 -8.840734e-06 -6.505821e-06)
0.00663218    	(-1.171280e-01 -1.003927e-01 9.608039e+02)	(-1.171379e-01 -1.003812e-01 9.608039e+02)	(9.926159e-06 -1.152302e-05 -1.412529e-05)
0.00697057    	(-1.130591e-01 -9.707877e-02 9.607997e+02)	(-1.130690e-01 -9.705844e-02 9.607997e+02)	(9.858736e-06 -2.032618e-05 5.010036e-06)
0.00718624    	(-1.152145e-01 -9.858053e-02 9.608016e+02)	(-1.152166e-01 -9.857053e-02 9.608016e+02)	(2.130832e-06 -1.000769e-05 1.267524e-06)
0.00741282    	(-1.038423e-01 -9.235114e-02 9.607960e+02)	(-1.038457e-01 -9.234419e-02 9.607960e+02)	(3.399585e-06 -6.953956e-06 -3.874927e-06)
0.00768039    	(-1.057280e-01 -9.284853e-02 9.607969e+02)	(-1.057275e-01 -9.285101e-02 9.607969e+02)	(-5.486756e-07 2.478150e-06 -3.592810e-06)
0.00800153    	(-1.005838e-01 -8.961935e-02 9.607941e+02)	(-1.005842e-01 -8.963021e-02 9.607941e+02)	(3.952041e-07 1.086029e-05 -3.635420e-06)
0.00838681    	(-1.050055e-01 -9.274158e-02 9.607968e+02)	(-1.050089e-01 -9.274922e-02 9.607968e+02)	(3.381182e-06 7.644539e-06 -2.282891e-06)
0.00884929    	(-1.072393e-01 -9.354289e-02 9.607976e+02)	(-1.072419e-01 -9.354829e-02 9.607976e+02)	(2.596771e-06 5.402277e-06 8.346354e-06)
0.00940426    	(-1.085057e-01 -9.430594e-02 9.607984e+02)	(-1.085094e-01 -9.431486e-02 9.607984e+02)	(3.719726e-06 8.917101e-06 1.432126e-05)
0.0100699     	(-1.069813e-01 -9.380158e-02 9.607976e+02)	(-1.069845e-01 -9.381514e-02 9.607976e+02)	(3.149749e-06 1.355999e-05 1.177521e-05)
0.0108354     	(-1.061335e-01 -9.336798e-02 9.607972e+02)	(-1.061356e-01 -9.338068e-02 9.607972e+02)	(2.083497e-06 1.270316e-05 1.150161e-05)
0.0116876     	(-1.066357e-01 -9.382246e-02 9.607976e+02)	(-1.066381e-01 -9.383325e-02 9.607976e+02)	(2.385820e-06 1.079139e-05 1.116750e-05)
0.012647      	(-1.059259e-01 -9.381142e-02 9.607973e+02)	(-1.059272e-01 -9.382298e-02 9.607973e+02)	(1.306549e-06 1.155871e-05 7.697881e-06)
0.0137571     	(-1.050484e-01 -9.308222e-02 9.607969e+02)	(-1.050489e-01 -9.309857e-02 9.607969e+02)	(4.818600e-07 1.635825e-05 7.728112e-06)
0.0150893     	(-1.047704e-01 -9.316767e-02 9.607968e+02)	(-1.047704e-01 -9.318671e-02 9.607968e+02)	(2.195049e-08 1.903606e-05 8.388605e-06)
0.0166897     	(-1.048446e-01 -9.329126e-02 9.607969e+02)	(-1.048457e-01 -9.330771e-02 9.607969e+02)	(1.085700e-06 1.645063e-05 8.252029e-06)
0.0186076     	(-1.045537e-01 -9.334915e-02 9.607970e+02)	(-1.045545e-01 -9.336396e-02 9.607970e+02)	(7.754552e-07 1.480772e-05 5.460585e-06)
0.0209109     	(-1.043960e-01 -9.332726e-02 9.607969e+02)	(-1.043961e-01 -9.333947e-02 9.607969e+02)	(1.240324e-07 1.220194e-05 3.444258e-06)
0.0235289     	(-1.042772e-01 -9.313847e-02 9.607970e+02)	(-1.042769e-01 -9.315071e-02 9.607970e+02)	(-3.166298e-07 1.224143e-05 -8.505978e-07)
0.0246606     	(-1.037583e-01 -9.325895e-02 9.607970e+02)	(-1.037581e-01 -9.326769e-02 9.607970e+02)	(-2.294126e-07 8.735534e-06 -4.490805e-06)
0.0259316     	(-1.035945e-01 -9.343890e-02 9.607971e+02)	(-1.035955e-01 -9.345033e-02 9.607971e+02)	(9.855216e-07 1.142592e-05 -4.773879e-06)
0.0273769     	(-1.036364e-01 -9.327719e-02 9.607968e+02)	(-1.036399e-01 -9.328118e-02 9.607968e+02)	(3.444059e-06 3.997126e-06 -7.435948e-07)
0.0289955     	(-1.036809e-01 -9.307969e-02 9.607967e+02)	(-1.036845e-01 -9.307677e-02 9.607967e+02)	(3.596538e-06 -2.921002e-06 3.835167e-06)
0.0308001     	(-1.041140e-01 -9.325436e-02 9.607969e+02)	(-1.041184e-01 -9.325397e-02 9.607969e+02)	(4.453105e-06 -3.873686e-07 4.592581e-06)
0.0329232     	(-1.044070e-01 -9.342045e-02 9.607972e+02)	(-1.044103e-01 -9.342607e-02 9.607972e+02)	(3.249146e-06 5.617127e-06 3.528028e-06)
0.0354755     	(-1.041886e-01 -9.346525e-02 9.607972e+02)	(-1.041920e-01 -9.347523e-02 9.607972e+02)	(3.393062e-06 9.981617e-06 4.952604e-06)
0.0384343     	(-1.041237e-01 -9.333808e-02 9.607971e+02)	(-1.041273e-01 -9.334537e-02 9.607971e+02)	(3.614386e-06 7.290195e-06 4.217434e-06)
0.0412148     	(-1.038542e-01 -9.338467e-02 9.607972e+02)	(-1.038546e-01 -9.339509e-02 9.607972e+02)	(4.132954e-07 1.041970e-05 5.339108e-06)
0.0427647     	(-1.043363e-01 -9.307495e-02 9.607966e+02)	(-1.043363e-01 -9.308417e-02 9.607966e+02)	(6.609230e-08 9.226045e-06 6.633773e-06)
0.0438281     	(-1.044593e-01 -9.351718e-02 9.607971e+02)	(-1.044615e-01 -9.353194e-02 9.607971e+02)	(2.171781e-06 1.475475e-05 3.404339e-06)
0.0450099     	(-1.030335e-01 -9.302697e-02 9.607964e+02)	(-1.030352e-01 -9.303855e-02 9.607964e+02)	(1.712583e-06 1.158301e-05 -1.794323e-06)
0.0459003     	(-1.024957e-01 -9.287222e-02 9.607961e+02)	(-1.024992e-01 -9.287759e-02 9.607961e+02)	(3.449717e-06 5.361583e-06 5.344698e-07)
0.0468917     	(-1.028842e-01 -9.365545e-02 9.607965e+02)	(-1.028888e-01 -9.365806e-02 9.607965e+02)	(4.665247e-06 2.604292e-06 -1.999366e-06)
0.0480779     	(-1.041877e-01 -9.384105e-02 9.607973e+02)	(-1.041925e-01 -9.384322e-02 9.607973e+02)	(4.763925e-06 2.173265e-06 -2.486583e-06)
0.0494727     	(-1.046416e-01 -9.386427e-02 9.607972e+02)	(-1.046471e-01 -9.386739e-02 9.607972e+02)	(5.486747e-06 3.120206e-06 4.544265e-07)
0.0511475     	(-1.044122e-01 -9.369846e-02 9.607974e+02)	(-1.044163e-01 -9.370213e-02 9.607974e+02)	(4.039960e-06 3.667279e-06 4.693977e-06)
0.0530906     	(-1.044844e-01 -9.348922e-02 9.607973e+02)	(-1.044884e-01 -9.349429e-02 9.607972e+02)	(4.033364e-06 5.072297e-06 6.098465e-06)
0.0554062     	(-1.043171e-01 -9.343683e-02 9.607972e+02)	(-1.043213e-01 -9.344113e-02 9.607972e+02)	(4.195580e-06 4.302094e-06 5.074020e-06)
0.0566516     	(-1.046376e-01 -9.310942e-02 9.607967e+02)	(-1.046418e-01 -9.311243e-02 9.607967e+02)	(4.175310e-06 3.004349e-06 5.476701e-06)
0.0581004     	(-1.044200e-01 -9.333260e-02 9.607973e+02)	(-1.044254e-01 -9.333879e-02 9.607973e+02)	(5.343221e-06 6.187796e-06 2.150008e-06)
0.0597371     	(-1.051236e-01 -9.333704e-02 9.607971e+02)	(-1.051320e-01 -9.334368e-02 9.607971e+02)	(8.438426e-06 6.633918e-06 7.203710e-06)
0.0615715     	(-1.039100e-01 -9.374001e-02 9.607976e+02)	(-1.039148e-01 -9.375053e-02 9.607975e+02)	(4.795975e-06 1.051917e-05 8.188625e-06)
0.0636693     	(-1.041673e-01 -9.328537e-02 9.607970e+02)	(-1.041732e-01 -9.329924e-02 9.607970e+02)	(5.876014e-06 1.386088e-05 6.939603e-06)
0.0661769     	(-1.043760e-01 -9.316971e-02 9.607969e+02)	(-1.043828e-01 -9.318388e-02 9.607969e+02)	(6.775307e-06 1.416648e-05 5.326259e-06)
0.0691896     	(-1.042940e-01 -9.333562e-02 9.607971e+02)	(-1.042997e-01 -9.334837e-02 9.607971e+02)	(5.785799e-06 1.274704e-05 4.589535e-06)
0.0725553     	(-1.041909e-01 -9.334703e-02 9.607971e+02)	(-1.041972e-01 -9.335996e-02 9.607971e+02)	(6.282671e-06 1.293761e-05 3.068425e-06)
0.0755236     	(-1.042885e-01 -9.320970e-02 9.607970e+02)	(-1.042959e-01 -9.322033e-02 9.607970e+02)	(7.400505e-06 1.062218e-05 1.278178e-06)
0.0769874     	(-1.036401e-01 -9.355440e-02 9.607973e+02)	(-1.036466e-01 -9.356504e-02 9.607973e+02)	(6.459711e-06 1.063843e-05 1.000794e-06)
0.0787069     	(-1.035690e-01 -9.362767e-02 9.607974e+02)	(-1.035742e-01 -9.363813e-02 9.607974e+02)	(5.218371e-06 1.045685e-05 1.545001e-06)
0.080752      	(-1.039676e-01 -9.341793e-02 9.607972e+02)	(-1.039698e-01 -9.343188e-02 9.607972e+02)	(2.105712e-06 1.395263e-05 3.220053e-06)
0.083043      	(-1.041267e-01 -9.317824e-02 9.607969e+02)	(-1.041315e-01 -9.319305e-02 9.607969e+02)	(4.767932e-06 1.481014e-05 3.725304e-06)
0.0856168     	(-1.038546e-01 -9.322353e-02 9.607971e+02)	(-1.038619e-01 -9.323087e-02 9.607971e+02)	(7.217407e-06 7.340896e-06 4.436054e-06)
0.0882562     	(-1.039111e-01 -9.331909e-02 9.607971e+02)	(-1.039180e-01 -9.332879e-02 9.607971e+02)	(6.972932e-06 9.700733e-06 2.844355e-06)
0.0899576     	(-1.035461e-01 -9.334268e-02 9.607969e+02)	(-1.035530e-01 -9.335268e-02 9.607969e+02)	(6.847657e-06 1.000407e-05 2.919791e-06)
0.0919102     	(-1.036905e-01 -9.348716e-02 9.607972e+02)	(-1.036966e-01 -9.349988e-02 9.607972e+02)	(6.061424e-06 1.272004e-05 1.342790e-06)
0.0941161     	(-1.037740e-01 -9.344615e-02 9.607973e+02)	(-1.037806e-01 -9.346082e-02 9.607973e+02)	(6.565454e-06 1.466946e-05 1.915523e-06)
0.0960675     	(-1.037064e-01 -9.340023e-02 9.607970e+02)	(-1.037149e-01 -9.341456e-02 9.607970e+02)	(8.492191e-06 1.433251e-05 1.161465e-07)
0.0977718     	(-1.035495e-01 -9.321876e-02 9.607970e+02)	(-1.035589e-01 -9.322964e-02 9.607970e+02)	(9.366766e-06 1.087607e-05 -4.124738e-07)
0.0996872     	(-1.032021e-01 -9.309925e-02 9.607969e+02)	(-1.032104e-01 -9.311096e-02 9.607969e+02)	(8.325216e-06 1.170672e-05 2.139635e-07)
0.10073       	(-1.029642e-01 -9.301265e-02 9.607970e+02)	(-1.029729e-01 -9.302380e-02 9.607970e+02)	(8.782015e-06 1.114965e-05 -2.156855e-06)
0.101925      	(-1.030406e-01 -9.289331e-02 9.607971e+02)	(-1.030511e-01 -9.290237e-02 9.607971e+02)	(1.047419e-05 9.058603e-06 -2.045873e-06)
0.103332      	(-1.031001e-01 -9.299409e-02 9.607970e+02)	(-1.031101e-01 -9.300191e-02 9.607970e+02)	(1.004243e-05 7.818481e-06 2.037560e-07)
0.104714      	(-1.028342e-01 -9.323144e-02 9.607968e+02)	(-1.028455e-01 -9.323706e-02 9.607968e+02)	(1.126636e-05 5.624622e-06 3.800575e-08)
0.105776      	(-1.028271e-01 -9.310926e-02 9.607965e+02)	(-1.028398e-01 -9.311467e-02 9.607964e+02)	(1.272906e-05 5.406875e-06 2.401908e-06)
0.106967      	(-1.025061e-01 -9.300697e-02 9.607964e+02)	(-1.025185e-01 -9.301293e-02 9.607964e+02)	(1.234324e-05 5.961724e-06 5.142151e-06)
0.108021      	(-1.031070e-01 -9.333928e-02 9.607967e+02)	(-1.031207e-01 -9.334127e-02 9.607967e+02)	(1.374633e-05 1.986576e-06 5.381991e-06)
0.108999      	(-1.032468e-01 -9.325564e-02 9.607971e+02)	(-1.032575e-01 -9.325958e-02 9.607971e+02)	(1.067689e-05 3.937397e-06 3.805681e-06)
0.1101        	(-1.036374e-01 -9.357971e-02 9.607974e+02)	(-1.036476e-01 -9.358779e-02 9.607974e+02)	(1.019726e-05 8.088605e-06 5.963183e-06)
0.111417      	(-1.032476e-01 -9.349671e-02 9.607971e+02)	(-1.032592e-01 -9.350992e-02 9.607970e+02)	(1.169740e-05 1.321144e-05 8.152750e-06)
0.112997      	(-1.030791e-01 -9.324867e-02 9.607970e+02)	(-1.030906e-01 -9.326177e-02 9.607970e+02)	(1.151452e-05 1.310403e-05 8.944998e-06)
0.114894      	(-1.029468e-01 -9.310401e-02 9.607969e+02)	(-1.029570e-01 -9.311524e-02 9.607969e+02)	(1.016232e-05 1.123542e-05 9.015815e-06)
0.11712       	(-1.028174e-01 -9.321585e-02 9.607970e+02)	(-1.028256e-01 -9.322550e-02 9.607970e+02)	(8.163470e-06 9.656944e-06 8.635289e-06)
0.119761      	(-1.026665e-01 -9.328987e-02 9.607969e+02)	(-1.026744e-01 -9.329808e-02 9.607969e+02)	(7.976359e-06 8.202053e-06 7.844670e-06)
0.121521      	(-1.025556e-01 -9.320656e-02 9.607968e+02)	(-1.025635e-01 -9.321271e-02 9.607968e+02)	(7.949010e-06 6.146688e-06 6.606870e-06)
0.122994      	(-1.026568e-01 -9.325638e-02 9.607968e+02)	(-1.026660e-01 -9.326258e-02 9.607968e+02)	(9.136601e-06 6.195926e-06 9.283693e-07)
0.124723      	(-1.029186e-01 -9.345431e-02 9.607967e+02)	(-1.029300e-01 -9.345748e-02 9.607967e+02)	(1.139762e-05 3.168956e-06 1.706060e-06)
