# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00060024    	(2.380406e-02 1.071454e-03 5.063642e-03)	(2.380406e-02 1.071458e-03 5.063641e-03)	(3.108917e-10 -3.768405e-09 6.939661e-10)
0.00132087    	(2.381215e-02 1.013110e-03 5.055669e-03)	(2.381215e-02 1.013122e-03 5.055664e-03)	(-7.189173e-09 -1.204993e-08 5.799078e-09)
0.00218514    	(2.381173e-02 1.105063e-03 5.063213e-03)	(2.381167e-02 1.105075e-03 5.063171e-03)	(5.660465e-08 -1.279452e-08 4.244478e-08)
0.00322225    	(2.381428e-02 1.115490e-03 5.079454e-03)	(2.381424e-02 1.115506e-03 5.079464e-03)	(3.988151e-08 -1.607790e-08 -1.012580e-08)
0.0044251     	(2.377940e-02 1.106813e-03 5.015904e-03)	(2.377950e-02 1.106835e-03 5.016016e-03)	(-9.415923e-08 -2.260256e-08 -1.114018e-07)
0.00586993    	(2.384446e-02 1.124365e-03 5.108795e-03)	(2.384431e-02 1.124391e-03 5.109666e-03)	(1.511359e-07 -2.605072e-08 -8.711346e-07)
0.00625149    	(2.418424e-02 1.175518e-03 5.286474e-03)	(2.418288e-02 1.175479e-03 5.285741e-03)	(1.364224e-06 3.980931e-08 7.329299e-07)
0.00663218    	(2.237615e-02 8.904800e-04 2.501467e-03)	(2.237298e-02 8.903605e-04 2.499060e-03)	(3.166327e-06 1.195479e-07 2.407250e-06)
0.00697057    	(2.327994e-02 9.780909e-04 3.542016e-03)	(2.328129e-02 9.781679e-04 3.539701e-03)	(-1.349553e-06 -7.692127e-08 2.315407e-06)
0.00718624    	(2.292786e-02 8.932278e-04 3.124743e-03)	(2.292833e-02 8.932774e-04 3.124147e-03)	(-4.699517e-07 -4.957709e-08 5.965083e-07)
0.00741282    	(2.412460e-02 1.125308e-03 5.480326e-03)	(2.412385e-02 1.125304e-03 5.479402e-03)	(7.498267e-07 4.370517e-09 9.235175e-07)
0.00768039    	(2.389191e-02 1.107421e-03 5.140641e-03)	(2.389123e-02 1.107425e-03 5.140560e-03)	(6.805187e-07 -4.306813e-09 8.139047e-08)
0.00800153    	(2.443665e-02 1.246963e-03 6.179281e-03)	(2.443598e-02 1.246961e-03 6.178899e-03)	(6.740253e-07 2.777049e-09 3.820212e-07)
0.00838681    	(2.386443e-02 1.152095e-03 5.229173e-03)	(2.386408e-02 1.152100e-03 5.228124e-03)	(3.541708e-07 -5.275911e-09 1.049287e-06)
0.00884929    	(2.369476e-02 1.112666e-03 4.763482e-03)	(2.369691e-02 1.112781e-03 4.762642e-03)	(-2.156233e-06 -1.149917e-07 8.395607e-07)
0.00940426    	(2.353570e-02 1.077024e-03 4.505616e-03)	(2.353927e-02 1.077201e-03 4.504478e-03)	(-3.567484e-06 -1.765318e-07 1.137850e-06)
0.0100699     	(2.370422e-02 1.108871e-03 4.802906e-03)	(2.370719e-02 1.109024e-03 4.801857e-03)	(-2.970364e-06 -1.527880e-07 1.048948e-06)
0.0108354     	(2.379521e-02 1.128771e-03 4.950489e-03)	(2.379812e-02 1.128923e-03 4.949697e-03)	(-2.907043e-06 -1.518045e-07 7.920837e-07)
0.0116876     	(2.371090e-02 1.113915e-03 4.821366e-03)	(2.371372e-02 1.114065e-03 4.820518e-03)	(-2.823490e-06 -1.500023e-07 8.476459e-07)
0.012647      	(2.377729e-02 1.126422e-03 4.946154e-03)	(2.377929e-02 1.126539e-03 4.945552e-03)	(-2.001826e-06 -1.174569e-07 6.020543e-07)
0.0137571     	(2.385819e-02 1.150253e-03 5.100614e-03)	(2.386020e-02 1.150371e-03 5.100159e-03)	(-2.015631e-06 -1.177231e-07 4.547956e-07)
0.0150893     	(2.387998e-02 1.156464e-03 5.136242e-03)	(2.388216e-02 1.156587e-03 5.135877e-03)	(-2.175682e-06 -1.230793e-07 3.646496e-07)
0.0166897     	(2.384860e-02 1.156384e-03 5.082625e-03)	(2.385074e-02 1.156501e-03 5.082049e-03)	(-2.140017e-06 -1.165522e-07 5.754153e-07)
0.0186076     	(2.384075e-02 1.162857e-03 5.102965e-03)	(2.384222e-02 1.162952e-03 5.102503e-03)	(-1.466978e-06 -9.537965e-08 4.617663e-07)
0.0209109     	(2.386719e-02 1.166425e-03 5.115555e-03)	(2.386821e-02 1.166498e-03 5.115284e-03)	(-1.020492e-06 -7.292397e-08 2.708497e-07)
0.0235289     	(2.385523e-02 1.169374e-03 5.070607e-03)	(2.385531e-02 1.169398e-03 5.070446e-03)	(-8.350697e-08 -2.403443e-08 1.602828e-07)
0.0246606     	(2.386868e-02 1.183031e-03 5.083295e-03)	(2.386813e-02 1.183007e-03 5.083158e-03)	(5.495942e-07 2.474628e-08 1.370233e-07)
0.0259316     	(2.384730e-02 1.185278e-03 5.110647e-03)	(2.384678e-02 1.185242e-03 5.110192e-03)	(5.202570e-07 3.607571e-08 4.551382e-07)
0.0273769     	(2.391342e-02 1.183143e-03 5.139534e-03)	(2.391380e-02 1.183143e-03 5.138663e-03)	(-3.739005e-07 6.428774e-11 8.703504e-07)
0.0289955     	(2.394101e-02 1.183319e-03 5.132050e-03)	(2.394278e-02 1.183352e-03 5.131187e-03)	(-1.769400e-06 -3.306447e-08 8.625946e-07)
0.0308001     	(2.386127e-02 1.174106e-03 5.064591e-03)	(2.386316e-02 1.174144e-03 5.063684e-03)	(-1.890058e-06 -3.852918e-08 9.071745e-07)
0.0329232     	(2.380356e-02 1.166553e-03 5.006580e-03)	(2.380492e-02 1.166566e-03 5.006065e-03)	(-1.358917e-06 -1.255709e-08 5.152135e-07)
0.0354755     	(2.381009e-02 1.171339e-03 5.069953e-03)	(2.381152e-02 1.171342e-03 5.069439e-03)	(-1.437116e-06 -2.349751e-09 5.141733e-07)
0.0384343     	(2.383614e-02 1.172868e-03 5.045864e-03)	(2.383733e-02 1.172853e-03 5.045398e-03)	(-1.190444e-06 1.465458e-08 4.665117e-07)
0.0412148     	(2.380484e-02 1.179233e-03 5.107722e-03)	(2.380658e-02 1.179219e-03 5.107969e-03)	(-1.735416e-06 1.467220e-08 -2.469107e-07)
0.0427647     	(2.391104e-02 1.169482e-03 5.010301e-03)	(2.391302e-02 1.169439e-03 5.010649e-03)	(-1.981450e-06 4.294883e-08 -3.471198e-07)
0.0438281     	(2.380345e-02 1.165269e-03 4.933867e-03)	(2.380462e-02 1.165184e-03 4.933707e-03)	(-1.161045e-06 8.492092e-08 1.599366e-07)
0.0450099     	(2.397044e-02 1.192110e-03 5.263033e-03)	(2.397030e-02 1.191983e-03 5.263000e-03)	(1.454312e-07 1.263890e-07 3.259268e-08)
0.0459003     	(2.403786e-02 1.204539e-03 5.379911e-03)	(2.403821e-02 1.204441e-03 5.379492e-03)	(-3.433097e-07 9.826332e-08 4.195769e-07)
0.0468917     	(2.394624e-02 1.197304e-03 5.313189e-03)	(2.394590e-02 1.197208e-03 5.312527e-03)	(3.348738e-07 9.643758e-08 6.623132e-07)
0.0480779     	(2.375067e-02 1.172347e-03 5.072347e-03)	(2.375012e-02 1.172251e-03 5.071690e-03)	(5.573046e-07 9.535665e-08 6.571338e-07)
0.0494727     	(2.378810e-02 1.162809e-03 4.981001e-03)	(2.378817e-02 1.162673e-03 4.980116e-03)	(-6.800472e-08 1.364216e-07 8.844048e-07)
0.0511475     	(2.375412e-02 1.167085e-03 5.024807e-03)	(2.375506e-02 1.166965e-03 5.024197e-03)	(-9.361215e-07 1.203072e-07 6.092893e-07)
0.0530906     	(2.378438e-02 1.164711e-03 5.016881e-03)	(2.378552e-02 1.164581e-03 5.016217e-03)	(-1.139962e-06 1.295713e-07 6.635132e-07)
0.0554062     	(2.376898e-02 1.167160e-03 5.086019e-03)	(2.376982e-02 1.167031e-03 5.085320e-03)	(-8.399044e-07 1.282707e-07 6.992339e-07)
0.0566516     	(2.391154e-02 1.162209e-03 4.943821e-03)	(2.391249e-02 1.162101e-03 4.943199e-03)	(-9.518043e-07 1.071222e-07 6.227119e-07)
0.0581004     	(2.375877e-02 1.167131e-03 5.007990e-03)	(2.375899e-02 1.167066e-03 5.007220e-03)	(-2.136373e-07 6.455564e-08 7.696557e-07)
0.0597371     	(2.381147e-02 1.151515e-03 4.911188e-03)	(2.381295e-02 1.151360e-03 4.909686e-03)	(-1.474773e-06 1.548827e-07 1.502637e-06)
0.0615715     	(2.371329e-02 1.177404e-03 5.165030e-03)	(2.371508e-02 1.177210e-03 5.164377e-03)	(-1.782797e-06 1.939331e-07 6.537980e-07)
0.0636693     	(2.380655e-02 1.171282e-03 5.103064e-03)	(2.380806e-02 1.171081e-03 5.102074e-03)	(-1.513202e-06 2.003299e-07 9.896235e-07)
0.0661769     	(2.381759e-02 1.166159e-03 5.092969e-03)	(2.381874e-02 1.165982e-03 5.091855e-03)	(-1.154465e-06 1.768036e-07 1.114085e-06)
0.0691896     	(2.380832e-02 1.167519e-03 5.090364e-03)	(2.380961e-02 1.167359e-03 5.089399e-03)	(-1.296676e-06 1.601423e-07 9.650506e-07)
0.0725553     	(2.380682e-02 1.169740e-03 5.083859e-03)	(2.380816e-02 1.169590e-03 5.082618e-03)	(-1.334449e-06 1.507886e-07 1.241063e-06)
0.0755236     	(2.383704e-02 1.166584e-03 5.080721e-03)	(2.383808e-02 1.166437e-03 5.079196e-03)	(-1.037715e-06 1.471030e-07 1.524525e-06)
0.0769874     	(2.376381e-02 1.181877e-03 5.183858e-03)	(2.376469e-02 1.181737e-03 5.182685e-03)	(-8.770635e-07 1.398884e-07 1.173212e-06)
0.0787069     	(2.372734e-02 1.183869e-03 5.221433e-03)	(2.372833e-02 1.183739e-03 5.220761e-03)	(-9.854116e-07 1.300639e-07 6.721364e-07)
0.080752      	(2.378659e-02 1.175250e-03 5.104906e-03)	(2.378803e-02 1.175083e-03 5.104995e-03)	(-1.439593e-06 1.670585e-07 -8.886349e-08)
0.083043      	(2.384937e-02 1.171814e-03 5.046924e-03)	(2.385091e-02 1.171622e-03 5.046489e-03)	(-1.545522e-06 1.916371e-07 4.350653e-07)
0.0856168     	(2.381727e-02 1.178631e-03 5.084893e-03)	(2.381877e-02 1.178444e-03 5.083909e-03)	(-1.491370e-06 1.871130e-07 9.841585e-07)
0.0882562     	(2.379842e-02 1.176309e-03 5.088936e-03)	(2.379923e-02 1.176111e-03 5.087960e-03)	(-8.122888e-07 1.973676e-07 9.766218e-07)
0.0899576     	(2.382626e-02 1.184062e-03 5.129844e-03)	(2.382689e-02 1.183850e-03 5.128869e-03)	(-6.279315e-07 2.114251e-07 9.748063e-07)
0.0919102     	(2.376378e-02 1.182218e-03 5.081194e-03)	(2.376411e-02 1.181992e-03 5.080307e-03)	(-3.315545e-07 2.260522e-07 8.868243e-07)
0.0941161     	(2.375216e-02 1.180408e-03 5.044971e-03)	(2.375292e-02 1.180189e-03 5.044046e-03)	(-7.592900e-07 2.190421e-07 9.249929e-07)
0.0960675     	(2.379349e-02 1.181255e-03 5.043601e-03)	(2.379366e-02 1.181034e-03 5.042316e-03)	(-1.654748e-07 2.206409e-07 1.284547e-06)
0.0977718     	(2.382129e-02 1.184949e-03 5.088616e-03)	(2.382130e-02 1.184708e-03 5.087248e-03)	(-6.776470e-09 2.407641e-07 1.368415e-06)
0.0996872     	(2.379857e-02 1.193712e-03 5.150356e-03)	(2.379887e-02 1.193455e-03 5.149081e-03)	(-2.966678e-07 2.566887e-07 1.275350e-06)
0.10073       	(2.398757e-02 1.198051e-03 5.314961e-03)	(2.398747e-02 1.197759e-03 5.313803e-03)	(1.013015e-07 2.920348e-07 1.157541e-06)
0.101925      	(2.386892e-02 1.198116e-03 5.171286e-03)	(2.386920e-02 1.197844e-03 5.170107e-03)	(-2.780800e-07 2.724393e-07 1.178756e-06)
0.103332      	(2.383631e-02 1.197499e-03 5.061336e-03)	(2.383714e-02 1.197228e-03 5.060249e-03)	(-8.287122e-07 2.716408e-07 1.087276e-06)
0.104714      	(2.383880e-02 1.202119e-03 5.037239e-03)	(2.383938e-02 1.201828e-03 5.036026e-03)	(-5.861782e-07 2.916861e-07 1.213110e-06)
0.105776      	(2.389282e-02 1.201047e-03 5.144745e-03)	(2.389363e-02 1.200759e-03 5.143273e-03)	(-8.124163e-07 2.883514e-07 1.472280e-06)
0.106967      	(2.395439e-02 1.209384e-03 5.243471e-03)	(2.395545e-02 1.209103e-03 5.242012e-03)	(-1.057935e-06 2.815905e-07 1.459154e-06)
0.108021      	(2.388217e-02 1.195126e-03 5.192019e-03)	(2.388318e-02 1.194841e-03 5.190099e-03)	(-1.003906e-06 2.842952e-07 1.920640e-06)
