# Wall shear stress
# Time        	patch         	min           	max           
0.5           	obstacle	(-4.833025e-03 -1.853592e-03 -4.535322e-03)	(1.156536e-03 4.775747e-03 6.192813e-03)
1             	obstacle	(-2.841813e-03 -8.852484e-04 -4.431679e-03)	(1.137245e-03 5.510150e-03 3.558361e-03)
1.5           	obstacle	(-3.343401e-03 -5.613452e-03 -1.271479e-03)	(1.522834e-03 6.052244e-03 3.620800e-03)
2             	obstacle	(-2.975277e-03 -6.606485e-03 -7.824335e-03)	(3.067284e-03 7.747603e-03 4.760424e-03)
2.5           	obstacle	(-2.215397e-03 -7.347543e-03 -1.967060e-03)	(4.644134e-03 8.849559e-03 2.716759e-03)
3             	obstacle	(-2.257619e-03 -7.278254e-03 -1.530404e-03)	(2.081950e-03 9.119369e-03 7.932964e-03)
3.5           	obstacle	(-4.221698e-03 -1.337399e-02 -1.014352e-02)	(9.646193e-03 1.528487e-02 6.408075e-03)
4             	obstacle	(-2.671747e-03 -6.771872e-03 -5.782695e-03)	(3.239551e-03 8.177419e-03 7.206011e-03)
4.5           	obstacle	(-5.900448e-03 -7.171411e-03 -6.824622e-03)	(3.294445e-03 1.884285e-02 2.140070e-03)
5             	obstacle	(-2.033219e-03 -7.170181e-03 -6.457854e-03)	(2.463120e-03 8.733113e-03 3.386500e-03)
5.5           	obstacle	(-7.826232e-03 -7.411160e-03 -1.289561e-02)	(3.056634e-03 9.136661e-03 3.163767e-03)
6             	obstacle	(-2.827907e-03 -7.386114e-03 -5.305564e-03)	(2.159761e-03 9.990390e-03 3.693622e-03)
6.5           	obstacle	(-4.517731e-03 -7.091513e-03 -4.583347e-03)	(4.443983e-03 8.569095e-03 3.752933e-03)
7             	obstacle	(-3.417052e-03 -7.037191e-03 -2.658369e-03)	(2.073152e-03 8.461430e-03 6.471081e-03)
7.5           	obstacle	(-3.150828e-03 -7.304709e-03 -1.890146e-03)	(2.909015e-03 8.419848e-03 2.597451e-03)
8             	obstacle	(-5.331946e-03 -7.544317e-03 -2.567257e-03)	(2.264774e-03 9.197888e-03 7.781200e-03)
8.5           	obstacle	(-5.387463e-03 -7.835777e-03 -2.423918e-03)	(2.338832e-03 9.621168e-03 4.989895e-03)
9             	obstacle	(-3.364462e-03 -7.937459e-03 -5.215396e-03)	(2.380927e-03 1.130671e-02 6.097150e-03)
9.5           	obstacle	(-4.058473e-03 -8.283628e-03 -2.612276e-03)	(2.475670e-03 1.042617e-02 2.858803e-03)
10            	obstacle	(-4.209725e-03 -8.501660e-03 -5.221467e-03)	(3.156773e-03 1.259188e-02 2.529179e-03)
10.5          	obstacle	(-4.880962e-03 -9.084988e-03 -8.729626e-03)	(3.738622e-03 1.304208e-02 1.194280e-02)
11            	obstacle	(-5.044230e-03 -9.447601e-03 -5.138856e-03)	(3.643320e-03 1.191773e-02 3.561239e-03)
11.5          	obstacle	(-5.762180e-03 -9.718393e-03 -6.024853e-03)	(3.353568e-03 1.238996e-02 3.385289e-03)
12            	obstacle	(-6.457674e-03 -1.006235e-02 -4.690392e-03)	(3.125172e-03 1.259623e-02 3.676047e-03)
15            	obstacle	(-6.917114e-03 -1.055484e-02 -2.587990e-03)	(3.301789e-03 1.328584e-02 5.363888e-03)
20            	obstacle	(-6.608210e-03 -1.070293e-02 -3.345243e-03)	(3.241196e-03 1.326979e-02 6.906907e-03)
25            	obstacle	(-6.762457e-03 -1.343704e-02 -3.914492e-03)	(7.475881e-03 1.344193e-02 3.986544e-03)
30            	obstacle	(-6.761698e-03 -1.086521e-02 -3.025686e-03)	(7.177796e-03 1.334166e-02 4.394327e-03)
35            	obstacle	(-6.721280e-03 -1.093902e-02 -3.061096e-03)	(4.426408e-03 1.323372e-02 6.903994e-03)
