# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	bottom	3.560035e-04	1.738316e+01	1.568557e+00
0.5           	frontAndBack	1.018964e-02	1.018392e+02	2.230299e+00
0.5           	obstacle	6.277243e-04	1.084613e+01	9.666771e-02
1             	bottom	2.101325e-03	1.873330e+01	2.225135e+00
1             	frontAndBack	6.055136e-03	3.229641e+02	6.870371e+00
1             	obstacle	8.046145e-04	9.342147e+00	1.459881e-01
1.5           	bottom	1.425802e-02	4.527206e+01	5.088682e+00
1.5           	frontAndBack	4.631320e-02	3.276302e+02	2.247187e+01
1.5           	obstacle	6.832505e-03	1.338929e+01	3.624322e+00
2             	bottom	6.032590e-03	1.168203e+02	1.581763e+01
2             	frontAndBack	1.377574e-01	2.930694e+02	3.528432e+01
2             	obstacle	2.508996e-03	2.350892e+01	6.795754e+00
2.5           	bottom	1.721216e-02	9.475579e+01	3.038295e+01
2.5           	frontAndBack	1.479423e-01	2.959543e+02	4.225756e+01
2.5           	obstacle	1.978915e-02	2.449126e+01	8.485666e+00
3             	bottom	4.248059e-02	1.486277e+02	4.054103e+01
3             	frontAndBack	1.260518e-01	4.412002e+02	4.685738e+01
3             	obstacle	3.407175e-02	2.489994e+01	9.652563e+00
3.5           	bottom	2.859716e-02	1.708236e+02	5.190174e+01
3.5           	frontAndBack	1.441276e-01	4.049343e+02	5.333830e+01
3.5           	obstacle	1.748061e-02	2.897137e+01	9.938995e+00
4             	bottom	2.982756e-02	1.638957e+02	6.226008e+01
4             	frontAndBack	8.327384e-02	2.564211e+02	5.406947e+01
4             	obstacle	2.790311e-02	2.558642e+01	9.620488e+00
4.5           	bottom	3.473451e-02	2.014839e+02	6.946611e+01
4.5           	frontAndBack	1.580816e-01	1.964503e+02	5.422976e+01
4.5           	obstacle	2.228686e-02	2.731011e+01	1.013867e+01
5             	bottom	4.445870e-02	1.765807e+02	7.336290e+01
5             	frontAndBack	2.221249e-01	1.798347e+02	5.538176e+01
5             	obstacle	3.562645e-02	2.693576e+01	1.017963e+01
5.5           	bottom	6.006309e-02	1.992505e+02	7.712464e+01
5.5           	frontAndBack	1.228006e-01	1.947088e+02	5.633800e+01
5.5           	obstacle	2.155433e-02	2.651124e+01	1.079280e+01
6             	bottom	5.069976e-02	2.467598e+02	8.104629e+01
6             	frontAndBack	3.609750e-01	1.984953e+02	5.819531e+01
6             	obstacle	2.903680e-02	2.651326e+01	1.098679e+01
6.5           	bottom	1.260204e-01	3.240502e+02	8.707845e+01
6.5           	frontAndBack	2.531575e-01	2.008244e+02	5.952453e+01
6.5           	obstacle	7.944537e-02	3.128573e+01	1.242519e+01
7             	bottom	6.516905e-02	3.460336e+02	9.106473e+01
7             	frontAndBack	1.955825e-01	2.102476e+02	6.020633e+01
7             	obstacle	4.596702e-02	3.873516e+01	1.422160e+01
7.5           	bottom	3.795248e-02	3.499917e+02	9.462334e+01
7.5           	frontAndBack	1.844200e-01	2.119682e+02	6.065612e+01
7.5           	obstacle	3.113602e-02	4.255967e+01	1.498457e+01
8             	bottom	4.020240e-02	3.440497e+02	9.642427e+01
8             	frontAndBack	1.963776e-01	2.189903e+02	6.055105e+01
8             	obstacle	2.768090e-02	4.329835e+01	1.456647e+01
8.5           	bottom	3.912307e-02	3.473977e+02	9.872229e+01
8.5           	frontAndBack	8.640312e-02	2.182683e+02	6.064383e+01
8.5           	obstacle	2.009204e-02	4.424552e+01	1.462523e+01
9             	bottom	2.701954e-02	3.557081e+02	1.000706e+02
9             	frontAndBack	1.066547e-01	2.185251e+02	6.020361e+01
9             	obstacle	1.050373e-02	4.247286e+01	1.416379e+01
9.5           	bottom	1.727663e-02	3.660127e+02	1.021425e+02
9.5           	frontAndBack	1.580009e-01	2.200036e+02	6.005987e+01
9.5           	obstacle	8.126430e-03	4.169281e+01	1.349351e+01
10            	bottom	2.933780e-02	3.689201e+02	1.043990e+02
10            	frontAndBack	2.601504e-01	2.178550e+02	5.992464e+01
10            	obstacle	1.491917e-02	4.691834e+01	1.494266e+01
10.5          	bottom	2.147744e-02	3.713709e+02	1.054225e+02
10.5          	frontAndBack	1.410260e-01	2.192853e+02	6.017247e+01
10.5          	obstacle	8.274348e-03	4.974473e+01	1.602379e+01
11            	bottom	2.897115e-02	3.708236e+02	1.059387e+02
11            	frontAndBack	2.933724e-01	2.186182e+02	6.031327e+01
11            	obstacle	1.467833e-02	4.868054e+01	1.593324e+01
11.5          	bottom	4.906322e-02	3.715594e+02	1.075447e+02
11.5          	frontAndBack	1.808847e-01	2.176102e+02	6.083334e+01
11.5          	obstacle	2.644770e-02	5.220141e+01	1.674599e+01
12            	bottom	4.611990e-02	3.742866e+02	1.098417e+02
12            	frontAndBack	1.867677e-01	2.166457e+02	6.136209e+01
12            	obstacle	3.324147e-02	5.678503e+01	1.893042e+01
15            	bottom	9.986611e-02	3.730751e+02	1.149048e+02
15            	frontAndBack	7.814583e-02	2.047481e+02	6.229470e+01
15            	obstacle	7.408187e-02	5.731662e+01	2.012143e+01
20            	bottom	8.479839e-02	3.627308e+02	1.143981e+02
20            	frontAndBack	4.167602e-02	2.125268e+02	5.823209e+01
20            	obstacle	6.361164e-02	5.301991e+01	1.961852e+01
25            	bottom	6.991399e-02	3.490096e+02	1.166823e+02
25            	frontAndBack	5.235720e-02	2.632585e+02	5.479711e+01
25            	obstacle	4.467783e-02	5.531808e+01	2.083232e+01
30            	bottom	7.088753e-02	3.209266e+02	1.169516e+02
30            	frontAndBack	7.077492e-02	2.446027e+02	5.388825e+01
30            	obstacle	5.183381e-02	5.497049e+01	2.069906e+01
35            	bottom	7.913434e-02	3.233615e+02	1.189030e+02
35            	frontAndBack	7.831324e-02	2.546484e+02	5.439464e+01
35            	obstacle	5.961459e-02	5.478932e+01	2.070129e+01
