# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00059988    	(1.184844e+01 -3.877103e-03 9.648893e+02)	(1.181973e+01 -9.388945e-04 9.648645e+02)	(2.870508e-02 -2.938209e-03 2.478715e-02)
0.00131991    	(1.152501e+01 -1.509602e-03 9.650504e+02)	(1.149629e+01 1.433788e-03 9.650257e+02)	(2.871957e-02 -2.943391e-03 2.474584e-02)
0.00218382    	(1.138019e+01 -7.257398e-04 9.651285e+02)	(1.135146e+01 2.223782e-03 9.651038e+02)	(2.872746e-02 -2.949522e-03 2.472291e-02)
0.00322105    	(1.129227e+01 -3.886189e-04 9.651771e+02)	(1.126354e+01 2.568173e-03 9.651524e+02)	(2.873043e-02 -2.956792e-03 2.471254e-02)
0.00446547    	(1.123585e+01 -4.270313e-04 9.652073e+02)	(1.120712e+01 2.538354e-03 9.651826e+02)	(2.872941e-02 -2.965385e-03 2.471097e-02)
0.00595802    	(1.119947e+01 -6.955827e-04 9.652254e+02)	(1.117075e+01 2.279889e-03 9.652007e+02)	(2.872502e-02 -2.975472e-03 2.471519e-02)
0.00774909    	(1.117583e+01 -9.734170e-04 9.652357e+02)	(1.114711e+01 2.013744e-03 9.652110e+02)	(2.871793e-02 -2.987161e-03 2.472269e-02)
0.00989682    	(1.116309e+01 -1.322220e-03 9.652407e+02)	(1.113438e+01 1.678269e-03 9.652160e+02)	(2.870892e-02 -3.000490e-03 2.473124e-02)
0.0124162     	(1.115506e+01 -1.663601e-03 9.652429e+02)	(1.112636e+01 1.351735e-03 9.652182e+02)	(2.869863e-02 -3.015335e-03 2.473885e-02)
0.0153123     	(1.115193e+01 -2.087282e-03 9.652433e+02)	(1.112324e+01 9.441338e-04 9.652186e+02)	(2.868782e-02 -3.031416e-03 2.474419e-02)
0.0185837     	(1.115081e+01 -2.539252e-03 9.652430e+02)	(1.112214e+01 5.091502e-04 9.652182e+02)	(2.867686e-02 -3.048402e-03 2.474662e-02)
0.0222321     	(1.115072e+01 -3.076325e-03 9.652423e+02)	(1.112205e+01 -1.059753e-05 9.652176e+02)	(2.866607e-02 -3.065727e-03 2.474450e-02)
0.0259783     	(1.115059e+01 -3.628335e-03 9.652412e+02)	(1.112193e+01 -5.455385e-04 9.652165e+02)	(2.865557e-02 -3.082797e-03 2.473732e-02)
0.0297246     	(1.115078e+01 -4.158717e-03 9.652401e+02)	(1.112213e+01 -1.059300e-03 9.652154e+02)	(2.864540e-02 -3.099417e-03 2.472564e-02)
0.0334708     	(1.115107e+01 -4.708036e-03 9.652392e+02)	(1.112243e+01 -1.592404e-03 9.652145e+02)	(2.863559e-02 -3.115632e-03 2.471030e-02)
0.037217      	(1.115138e+01 -5.262707e-03 9.652383e+02)	(1.112275e+01 -2.131184e-03 9.652136e+02)	(2.862607e-02 -3.131524e-03 2.469190e-02)
0.0409633     	(1.115159e+01 -5.798547e-03 9.652376e+02)	(1.112297e+01 -2.651426e-03 9.652129e+02)	(2.861679e-02 -3.147121e-03 2.467095e-02)
0.0447095     	(1.115198e+01 -6.347408e-03 9.652369e+02)	(1.112337e+01 -3.185183e-03 9.652123e+02)	(2.860781e-02 -3.162225e-03 2.464807e-02)
0.0484557     	(1.115240e+01 -6.897116e-03 9.652363e+02)	(1.112380e+01 -3.720365e-03 9.652117e+02)	(2.859922e-02 -3.176751e-03 2.462384e-02)
0.052202      	(1.115294e+01 -7.474633e-03 9.652359e+02)	(1.112435e+01 -4.284012e-03 9.652113e+02)	(2.859106e-02 -3.190621e-03 2.459878e-02)
0.0559335     	(1.115360e+01 -8.044595e-03 9.652354e+02)	(1.112502e+01 -4.840894e-03 9.652108e+02)	(2.858350e-02 -3.203701e-03 2.457322e-02)
0.059665      	(1.115421e+01 -8.610642e-03 9.652350e+02)	(1.112563e+01 -5.394655e-03 9.652105e+02)	(2.857671e-02 -3.215988e-03 2.454749e-02)
0.0633964     	(1.115516e+01 -9.161186e-03 9.652347e+02)	(1.112659e+01 -5.933647e-03 9.652102e+02)	(2.857087e-02 -3.227538e-03 2.452175e-02)
0.0671279     	(1.115623e+01 -9.714866e-03 9.652344e+02)	(1.112767e+01 -6.476135e-03 9.652099e+02)	(2.856622e-02 -3.238731e-03 2.449740e-02)
0.0708594     	(1.115737e+01 -1.027806e-02 9.652342e+02)	(1.112881e+01 -7.028909e-03 9.652098e+02)	(2.856250e-02 -3.249149e-03 2.447260e-02)
0.0745909     	(1.115863e+01 -1.085433e-02 9.652341e+02)	(1.113007e+01 -7.595647e-03 9.652097e+02)	(2.855985e-02 -3.258679e-03 2.444741e-02)
0.0783224     	(1.116011e+01 -1.141881e-02 9.652341e+02)	(1.113155e+01 -8.151635e-03 9.652097e+02)	(2.855840e-02 -3.267178e-03 2.442180e-02)
0.0820539     	(1.116174e+01 -1.200361e-02 9.652341e+02)	(1.113318e+01 -8.729089e-03 9.652097e+02)	(2.855829e-02 -3.274516e-03 2.439576e-02)
0.0857854     	(1.116345e+01 -1.255884e-02 9.652342e+02)	(1.113489e+01 -9.278273e-03 9.652098e+02)	(2.855956e-02 -3.280568e-03 2.436930e-02)
0.0895169     	(1.116531e+01 -1.313558e-02 9.652344e+02)	(1.113674e+01 -9.850242e-03 9.652101e+02)	(2.856225e-02 -3.285339e-03 2.434253e-02)
0.0932484     	(1.116730e+01 -1.372316e-02 9.652347e+02)	(1.113874e+01 -1.043437e-02 9.652104e+02)	(2.856654e-02 -3.288786e-03 2.431552e-02)
0.0969798     	(1.116932e+01 -1.432259e-02 9.652351e+02)	(1.114075e+01 -1.103169e-02 9.652108e+02)	(2.857252e-02 -3.290900e-03 2.428847e-02)
0.100711      	(1.117139e+01 -1.491558e-02 9.652357e+02)	(1.114281e+01 -1.162372e-02 9.652115e+02)	(2.858019e-02 -3.291863e-03 2.426151e-02)
0.104443      	(1.117364e+01 -1.551718e-02 9.652364e+02)	(1.114505e+01 -1.222534e-02 9.652121e+02)	(2.858948e-02 -3.291841e-03 2.423464e-02)
0.108174      	(1.117585e+01 -1.611260e-02 9.652372e+02)	(1.114725e+01 -1.282151e-02 9.652130e+02)	(2.860025e-02 -3.291090e-03 2.420792e-02)
0.111906      	(1.117796e+01 -1.669026e-02 9.652382e+02)	(1.114934e+01 -1.340043e-02 9.652140e+02)	(2.861242e-02 -3.289825e-03 2.418153e-02)
0.115637      	(1.117999e+01 -1.727099e-02 9.652394e+02)	(1.115136e+01 -1.398273e-02 9.652152e+02)	(2.862589e-02 -3.288261e-03 2.415562e-02)
0.119369      	(1.118197e+01 -1.782407e-02 9.652407e+02)	(1.115333e+01 -1.453754e-02 9.652166e+02)	(2.864046e-02 -3.286536e-03 2.413031e-02)
