# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000600024   	(1.309430e-02 2.982439e-01 -1.491007e-02)	(1.310812e-02 2.968835e-01 -1.479527e-02)	(-1.382083e-05 1.360460e-03 -1.148048e-04)
0.00132009    	(1.409336e-02 2.744790e-01 -1.283122e-02)	(1.410751e-02 2.731174e-01 -1.271558e-02)	(-1.414729e-05 1.361541e-03 -1.156400e-04)
0.00218416    	(1.430933e-02 2.683615e-01 -1.081163e-02)	(1.432377e-02 2.669998e-01 -1.069525e-02)	(-1.443187e-05 1.361770e-03 -1.163773e-04)
0.00322105    	(1.441508e-02 2.652731e-01 -9.866122e-03)	(1.442980e-02 2.639117e-01 -9.748989e-03)	(-1.471912e-05 1.361449e-03 -1.171331e-04)
0.00446527    	(1.448421e-02 2.633896e-01 -9.324781e-03)	(1.449921e-02 2.620289e-01 -9.206837e-03)	(-1.499936e-05 1.360694e-03 -1.179437e-04)
0.00595826    	(1.456397e-02 2.622415e-01 -9.024546e-03)	(1.457922e-02 2.608819e-01 -8.905699e-03)	(-1.525447e-05 1.359590e-03 -1.188469e-04)
0.00775017    	(1.464445e-02 2.614756e-01 -8.909930e-03)	(1.465992e-02 2.601174e-01 -8.790057e-03)	(-1.547129e-05 1.358203e-03 -1.198727e-04)
0.00990014    	(1.474236e-02 2.611262e-01 -8.902371e-03)	(1.475798e-02 2.597696e-01 -8.781330e-03)	(-1.561689e-05 1.356630e-03 -1.210408e-04)
0.0124242     	(1.487494e-02 2.609082e-01 -8.903997e-03)	(1.489059e-02 2.595533e-01 -8.781658e-03)	(-1.564928e-05 1.354945e-03 -1.223397e-04)
0.015324      	(1.500907e-02 2.608932e-01 -8.946159e-03)	(1.502462e-02 2.595400e-01 -8.822408e-03)	(-1.554625e-05 1.353253e-03 -1.237511e-04)
0.0185991     	(1.516570e-02 2.609789e-01 -9.009336e-03)	(1.518097e-02 2.596273e-01 -8.884076e-03)	(-1.526633e-05 1.351622e-03 -1.252602e-04)
0.0222511     	(1.533632e-02 2.611214e-01 -9.061112e-03)	(1.535105e-02 2.597713e-01 -8.934269e-03)	(-1.473560e-05 1.350096e-03 -1.268426e-04)
0.0260136     	(1.550853e-02 2.612767e-01 -9.102051e-03)	(1.552256e-02 2.599280e-01 -8.973650e-03)	(-1.403943e-05 1.348758e-03 -1.284002e-04)
0.0297761     	(1.567912e-02 2.614527e-01 -9.153807e-03)	(1.569232e-02 2.601051e-01 -9.023899e-03)	(-1.319726e-05 1.347624e-03 -1.299084e-04)
0.0335385     	(1.584437e-02 2.616401e-01 -9.193605e-03)	(1.585659e-02 2.602934e-01 -9.062251e-03)	(-1.221790e-05 1.346679e-03 -1.313544e-04)
0.0372981     	(1.599218e-02 2.618354e-01 -9.241962e-03)	(1.600326e-02 2.604894e-01 -9.109251e-03)	(-1.108146e-05 1.345909e-03 -1.327113e-04)
0.0410578     	(1.613945e-02 2.620315e-01 -9.267038e-03)	(1.614924e-02 2.606862e-01 -9.133070e-03)	(-9.788593e-06 1.345293e-03 -1.339684e-04)
0.0448183     	(1.627506e-02 2.622245e-01 -9.299551e-03)	(1.628340e-02 2.608797e-01 -9.164425e-03)	(-8.335427e-06 1.344812e-03 -1.351261e-04)
0.0485789     	(1.639990e-02 2.624190e-01 -9.326238e-03)	(1.640662e-02 2.610745e-01 -9.190047e-03)	(-6.715506e-06 1.344450e-03 -1.361919e-04)
0.0523246     	(1.651774e-02 2.626129e-01 -9.345803e-03)	(1.652268e-02 2.612687e-01 -9.208635e-03)	(-4.931025e-06 1.344144e-03 -1.371683e-04)
0.0560704     	(1.662830e-02 2.628009e-01 -9.345307e-03)	(1.663132e-02 2.614569e-01 -9.207280e-03)	(-3.018875e-06 1.343975e-03 -1.380262e-04)
0.0598161     	(1.672536e-02 2.629926e-01 -9.343495e-03)	(1.672632e-02 2.616488e-01 -9.204684e-03)	(-9.671474e-07 1.343864e-03 -1.388108e-04)
0.0635619     	(1.680772e-02 2.631788e-01 -9.336608e-03)	(1.680651e-02 2.618349e-01 -9.197126e-03)	(1.202856e-06 1.343884e-03 -1.394820e-04)
0.0673076     	(1.687165e-02 2.633617e-01 -9.330319e-03)	(1.686817e-02 2.620177e-01 -9.190245e-03)	(3.478615e-06 1.343969e-03 -1.400736e-04)
0.0710534     	(1.692600e-02 2.635442e-01 -9.318260e-03)	(1.692013e-02 2.622001e-01 -9.177681e-03)	(5.869097e-06 1.344151e-03 -1.405792e-04)
0.0747992     	(1.697223e-02 2.637229e-01 -9.308266e-03)	(1.696385e-02 2.623785e-01 -9.167257e-03)	(8.378510e-06 1.344428e-03 -1.410091e-04)
0.0785449     	(1.699778e-02 2.639020e-01 -9.307735e-03)	(1.698679e-02 2.625572e-01 -9.166378e-03)	(1.099510e-05 1.344803e-03 -1.413574e-04)
0.0822907     	(1.701167e-02 2.640760e-01 -9.311183e-03)	(1.699795e-02 2.627307e-01 -9.169565e-03)	(1.372517e-05 1.345274e-03 -1.416173e-04)
0.0860364     	(1.700648e-02 2.642503e-01 -9.324201e-03)	(1.698992e-02 2.629044e-01 -9.182410e-03)	(1.656251e-05 1.345842e-03 -1.417918e-04)
0.0897822     	(1.698797e-02 2.644248e-01 -9.341033e-03)	(1.696847e-02 2.630783e-01 -9.199157e-03)	(1.949604e-05 1.346503e-03 -1.418759e-04)
0.0935279     	(1.695158e-02 2.645985e-01 -9.368684e-03)	(1.692906e-02 2.632512e-01 -9.226812e-03)	(2.251645e-05 1.347259e-03 -1.418728e-04)
0.0972737     	(1.690405e-02 2.647696e-01 -9.409656e-03)	(1.687844e-02 2.634215e-01 -9.267868e-03)	(2.560955e-05 1.348105e-03 -1.417884e-04)
