# Wall shear stress
# Time        	patch         	min           	max           
5             	obstacle	(-3.082836e-03 -6.964252e-03 -1.912053e-03)	(1.085043e-03 7.118170e-03 3.488799e-03)
10            	obstacle	(-3.552608e-03 -7.959685e-03 -2.115922e-03)	(1.231464e-03 7.986330e-03 3.620903e-03)
15            	obstacle	(-6.676257e-03 -9.346869e-03 -2.811066e-03)	(2.691645e-03 9.395499e-03 3.022159e-03)
20            	obstacle	(-6.203971e-03 -9.059114e-03 -3.328964e-03)	(3.076132e-03 9.107220e-03 2.968951e-03)
25            	obstacle	(-6.264461e-03 -8.863051e-03 -2.817189e-03)	(2.500493e-03 9.013023e-03 3.048019e-03)
30            	obstacle	(-6.416283e-03 -8.964596e-03 -2.964571e-03)	(2.401981e-03 9.037526e-03 2.982956e-03)
35            	obstacle	(-6.052194e-03 -8.812183e-03 -3.069809e-03)	(1.960817e-03 8.887608e-03 3.102779e-03)
40            	obstacle	(-6.618218e-03 -9.156398e-03 -3.086677e-03)	(2.179594e-03 9.328880e-03 3.267969e-03)
45            	obstacle	(-6.443305e-03 -9.272355e-03 -3.121680e-03)	(2.534015e-03 9.134916e-03 3.107564e-03)
50            	obstacle	(-6.350767e-03 -8.896095e-03 -3.543986e-03)	(1.896734e-03 9.211291e-03 3.140191e-03)
55            	obstacle	(-6.415169e-03 -9.297914e-03 -2.888946e-03)	(2.495962e-03 8.987251e-03 3.011686e-03)
60            	obstacle	(-6.279539e-03 -9.245583e-03 -3.217415e-03)	(3.058031e-03 8.900411e-03 3.181764e-03)
65            	obstacle	(-6.361644e-03 -8.861476e-03 -2.949363e-03)	(1.883179e-03 9.238171e-03 3.180893e-03)
70            	obstacle	(-6.481448e-03 -8.838319e-03 -3.402985e-03)	(1.524144e-03 9.358485e-03 3.485704e-03)
75            	obstacle	(-6.235825e-03 -9.131188e-03 -3.218827e-03)	(2.723698e-03 8.954526e-03 3.258933e-03)
80            	obstacle	(-6.122517e-03 -9.059541e-03 -3.361465e-03)	(1.480393e-03 9.001008e-03 2.814422e-03)
85            	obstacle	(-6.322177e-03 -9.076744e-03 -3.098701e-03)	(2.644316e-03 9.105103e-03 3.222555e-03)
