# y+ ()       
# Time        	patch         	min           	max           	average       
5             	bottom	1.748648e-02	2.110358e+02	6.557932e+01
5             	frontAndBack	1.609716e-01	1.900618e+02	5.486767e+01
5             	obstacle	9.530319e-03	1.368229e+01	3.952344e+00
10            	bottom	7.788172e-03	3.618895e+02	8.840399e+01
10            	frontAndBack	2.097739e-01	2.184285e+02	5.906511e+01
10            	obstacle	5.879587e-03	1.892988e+01	5.440160e+00
15            	bottom	5.095376e-03	3.751346e+02	1.044857e+02
15            	frontAndBack	1.102608e-01	2.045173e+02	6.230167e+01
15            	obstacle	3.846699e-03	2.499957e+01	8.659737e+00
20            	bottom	6.177734e-03	3.642031e+02	1.007294e+02
20            	frontAndBack	6.365118e-02	2.100828e+02	5.912333e+01
20            	obstacle	4.323742e-03	2.201786e+01	8.407065e+00
25            	bottom	4.695087e-03	3.495772e+02	1.036197e+02
25            	frontAndBack	4.053268e-02	2.651179e+02	5.535874e+01
25            	obstacle	3.544498e-03	2.327939e+01	8.639427e+00
30            	bottom	3.652975e-03	3.132315e+02	1.030310e+02
30            	frontAndBack	6.467219e-02	2.448444e+02	5.353559e+01
30            	obstacle	2.757770e-03	2.267710e+01	8.720980e+00
35            	bottom	6.461392e-03	3.229302e+02	1.052073e+02
35            	frontAndBack	4.486329e-02	2.582312e+02	5.431862e+01
35            	obstacle	4.877796e-03	2.285285e+01	8.689339e+00
40            	bottom	1.111575e-02	2.745847e+02	1.048840e+02
40            	frontAndBack	5.438079e-02	2.455978e+02	5.494598e+01
40            	obstacle	8.391722e-03	2.181995e+01	8.395476e+00
45            	bottom	6.943349e-03	2.771317e+02	1.053545e+02
45            	frontAndBack	3.404175e-02	2.558156e+02	5.508114e+01
45            	obstacle	5.241796e-03	2.200886e+01	8.594051e+00
50            	bottom	7.891205e-03	2.771014e+02	1.061150e+02
50            	frontAndBack	4.085605e-02	2.551404e+02	5.437621e+01
50            	obstacle	5.957385e-03	2.197157e+01	8.559849e+00
55            	bottom	8.024875e-03	2.808000e+02	1.068304e+02
55            	frontAndBack	4.603403e-02	2.580208e+02	5.444997e+01
55            	obstacle	6.058325e-03	2.190114e+01	8.498578e+00
60            	bottom	1.128665e-02	2.776722e+02	1.078764e+02
60            	frontAndBack	6.078087e-02	2.583609e+02	5.433545e+01
60            	obstacle	5.749528e-03	2.188790e+01	8.542011e+00
65            	bottom	7.714705e-03	2.780074e+02	1.088216e+02
65            	frontAndBack	6.825723e-02	2.562090e+02	5.415807e+01
65            	obstacle	5.944791e-03	2.195173e+01	8.501509e+00
70            	bottom	8.639467e-03	2.842817e+02	1.098066e+02
70            	frontAndBack	6.899452e-02	2.596974e+02	5.406424e+01
70            	obstacle	6.522278e-03	2.212663e+01	8.536981e+00
75            	bottom	7.982022e-03	2.805955e+02	1.099177e+02
75            	frontAndBack	5.111328e-02	2.555250e+02	5.398185e+01
75            	obstacle	6.025740e-03	2.190612e+01	8.464310e+00
80            	bottom	9.228845e-03	2.818705e+02	1.101629e+02
80            	frontAndBack	4.950800e-02	2.547804e+02	5.397996e+01
80            	obstacle	6.967221e-03	2.181961e+01	8.533683e+00
85            	bottom	5.673253e-03	2.850688e+02	1.103460e+02
85            	frontAndBack	1.753590e-02	2.628529e+02	5.405136e+01
85            	obstacle	4.227989e-03	2.214990e+01	8.691830e+00
