"Co","U:0","U:1","U:2","alpha.water","k","nut","omega","p","p_rgh","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","Points:0","Points:1","Points:2"
0.45636,1.2142,0.00093575,-0.014382,0.91315,0.0333,0.0012565,26.363,88.486,531.7,0,0,0,0,0.91008,0,0.049965
0.53671,1.2153,0.00068212,-0.015973,0.93014,0.03329,0.0012589,26.325,88.066,540.55,0,0,0,0,0.90137,0,0.049985
0.74886,0.95246,-0.0073281,0.056658,0.5,0.042642,0.0011657,36.566,9.7906,467.23,0,0,0,0,0.59,0,0.095057
0.74879,0.95228,-0.0073491,0.056767,0.505,0.042597,0.0011649,36.553,9.902,471.87,0,0,0,0,0.59,1.5777e-30,0.095
0.74879,0.95228,-0.0073491,0.056767,0.505,0.042597,0.0011649,36.553,9.902,471.87,0,0,0,0,0.59,0,0.095
0.73422,0.95282,-0.0073718,0.036334,0.53175,0.042231,0.0011685,36.129,10.537,497.54,0,0,0,0,0.595,0,0.095
0.75063,0.95231,-0.0073035,0.059271,0.5,0.042658,0.0011647,36.612,9.7848,467.11,0,0,0,0,0.58938,0,0.095
0.7625,0.94497,-0.0081683,0.080965,0.91763,0.039969,0.0011064,36.115,29.734,837.97,0,0,0,0,0.585,0,0.09
0.74827,0.94409,-0.0085941,0.061936,0.93874,0.039451,0.0011063,35.649,31.02,858.39,0,0,0,0,0.59,0,0.09
1.0178,1.0654,0.01472,0.2935,0.61058,0.04925,0.0010556,46.621,26.942,437.01,0,0,0,0,0.485,0,0.07
1.0304,1.0766,0.016264,0.29594,0.5,0.050803,0.0010638,47.718,19.28,352.94,0,0,0,0,0.48053,0,0.07
1.022,1.0654,0.014741,0.29905,0.5,0.050423,0.0010672,47.193,21.761,358.77,0,0,0,0,0.485,0,0.071117
1.0221,1.0876,0.017494,0.27733,0.94956,0.045798,0.0010157,45.057,59.829,664.11,0,0,0,0,0.48,0,0.065
1.0111,1.0776,0.016114,0.27426,0.99885,0.044439,0.0010078,44.067,72.192,709.08,0,0,0,0,0.485,0,0.065
1.0578,1.2867,0.031265,0.11086,0.5,0.057352,0.0010099,56.715,17.678,253.48,0,0,0,0,0.37,0,0.050026
1.0578,1.2868,0.031268,0.11083,0.50236,0.057283,0.0010096,56.664,17.766,254.67,0,0,0,0,0.37,1.5777e-30,0.05
1.0578,1.2868,0.031268,0.11083,0.50236,0.057283,0.0010096,56.664,17.766,254.67,0,0,0,0,0.37,0,0.05
1.0607,1.2813,0.032022,0.11955,0.5535,0.055915,0.0010059,55.524,21.061,282.89,0,0,0,0,0.375,1.5777e-30,0.05
1.0607,1.2813,0.032022,0.11955,0.5535,0.055915,0.0010059,55.524,21.061,282.89,0,0,0,0,0.375,0,0.05
1.0568,1.2912,0.03085,0.10662,0.95019,0.047988,0.00099552,48.209,63.348,481.61,0,0,0,0,0.37,0,0.045
1.0576,1.2871,0.031227,0.11032,0.5,0.057357,0.0010098,56.725,17.614,253.37,0,0,0,0,0.36972,0,0.05
1.0568,1.2912,0.03085,0.10662,0.95019,0.047988,0.00099552,48.209,63.348,481.61,0,0,0,0,0.37,1.5777e-30,0.045
1.0545,1.2969,0.03016,0.098303,0.92556,0.048892,0.0010001,48.9,58.225,465.02,0,0,0,0,0.365,0,0.045
1.0783,1.3148,0.021012,-0.12248,0.55516,0.062436,0.0011859,52.769,17.77,280.96,0,0,0,0,0.24,0,0.05
1.0741,1.3184,0.021763,-0.11221,0.50608,0.063333,0.001166,54.44,14.755,253.66,0,0,0,0,0.245,0,0.05
1.074,1.3181,0.021758,-0.11231,0.5,0.063538,0.0011614,54.641,14.563,250.64,0,0,0,0,0.245,0,0.050068
1.0735,1.3188,0.021855,-0.1108,0.5,0.063446,0.0011633,54.664,14.426,250.35,0,0,0,0,0.24571,0,0.05
1.0733,1.3309,0.021256,-0.10158,0.94814,0.054418,0.0012038,45.249,58.219,475.54,0,0,0,0,0.245,0,0.045
1.0689,1.3333,0.021948,-0.092455,0.92621,0.054869,0.0011871,46.282,53.315,460.43,0,0,0,0,0.25,7.8886e-31,0.045
0.47966,1.0414,-0.0099746,0.0081992,0.99999,0.01208,0.00017038,76.883,467.13,563.6,0,0,0,0,0.91157,0,0.0079122
0.47966,1.0414,-0.0099746,0.0081992,0.99999,0.01208,0.00017038,76.883,467.13,563.6,0,0,0,0,0.91157,0,0.0079122
0.47966,1.0414,-0.0099746,0.0081992,0.99999,0.01208,0.00017038,76.883,467.13,563.6,0,0,0,0,0.91157,0,0.0079122
0.36445,0.92482,-0.0066404,-0.0050984,1,0.011051,1.2471e-05,105,535.91,535.91,0,0,0,257.37,0.92318,0,1.1265e-07
0.56881,0.86811,-0.0077343,0.0073948,1,0.010978,1.0696e-05,128.02,544.76,544.76,0,0,0,219.36,0.91717,0,0
0.36445,0.92482,-0.0066404,-0.0050987,1,0.011051,1.2471e-05,105,535.91,535.91,0,0,0,257.37,0.92318,0,0
0.23824,0.044138,-0.22261,-0.088962,1,0.0077044,5.2463e-06,178.3,872.11,872.11,0,0,0,105.85,0.036625,0,3.7564e-08
0.30496,0.026926,-0.23085,-0.081183,1,0.0069231,4.3524e-06,199.57,873.15,873.15,0,0,0,88.644,0.034215,0,1.5262e-39
0.23824,0.044138,-0.22261,-0.088962,1,0.0077044,5.2458e-06,178.3,872.11,872.11,0,0,0,105.86,0.036625,6.6174e-24,-3.9051e-41
0.27717,0.0042487,-0.18631,-0.10701,1,0.0080503,6.6485e-05,137.92,823.19,865.31,0,0,0,0,0.031053,0,0.0036578
0.27717,0.0042487,-0.18631,-0.10701,1,0.0080503,6.6485e-05,137.92,823.19,865.31,0,0,0,0,0.031053,0,0.0036577
0.27717,0.0042488,-0.18631,-0.10701,1,0.0080503,6.6485e-05,137.92,823.19,865.31,0,0,0,0,0.031053,0,0.0036577
0.57378,-0.10425,-0.25745,-0.041875,1.0001,0.0046321,1.7555e-06,290.72,871.54,871.54,0,0,0,40.167,0.022831,3.3087e-24,2.029e-08
0.76879,-0.11564,-0.26306,-0.036178,1.0001,0.0043749,1.5573e-06,303.07,871.19,871.19,0,0,0,36.734,0.021469,0,-2.4128e-28
0.57378,-0.10425,-0.25745,-0.041875,1.0001,0.0046321,1.7554e-06,290.72,871.54,871.54,0,0,0,40.168,0.022831,0,2.1731e-29
0.63484,-0.10792,-0.22856,-0.052474,1,0.0046857,2.2621e-05,218.42,845.47,867.54,0,0,0,0,0.020667,0,0.0019487
0.63484,-0.10792,-0.22856,-0.052474,1,0.0046857,2.2621e-05,218.42,845.47,867.54,0,0,0,0,0.020667,0,0.0019487
0.63217,1.2137,0.001664,-0.016519,0.76992,0.038195,0.0013388,28.516,38.072,450.28,0,0,0,0,0.90012,0,0.054998
0.62979,1.2166,-0.00047049,-0.016992,0.99998,0.028553,0.0011704,24.384,138.29,579.21,0,0,0,0,0.90014,0,0.044977
0.53095,1.2104,-0.0016653,-0.014822,0.99996,0.024883,0.0010358,23.99,190.63,581.57,0,0,0,0,0.90142,0,0.039918
0.45273,1.2098,-0.001538,-0.013266,0.99993,0.024882,0.0010344,24.017,189.53,580.08,0,0,0,0,0.91016,0,0.039828
0.61926,1.2023,-0.0031194,-0.014144,0.9999,0.021343,0.00089637,23.82,244.14,585.52,0,0,0,0,0.9002,0,0.034878
0.52221,1.185,-0.0047147,-0.010464,0.9999,0.018615,0.00073862,25.569,297.09,587.22,0,0,0,0,0.90154,0,0.029702
0.44495,1.1847,-0.0047326,-0.0097963,0.99989,0.018628,0.00073654,25.726,295.61,584.92,0,0,0,0,0.91035,0,0.029473
0.44495,1.1847,-0.0047326,-0.0097963,0.99989,0.018628,0.00073654,25.726,295.61,584.92,0,0,0,0,0.91035,0,0.029473
0.60851,1.1644,-0.0066089,-0.0082065,0.9999,0.016064,0.00058544,27.525,350.89,590.75,0,0,0,0,0.90036,0,0.024584
0.51771,1.1394,-0.0086656,0.0017735,0.99994,0.014487,0.00044254,35.865,398.71,590.51,0,0,0,0,0.90174,0,0.019195
0.52221,1.185,-0.0047147,-0.010464,0.9999,0.018615,0.00073862,25.569,297.09,587.22,0,0,0,0,0.90154,0,0.029702
0.44495,1.1847,-0.0047326,-0.0097963,0.99989,0.018628,0.00073654,25.726,295.61,584.92,0,0,0,0,0.91035,0,0.029473
0.43741,1.1361,-0.0092586,0.0028723,0.99995,0.013919,0.00037961,40.717,411.23,583.36,0,0,0,0,0.9107,0,0.01883
0.47966,1.0414,-0.0099746,0.0081992,0.99999,0.01208,0.00017038,76.883,467.13,563.6,0,0,0,0,0.91157,0,0.0079122
0.47966,1.0414,-0.0099746,0.0081992,0.99999,0.01208,0.00017038,76.883,467.13,563.6,0,0,0,0,0.91157,8.2718e-25,0.0079122
0.054305,0.0048947,-0.00036382,0.006775,1.0001,5.7858e-05,4.0507e-07,192.56,1357.8,1370.3,0,0,0,0,-0.014992,-8.2718e-25,0.0010912
0.054305,0.0048947,-0.00036382,0.0067751,1.0001,5.7858e-05,4.0507e-07,192.56,1357.8,1370.3,0,0,0,0,-0.014992,-8.2718e-25,0.0010912
0.054305,0.0048947,-0.00036382,0.006775,1.0001,5.7858e-05,4.0506e-07,192.56,1357.8,1370.3,0,0,0,0,-0.014992,0,0.0010912
0.032148,-0.0066964,-0.00033704,-0.0030366,1.0002,4.5784e-06,9.5308e-14,332.86,1370.3,1370.3,0,0,0,0.57623,-0.013996,0,2.6144e-09
0.031261,-0.006442,-0.00033861,-0.002764,1.0002,6.2415e-06,0,326.64,1370.3,1370.3,0,0,0,0.65325,-0.01417,4.1359e-25,2.1542e-15
0.032148,-0.0066964,-0.00033704,-0.0030366,1.0002,4.5784e-06,0,332.86,1370.3,1370.3,0,0,0,0.57623,-0.013996,4.1359e-25,2.6054e-15
0.089259,0.027607,-0.00023203,-0.02787,1,0.00050574,4.2626e-06,117.92,1348.6,1369.3,0,0,0,0,-0.020667,0,0.0019487
0.10004,0.0039633,0.00014174,-0.047694,1,0.00092806,7.4449e-06,121.22,1344.4,1369.9,0,0,0,0,-0.022726,0,0.0022317
0.089259,0.027608,-0.00023203,-0.02787,1,0.00050574,4.2626e-06,117.92,1348.6,1369.3,0,0,0,0,-0.020667,0,0.0019487
0.10004,0.0039636,0.00014173,-0.047694,1,0.00092805,7.4449e-06,121.22,1344.4,1369.9,0,0,0,0,-0.022726,0,0.0022317
0.19339,-0.12697,0.00016096,-0.01754,1,0.0021757,1.9758e-06,129.22,1361.8,1361.8,0,0,0,44.209,-0.032367,0,6.4144e-09
0.18662,-0.12804,0.00017716,-0.016678,1,0.0021784,2.0314e-06,126.63,1361.5,1361.5,0,0,0,45.199,-0.03271,0,2.502e-39
0.19339,-0.12697,0.00016096,-0.01754,1,0.0021757,1.9757e-06,129.22,1361.8,1361.8,0,0,0,44.209,-0.032367,0,2.7246e-39
0.12554,-0.1052,0.00023003,-0.028193,1,0.0031272,4.292e-05,88.413,1319.8,1359.4,0,0,0,0,-0.031053,0,0.0036578
0.086467,-0.102,0.00080945,-0.018653,1,0.0033061,5.1045e-05,76.361,1310.8,1356.7,0,0,0,0,-0.035845,0,0.0044935
0.12554,-0.1052,0.00023003,-0.028193,1,0.0031272,4.292e-05,88.413,1319.8,1359.4,0,0,0,0,-0.031053,0,0.0036577
0.086468,-0.102,0.00080945,-0.018653,1,0.003306,5.1045e-05,76.361,1310.8,1356.7,0,0,0,0,-0.035845,0,0.0044935
0.24051,0.54636,0.0004565,0.025395,1,0.0078027,0.00018922,52.788,1182.4,1281.8,0,0,0,0,-0.32157,0,0.0079122
0.21052,0.53258,0.00052645,0.029821,1,0.0073373,0.00016442,52.87,1200.8,1289.4,0,0,0,0,-0.33172,0,0.0090511
0.24051,0.54636,0.0004565,0.025395,1,0.0078027,0.00018922,52.788,1182.4,1281.8,0,0,0,0,-0.32157,0,0.0079122
0.21052,0.53258,0.00052645,0.029821,1,0.0073373,0.00016442,52.87,1200.8,1289.4,0,0,0,0,-0.33172,0,0.009051
1.1941,-0.09094,-0.25326,0.015966,1.0002,0.0025841,7.2681e-06,378.27,864.53,875.61,0,0,0,0,0.013979,0,0.00098548
1.1941,-0.09094,-0.25326,0.015966,1.0002,0.0025841,7.2681e-06,378.27,864.53,875.61,0,0,0,0,0.013979,0,0.00098548
1.1941,-0.09094,-0.25326,0.015966,1.0002,0.0025841,7.2681e-06,378.27,864.53,875.61,0,0,0,0,0.013979,0,0.00098547
0.94301,-0.083108,-0.22759,0.011399,1.0002,0.0023568,1.5601e-07,509.16,874.79,874.79,0,0,0,13.847,0.015009,0,-2.0913e-17
0.94301,-0.083109,-0.22759,0.011399,1.0002,0.0023568,1.5602e-07,509.16,874.79,874.79,0,0,0,13.848,0.015009,0,-2.097e-17
0.94301,-0.083109,-0.22759,0.011399,1.0002,0.0023568,1.5611e-07,509.16,874.79,874.79,0,0,0,13.847,0.015009,0,2.1865e-08
0.6876,0.82892,-0.07036,-0.048098,1,0.017911,6.97e-05,265.56,382.4,917.06,0,0,0,0,0.025113,-3.9443e-31,0.055103
0.71722,0.85647,-0.061118,-0.042274,1,0.017271,6.9386e-05,257.31,381.51,920.13,0,0,0,0,0.023813,0,0.055181
0.6876,0.82892,-0.07036,-0.048098,1,0.017911,6.97e-05,265.56,382.4,917.06,0,0,0,0,0.025113,0,0.055103
0.41086,0.30225,-0.14591,-0.023515,0.99998,0.020157,9.9406e-05,199.64,403.89,846.68,0,0,0,0,0.035043,0,0.045092
0.39166,0.25005,-0.17334,-0.00061535,0.99998,0.02005,9.0333e-05,213.72,414.9,863.9,0,0,0,0,0.030386,0,0.045429
0.50301,0.28279,0.13038,-0.049855,0.99994,0.021119,8.0673e-05,233.53,435.9,853.93,0,0,0,0,0.030054,0,0.04257
0.61836,0.26875,0.29564,-0.061182,0.99996,0.016803,8.057e-05,200.61,461.37,852.87,0,0,0,0,0.030691,1.0097e-28,0.040074
0.40965,0.28564,0.19794,-0.070346,0.99997,0.018473,9.5643e-05,189.26,442.02,835.26,0,0,0,0,0.035019,2.5244e-29,0.040058
0.40965,0.28564,0.19794,-0.070346,0.99997,0.018473,9.5643e-05,189.26,442.02,835.26,0,0,0,0,0.035019,-2.5244e-29,0.040058
0.61836,0.26875,0.29564,-0.061182,0.99996,0.016803,8.057e-05,200.61,461.37,852.87,0,0,0,0,0.030691,0,0.040074
0.61391,0.66081,-0.13046,-0.037197,1,0.019024,6.9584e-05,277.35,394.04,909.8,0,0,0,0,0.02528,0,0.052528
0.50459,0.41083,-0.24646,-0.013508,1,0.019437,8.1706e-05,239.38,401.89,887.63,0,0,0,0,0.030103,0,0.050113
0.54157,0.49566,-0.19597,-0.02467,1,0.019816,7.2459e-05,275.44,403.17,899.9,0,0,0,0,0.026556,0,0.050343
0.12561,-0.027288,0.0001016,-0.0095802,1,0.00010996,8.7781e-07,130.47,1310.7,1368.8,0,0,0,0,-0.02011,0,0.0060688
0.077319,-0.013817,0.00014971,-0.017,1,0.00019519,2.0675e-06,97.84,1322.7,1368.1,0,0,0,0,-0.020261,0,0.0045763
0.12561,-0.027288,0.0001016,-0.0095802,1,0.00010996,8.778e-07,130.47,1310.7,1368.8,0,0,0,0,-0.02011,0,0.0060688
0.077319,-0.013817,0.00014972,-0.017,1,0.00019519,2.0675e-06,97.84,1322.7,1368.1,0,0,0,0,-0.020261,0,0.0045763
0.19612,-0.015653,-7.3087e-05,-0.049799,1,0.00061611,2.8703e-06,198.59,1299.1,1369.7,0,0,0,0,-0.021341,0,0.0073553
0.17577,-0.020872,0.00013095,-0.034268,1,0.00035017,2.0181e-06,157.55,1307.4,1369.3,0,0,0,0,-0.021296,0,0.0061028
0.19612,-0.015653,-7.3087e-05,-0.049799,1,0.00061611,2.8703e-06,198.59,1299.1,1369.7,0,0,0,0,-0.021341,0,0.0073553
0.17577,-0.020872,0.00013095,-0.034268,1,0.00035017,2.0181e-06,157.55,1307.4,1369.3,0,0,0,0,-0.021295,0,0.0061028
