# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000597015   	(1.780853e+07 1.949353e+07 2.186117e+07)	(1.780853e+07 1.949353e+07 2.186117e+07)	(-1.948072e-01 2.324051e-01 1.561433e-01)
0.00131343    	(1.951001e+07 1.794554e+07 2.201689e+07)	(1.951001e+07 1.794554e+07 2.201689e+07)	(-2.309803e-01 2.992058e-01 -7.637092e-02)
0.00217313    	(1.951324e+07 1.794095e+07 2.201736e+07)	(1.951324e+07 1.794095e+07 2.201736e+07)	(-2.727922e-01 3.598609e-01 -2.406175e-01)
0.00319548    	(1.951463e+07 1.793853e+07 2.201759e+07)	(1.951463e+07 1.793853e+07 2.201759e+07)	(-3.081850e-01 3.981762e-01 -3.724915e-01)
0.0044223     	(1.951519e+07 1.793676e+07 2.201775e+07)	(1.951519e+07 1.793676e+07 2.201775e+07)	(-3.504311e-01 4.150251e-01 -4.383102e-01)
0.0059047     	(1.951511e+07 1.793559e+07 2.201783e+07)	(1.951511e+07 1.793559e+07 2.201783e+07)	(-4.012107e-01 4.265427e-01 -4.333826e-01)
0.00769919    	(1.951440e+07 1.793495e+07 2.201784e+07)	(1.951440e+07 1.793495e+07 2.201784e+07)	(-4.612137e-01 4.377673e-01 -3.657459e-01)
0.00985258    	(1.951309e+07 1.793468e+07 2.201780e+07)	(1.951309e+07 1.793468e+07 2.201780e+07)	(-5.295123e-01 4.553337e-01 -2.227643e-01)
0.0123649     	(1.951121e+07 1.793462e+07 2.201771e+07)	(1.951121e+07 1.793462e+07 2.201771e+07)	(-6.215515e-01 4.687556e-01 7.973424e-03)
0.0154354     	(1.950883e+07 1.793468e+07 2.201760e+07)	(1.950883e+07 1.793468e+07 2.201760e+07)	(-7.340402e-01 4.771466e-01 2.920628e-01)
0.0189447     	(1.950597e+07 1.793485e+07 2.201744e+07)	(1.950597e+07 1.793485e+07 2.201744e+07)	(-8.718769e-01 4.808346e-01 5.645376e-01)
0.0231557     	(1.950274e+07 1.793508e+07 2.201726e+07)	(1.950274e+07 1.793508e+07 2.201726e+07)	(-1.013962e+00 4.634888e-01 7.843362e-01)
0.0287705     	(1.949877e+07 1.793546e+07 2.201701e+07)	(1.949877e+07 1.793546e+07 2.201701e+07)	(-1.095731e+00 4.145968e-01 8.516971e-01)
0.0343852     	(1.949519e+07 1.793588e+07 2.201677e+07)	(1.949519e+07 1.793588e+07 2.201677e+07)	(-1.184826e+00 3.631295e-01 8.770629e-01)
0.04          	(1.949245e+07 1.793622e+07 2.201658e+07)	(1.949245e+07 1.793622e+07 2.201658e+07)	(-1.255033e+00 3.160975e-01 8.747943e-01)
0.0466667     	(1.949005e+07 1.793646e+07 2.201641e+07)	(1.949005e+07 1.793646e+07 2.201641e+07)	(-1.301299e+00 2.454721e-01 8.466419e-01)
0.055         	(1.948780e+07 1.793671e+07 2.201623e+07)	(1.948780e+07 1.793671e+07 2.201623e+07)	(-1.407849e+00 1.531312e-01 8.579223e-01)
0.0633333     	(1.948627e+07 1.793702e+07 2.201611e+07)	(1.948627e+07 1.793702e+07 2.201611e+07)	(-1.481332e+00 7.632361e-02 8.869097e-01)
0.0716667     	(1.948508e+07 1.793721e+07 2.201599e+07)	(1.948508e+07 1.793721e+07 2.201599e+07)	(-1.534330e+00 3.550405e-02 9.340742e-01)
0.08          	(1.948422e+07 1.793743e+07 2.201589e+07)	(1.948422e+07 1.793743e+07 2.201589e+07)	(-1.585041e+00 7.999554e-03 1.011712e+00)
0.09          	(1.948362e+07 1.793753e+07 2.201578e+07)	(1.948362e+07 1.793753e+07 2.201578e+07)	(-1.672382e+00 -3.574182e-02 1.131151e+00)
0.1           	(1.948334e+07 1.793766e+07 2.201572e+07)	(1.948334e+07 1.793766e+07 2.201572e+07)	(-1.796978e+00 -5.068264e-02 1.287128e+00)
0.11          	(1.948324e+07 1.793777e+07 2.201566e+07)	(1.948325e+07 1.793777e+07 2.201566e+07)	(-1.953452e+00 -5.644033e-02 1.427851e+00)
0.12          	(1.948329e+07 1.793785e+07 2.201562e+07)	(1.948330e+07 1.793785e+07 2.201561e+07)	(-2.069798e+00 -6.054152e-02 1.476997e+00)
0.133333      	(1.948351e+07 1.793784e+07 2.201557e+07)	(1.948352e+07 1.793784e+07 2.201557e+07)	(-1.994598e+00 -1.160329e-01 1.202549e+00)
0.146667      	(1.948377e+07 1.793791e+07 2.201555e+07)	(1.948377e+07 1.793791e+07 2.201555e+07)	(-1.911366e+00 -1.289856e-01 1.083992e+00)
0.16          	(1.948412e+07 1.793796e+07 2.201554e+07)	(1.948412e+07 1.793796e+07 2.201554e+07)	(-1.827151e+00 -1.224244e-01 1.011793e+00)
0.173333      	(1.948462e+07 1.793792e+07 2.201554e+07)	(1.948462e+07 1.793792e+07 2.201554e+07)	(-1.806683e+00 -1.167225e-01 1.032317e+00)
0.186667      	(1.948499e+07 1.793793e+07 2.201554e+07)	(1.948500e+07 1.793793e+07 2.201554e+07)	(-1.792838e+00 -1.050527e-01 1.051232e+00)
0.2           	(1.948528e+07 1.793792e+07 2.201552e+07)	(1.948528e+07 1.793792e+07 2.201552e+07)	(-1.775236e+00 -9.581034e-02 1.058655e+00)
0.22          	(1.948562e+07 1.793790e+07 2.201550e+07)	(1.948562e+07 1.793790e+07 2.201549e+07)	(-1.724514e+00 -2.296179e-01 8.985822e-01)
