# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000597015   	(-2.098428e+07 1.513397e+08 -7.362360e+07)	(-2.098428e+07 1.513397e+08 -7.362360e+07)	(-3.825698e+00 1.479324e+00 5.425938e-01)
0.00131343    	(-1.772941e+07 1.529160e+08 -8.307238e+07)	(-1.772940e+07 1.529160e+08 -8.307238e+07)	(-4.922649e+00 5.445218e+00 1.409457e+00)
0.00217313    	(-1.771884e+07 1.529187e+08 -8.311459e+07)	(-1.771884e+07 1.529187e+08 -8.311459e+07)	(-5.892918e+00 8.348738e+00 2.097424e+00)
0.00319548    	(-1.771326e+07 1.529187e+08 -8.313948e+07)	(-1.771326e+07 1.529187e+08 -8.313948e+07)	(-6.667250e+00 1.077487e+01 2.512409e+00)
0.0044223     	(-1.770875e+07 1.529170e+08 -8.316087e+07)	(-1.770874e+07 1.529170e+08 -8.316087e+07)	(-7.393303e+00 1.247903e+01 2.588408e+00)
0.0059047     	(-1.770551e+07 1.529141e+08 -8.317821e+07)	(-1.770550e+07 1.529140e+08 -8.317821e+07)	(-8.209369e+00 1.350670e+01 2.549168e+00)
0.00769919    	(-1.770360e+07 1.529096e+08 -8.319259e+07)	(-1.770359e+07 1.529096e+08 -8.319259e+07)	(-9.150587e+00 1.394676e+01 2.455439e+00)
0.00985258    	(-1.770243e+07 1.529033e+08 -8.320608e+07)	(-1.770242e+07 1.529033e+08 -8.320608e+07)	(-1.025637e+01 1.363782e+01 2.396692e+00)
0.0123649     	(-1.770165e+07 1.528951e+08 -8.322063e+07)	(-1.770164e+07 1.528951e+08 -8.322063e+07)	(-1.149339e+01 1.238884e+01 2.126128e+00)
0.0154354     	(-1.770091e+07 1.528850e+08 -8.323711e+07)	(-1.770090e+07 1.528850e+08 -8.323711e+07)	(-1.294596e+01 1.079722e+01 1.652299e+00)
0.0189447     	(-1.770027e+07 1.528730e+08 -8.325527e+07)	(-1.770025e+07 1.528730e+08 -8.325527e+07)	(-1.441482e+01 9.264907e+00 9.272168e-01)
0.0231557     	(-1.769960e+07 1.528595e+08 -8.327522e+07)	(-1.769958e+07 1.528595e+08 -8.327522e+07)	(-1.542990e+01 7.684439e+00 -1.636188e-01)
0.0287705     	(-1.769887e+07 1.528431e+08 -8.329872e+07)	(-1.769886e+07 1.528431e+08 -8.329872e+07)	(-1.530383e+01 6.485058e+00 -1.340074e+00)
0.0343852     	(-1.769854e+07 1.528283e+08 -8.331852e+07)	(-1.769852e+07 1.528283e+08 -8.331852e+07)	(-1.520866e+01 5.844066e+00 -2.600048e+00)
0.04          	(-1.769830e+07 1.528170e+08 -8.333354e+07)	(-1.769829e+07 1.528170e+08 -8.333353e+07)	(-1.507487e+01 5.546835e+00 -3.614470e+00)
0.0466667     	(-1.769787e+07 1.528070e+08 -8.334729e+07)	(-1.769785e+07 1.528070e+08 -8.334729e+07)	(-1.457338e+01 5.263409e+00 -4.774679e+00)
0.055         	(-1.769741e+07 1.527976e+08 -8.335983e+07)	(-1.769740e+07 1.527976e+08 -8.335982e+07)	(-1.419604e+01 4.550953e+00 -6.607942e+00)
0.0633333     	(-1.769762e+07 1.527914e+08 -8.336666e+07)	(-1.769760e+07 1.527914e+08 -8.336665e+07)	(-1.420294e+01 4.413426e+00 -8.060734e+00)
0.0716667     	(-1.769760e+07 1.527864e+08 -8.337227e+07)	(-1.769758e+07 1.527864e+08 -8.337226e+07)	(-1.442303e+01 4.201070e+00 -8.876336e+00)
0.08          	(-1.769769e+07 1.527829e+08 -8.337544e+07)	(-1.769767e+07 1.527829e+08 -8.337543e+07)	(-1.483450e+01 3.839275e+00 -9.518619e+00)
0.09          	(-1.769737e+07 1.527802e+08 -8.337803e+07)	(-1.769736e+07 1.527802e+08 -8.337802e+07)	(-1.531262e+01 3.015296e+00 -1.064041e+01)
0.1           	(-1.769743e+07 1.527790e+08 -8.337815e+07)	(-1.769742e+07 1.527790e+08 -8.337814e+07)	(-1.621050e+01 2.046440e+00 -1.162142e+01)
0.11          	(-1.769747e+07 1.527785e+08 -8.337703e+07)	(-1.769745e+07 1.527785e+08 -8.337702e+07)	(-1.705144e+01 8.855337e-01 -1.269554e+01)
0.12          	(-1.769745e+07 1.527786e+08 -8.337547e+07)	(-1.769743e+07 1.527786e+08 -8.337546e+07)	(-1.726416e+01 -1.461841e-01 -1.352209e+01)
0.133333      	(-1.769708e+07 1.527793e+08 -8.337366e+07)	(-1.769706e+07 1.527793e+08 -8.337365e+07)	(-1.494181e+01 -4.765138e-01 -1.389346e+01)
0.146667      	(-1.769707e+07 1.527803e+08 -8.337079e+07)	(-1.769705e+07 1.527803e+08 -8.337078e+07)	(-1.394151e+01 -5.591096e-01 -1.365550e+01)
0.16          	(-1.769704e+07 1.527818e+08 -8.336740e+07)	(-1.769703e+07 1.527818e+08 -8.336738e+07)	(-1.325522e+01 -8.198325e-01 -1.314297e+01)
0.173333      	(-1.769687e+07 1.527837e+08 -8.336417e+07)	(-1.769685e+07 1.527837e+08 -8.336416e+07)	(-1.301030e+01 -1.704186e+00 -1.302141e+01)
0.186667      	(-1.769671e+07 1.527852e+08 -8.336116e+07)	(-1.769670e+07 1.527852e+08 -8.336114e+07)	(-1.269929e+01 -2.814112e+00 -1.285411e+01)
0.2           	(-1.769643e+07 1.527863e+08 -8.335905e+07)	(-1.769642e+07 1.527863e+08 -8.335904e+07)	(-1.220882e+01 -4.071056e+00 -1.270657e+01)
0.22          	(-1.769595e+07 1.527875e+08 -8.335663e+07)	(-1.769594e+07 1.527875e+08 -8.335661e+07)	(-9.886366e+00 -5.059605e+00 -1.432714e+01)
0.24          	(-1.769548e+07 1.527878e+08 -8.335506e+07)	(-1.769547e+07 1.527878e+08 -8.335505e+07)	(-8.647642e+00 -6.093919e+00 -1.509357e+01)
0.26          	(-1.769576e+07 1.527888e+08 -8.335154e+07)	(-1.769575e+07 1.527888e+08 -8.335153e+07)	(-7.381207e+00 -7.303938e+00 -1.546483e+01)
0.28          	(-1.769629e+07 1.527895e+08 -8.334765e+07)	(-1.769628e+07 1.527895e+08 -8.334764e+07)	(-7.146337e+00 -8.014432e+00 -1.496223e+01)
0.3           	(-1.769741e+07 1.527907e+08 -8.334165e+07)	(-1.769740e+07 1.527907e+08 -8.334164e+07)	(-7.395018e+00 -8.501894e+00 -1.459092e+01)
0.32          	(-1.769710e+07 1.527909e+08 -8.334035e+07)	(-1.769709e+07 1.527909e+08 -8.334034e+07)	(-7.117694e+00 -8.386449e+00 -1.417906e+01)
0.34          	(-1.769738e+07 1.527916e+08 -8.333684e+07)	(-1.769738e+07 1.527916e+08 -8.333683e+07)	(-6.225850e+00 -6.318555e+00 -1.446817e+01)
0.36          	(-1.769786e+07 1.527915e+08 -8.333397e+07)	(-1.769785e+07 1.527915e+08 -8.333395e+07)	(-4.780153e+00 -3.325556e+00 -1.629886e+01)
0.38          	(-1.769813e+07 1.527913e+08 -8.333176e+07)	(-1.769812e+07 1.527913e+08 -8.333174e+07)	(-4.155198e+00 -2.565046e+00 -1.687796e+01)
0.4           	(-1.769849e+07 1.527910e+08 -8.332936e+07)	(-1.769849e+07 1.527910e+08 -8.332934e+07)	(-3.110673e+00 -1.557505e+00 -1.728835e+01)
0.42          	(-1.769880e+07 1.527905e+08 -8.332731e+07)	(-1.769880e+07 1.527905e+08 -8.332730e+07)	(-2.203288e+00 -7.027225e-01 -1.804536e+01)
0.44          	(-1.769914e+07 1.527898e+08 -8.332561e+07)	(-1.769913e+07 1.527898e+08 -8.332559e+07)	(-1.289175e+00 9.935246e-02 -1.880285e+01)
0.46          	(-1.769950e+07 1.527891e+08 -8.332402e+07)	(-1.769950e+07 1.527891e+08 -8.332400e+07)	(-4.297906e-01 8.551818e-01 -1.951125e+01)
0.48          	(-1.769988e+07 1.527886e+08 -8.332220e+07)	(-1.769988e+07 1.527886e+08 -8.332218e+07)	(2.713770e-01 1.602525e+00 -2.021344e+01)
0.5           	(-1.770019e+07 1.527878e+08 -8.332062e+07)	(-1.770019e+07 1.527878e+08 -8.332060e+07)	(7.803856e-01 2.454405e+00 -2.070474e+01)
0.52          	(-1.770052e+07 1.527869e+08 -8.331928e+07)	(-1.770052e+07 1.527869e+08 -8.331925e+07)	(1.357004e+00 3.401796e+00 -2.099233e+01)
0.54          	(-1.770093e+07 1.527859e+08 -8.331788e+07)	(-1.770093e+07 1.527859e+08 -8.331786e+07)	(1.936740e+00 4.168254e+00 -2.123216e+01)
0.56          	(-1.770163e+07 1.527850e+08 -8.331600e+07)	(-1.770163e+07 1.527849e+08 -8.331598e+07)	(2.754326e+00 4.846212e+00 -2.138882e+01)
0.58          	(-1.770257e+07 1.527839e+08 -8.331372e+07)	(-1.770257e+07 1.527839e+08 -8.331370e+07)	(3.345484e+00 5.391440e+00 -2.152917e+01)
0.6           	(-1.770341e+07 1.527827e+08 -8.331196e+07)	(-1.770342e+07 1.527827e+08 -8.331194e+07)	(3.722540e+00 5.572849e+00 -2.149591e+01)
0.62          	(-1.770362e+07 1.527815e+08 -8.331173e+07)	(-1.770362e+07 1.527815e+08 -8.331171e+07)	(3.888043e+00 5.347542e+00 -2.122938e+01)
0.64          	(-1.770404e+07 1.527803e+08 -8.331087e+07)	(-1.770404e+07 1.527803e+08 -8.331085e+07)	(4.107312e+00 4.771653e+00 -2.075637e+01)
0.66          	(-1.770477e+07 1.527792e+08 -8.330946e+07)	(-1.770478e+07 1.527792e+08 -8.330944e+07)	(4.340789e+00 4.053731e+00 -2.018520e+01)
0.68          	(-1.770543e+07 1.527778e+08 -8.330851e+07)	(-1.770543e+07 1.527778e+08 -8.330849e+07)	(4.940917e+00 3.394932e+00 -1.963901e+01)
0.7           	(-1.770599e+07 1.527767e+08 -8.330778e+07)	(-1.770600e+07 1.527767e+08 -8.330776e+07)	(5.428949e+00 2.178959e+00 -1.917076e+01)
0.72          	(-1.770659e+07 1.527757e+08 -8.330685e+07)	(-1.770660e+07 1.527757e+08 -8.330683e+07)	(5.646408e+00 3.945598e-01 -1.878172e+01)
0.74          	(-1.770719e+07 1.527749e+08 -8.330607e+07)	(-1.770720e+07 1.527749e+08 -8.330605e+07)	(5.828513e+00 -1.358762e+00 -1.821447e+01)
0.76          	(-1.770773e+07 1.527739e+08 -8.330533e+07)	(-1.770773e+07 1.527739e+08 -8.330531e+07)	(6.021345e+00 -2.878804e+00 -1.767294e+01)
0.78          	(-1.770834e+07 1.527735e+08 -8.330393e+07)	(-1.770835e+07 1.527735e+08 -8.330391e+07)	(6.132443e+00 -4.335252e+00 -1.714361e+01)
0.8           	(-1.770896e+07 1.527729e+08 -8.330290e+07)	(-1.770897e+07 1.527729e+08 -8.330288e+07)	(6.051658e+00 -5.827874e+00 -1.648971e+01)
0.82          	(-1.770970e+07 1.527722e+08 -8.330158e+07)	(-1.770970e+07 1.527722e+08 -8.330156e+07)	(5.955133e+00 -7.192801e+00 -1.567291e+01)
0.84          	(-1.771055e+07 1.527718e+08 -8.329985e+07)	(-1.771056e+07 1.527718e+08 -8.329983e+07)	(5.829257e+00 -8.548729e+00 -1.484143e+01)
0.86          	(-1.771132e+07 1.527712e+08 -8.329829e+07)	(-1.771132e+07 1.527712e+08 -8.329827e+07)	(5.533987e+00 -9.804827e+00 -1.398091e+01)
0.88          	(-1.771216e+07 1.527710e+08 -8.329620e+07)	(-1.771217e+07 1.527710e+08 -8.329619e+07)	(5.147079e+00 -1.086148e+01 -1.310467e+01)
0.9           	(-1.771297e+07 1.527707e+08 -8.329413e+07)	(-1.771298e+07 1.527707e+08 -8.329412e+07)	(4.905921e+00 -1.169611e+01 -1.213799e+01)
0.92          	(-1.771374e+07 1.527705e+08 -8.329204e+07)	(-1.771375e+07 1.527705e+08 -8.329203e+07)	(4.640038e+00 -1.174774e+01 -1.137763e+01)
0.94          	(-1.771458e+07 1.527705e+08 -8.328960e+07)	(-1.771459e+07 1.527705e+08 -8.328959e+07)	(4.438746e+00 -1.181606e+01 -1.045508e+01)
0.96          	(-1.771544e+07 1.527705e+08 -8.328703e+07)	(-1.771544e+07 1.527705e+08 -8.328702e+07)	(4.127874e+00 -1.192494e+01 -9.554313e+00)
0.98          	(-1.771627e+07 1.527705e+08 -8.328449e+07)	(-1.771627e+07 1.527705e+08 -8.328448e+07)	(4.002117e+00 -1.174252e+01 -9.024076e+00)
1             	(-1.771707e+07 1.527706e+08 -8.328179e+07)	(-1.771708e+07 1.527706e+08 -8.328178e+07)	(3.958669e+00 -1.132358e+01 -8.799555e+00)
1.02          	(-1.771785e+07 1.527706e+08 -8.327915e+07)	(-1.771786e+07 1.527707e+08 -8.327914e+07)	(3.780029e+00 -1.097098e+01 -8.614791e+00)
1.04          	(-1.771871e+07 1.527707e+08 -8.327623e+07)	(-1.771872e+07 1.527708e+08 -8.327622e+07)	(3.545666e+00 -1.076289e+01 -8.357684e+00)
1.06          	(-1.771966e+07 1.527709e+08 -8.327293e+07)	(-1.771967e+07 1.527710e+08 -8.327292e+07)	(3.330207e+00 -1.068703e+01 -8.104377e+00)
