# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
9.29333       	(2.123099e+07 -1.710141e+07 2.090410e+07)	(2.122687e+07 -1.710220e+07 2.091452e+07)	(4.115111e+03 7.937531e+02 -1.042082e+04)
9.30667       	(1.922389e+07 -1.891686e+07 2.113434e+07)	(1.921978e+07 -1.891766e+07 2.114471e+07)	(4.106302e+03 7.978816e+02 -1.036552e+04)
9.32          	(1.922327e+07 -1.891805e+07 2.113570e+07)	(1.921917e+07 -1.891885e+07 2.114603e+07)	(4.103913e+03 8.041520e+02 -1.032579e+04)
9.33333       	(1.922409e+07 -1.891826e+07 2.113675e+07)	(1.921999e+07 -1.891907e+07 2.114704e+07)	(4.099297e+03 8.070954e+02 -1.029155e+04)
9.34667       	(1.922531e+07 -1.891799e+07 2.113754e+07)	(1.922122e+07 -1.891880e+07 2.114780e+07)	(4.094322e+03 8.118789e+02 -1.025425e+04)
9.36          	(1.922667e+07 -1.891734e+07 2.113817e+07)	(1.922257e+07 -1.891816e+07 2.114840e+07)	(4.095323e+03 8.204206e+02 -1.022946e+04)
9.37333       	(1.922804e+07 -1.891657e+07 2.113860e+07)	(1.922394e+07 -1.891739e+07 2.114881e+07)	(4.097172e+03 8.226415e+02 -1.020714e+04)
9.38667       	(1.922949e+07 -1.891573e+07 2.113893e+07)	(1.922539e+07 -1.891655e+07 2.114912e+07)	(4.101494e+03 8.226398e+02 -1.018378e+04)
9.4           	(1.923096e+07 -1.891484e+07 2.113924e+07)	(1.922685e+07 -1.891566e+07 2.114941e+07)	(4.108687e+03 8.217677e+02 -1.016588e+04)
9.41333       	(1.923250e+07 -1.891389e+07 2.113969e+07)	(1.922838e+07 -1.891471e+07 2.114984e+07)	(4.120917e+03 8.207605e+02 -1.015017e+04)
9.42667       	(1.923411e+07 -1.891285e+07 2.114015e+07)	(1.922997e+07 -1.891367e+07 2.115028e+07)	(4.135583e+03 8.208738e+02 -1.013639e+04)
9.44          	(1.923578e+07 -1.891197e+07 2.114061e+07)	(1.923163e+07 -1.891279e+07 2.115073e+07)	(4.153180e+03 8.213259e+02 -1.012402e+04)
9.45333       	(1.923753e+07 -1.891101e+07 2.114109e+07)	(1.923336e+07 -1.891183e+07 2.115120e+07)	(4.174089e+03 8.200421e+02 -1.011163e+04)
9.46667       	(1.923939e+07 -1.890995e+07 2.114150e+07)	(1.923519e+07 -1.891077e+07 2.115160e+07)	(4.197121e+03 8.190290e+02 -1.009878e+04)
9.48          	(1.924136e+07 -1.890883e+07 2.114190e+07)	(1.923714e+07 -1.890965e+07 2.115199e+07)	(4.222412e+03 8.176372e+02 -1.008670e+04)
9.49333       	(1.924352e+07 -1.890770e+07 2.114230e+07)	(1.923927e+07 -1.890852e+07 2.115238e+07)	(4.249514e+03 8.149137e+02 -1.007546e+04)
9.50667       	(1.924566e+07 -1.890657e+07 2.114279e+07)	(1.924138e+07 -1.890738e+07 2.115286e+07)	(4.280372e+03 8.123942e+02 -1.006490e+04)
9.52          	(1.924792e+07 -1.890542e+07 2.114326e+07)	(1.924361e+07 -1.890622e+07 2.115332e+07)	(4.314075e+03 8.088676e+02 -1.005475e+04)
9.53333       	(1.925020e+07 -1.890426e+07 2.114364e+07)	(1.924585e+07 -1.890506e+07 2.115369e+07)	(4.348704e+03 8.032650e+02 -1.004396e+04)
9.54667       	(1.925248e+07 -1.890312e+07 2.114401e+07)	(1.924809e+07 -1.890392e+07 2.115404e+07)	(4.382368e+03 7.982386e+02 -1.003060e+04)
9.56          	(1.925470e+07 -1.890197e+07 2.114434e+07)	(1.925028e+07 -1.890276e+07 2.115436e+07)	(4.416180e+03 7.938968e+02 -1.001763e+04)
9.57333       	(1.925685e+07 -1.890081e+07 2.114475e+07)	(1.925240e+07 -1.890160e+07 2.115476e+07)	(4.449899e+03 7.877710e+02 -1.000297e+04)
9.58667       	(1.925900e+07 -1.889960e+07 2.114514e+07)	(1.925451e+07 -1.890038e+07 2.115513e+07)	(4.481932e+03 7.832678e+02 -9.986095e+03)
9.6           	(1.926122e+07 -1.889828e+07 2.114555e+07)	(1.925670e+07 -1.889906e+07 2.115552e+07)	(4.512939e+03 7.808508e+02 -9.968655e+03)
9.61333       	(1.926355e+07 -1.889705e+07 2.114601e+07)	(1.925901e+07 -1.889783e+07 2.115596e+07)	(4.540616e+03 7.791870e+02 -9.950776e+03)
9.62667       	(1.926601e+07 -1.889580e+07 2.114641e+07)	(1.926145e+07 -1.889658e+07 2.115634e+07)	(4.565430e+03 7.777652e+02 -9.931808e+03)
9.64          	(1.926861e+07 -1.889452e+07 2.114688e+07)	(1.926402e+07 -1.889530e+07 2.115679e+07)	(4.587510e+03 7.791945e+02 -9.911709e+03)
9.65333       	(1.927120e+07 -1.889326e+07 2.114729e+07)	(1.926659e+07 -1.889405e+07 2.115720e+07)	(4.608269e+03 7.843349e+02 -9.906084e+03)
9.66667       	(1.927372e+07 -1.889205e+07 2.114775e+07)	(1.926910e+07 -1.889284e+07 2.115765e+07)	(4.624154e+03 7.852682e+02 -9.897190e+03)
9.68          	(1.927618e+07 -1.889078e+07 2.114811e+07)	(1.927155e+07 -1.889157e+07 2.115800e+07)	(4.633695e+03 7.826087e+02 -9.887454e+03)
9.69333       	(1.927865e+07 -1.888955e+07 2.114853e+07)	(1.927401e+07 -1.889033e+07 2.115840e+07)	(4.643195e+03 7.834581e+02 -9.874157e+03)
9.70667       	(1.928113e+07 -1.888824e+07 2.114892e+07)	(1.927648e+07 -1.888902e+07 2.115880e+07)	(4.650069e+03 7.761071e+02 -9.871092e+03)
9.72          	(1.928365e+07 -1.888703e+07 2.114921e+07)	(1.927899e+07 -1.888780e+07 2.115908e+07)	(4.656902e+03 7.769431e+02 -9.869819e+03)
9.73          	(1.929327e+07 -1.888646e+07 2.115160e+07)	(1.928861e+07 -1.888723e+07 2.116149e+07)	(4.660243e+03 7.627663e+02 -9.889481e+03)
9.74          	(1.929364e+07 -1.888542e+07 2.115142e+07)	(1.928898e+07 -1.888618e+07 2.116133e+07)	(4.661195e+03 7.517356e+02 -9.916141e+03)
