# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
9.29333       	(1.486991e+08 2.794903e+07 -5.275514e+07)	(1.486299e+08 2.788122e+07 -5.276456e+07)	(6.917287e+04 6.781349e+04 9.424815e+03)
9.30667       	(1.503947e+08 2.332916e+07 -6.818323e+07)	(1.503256e+08 2.326172e+07 -6.819258e+07)	(6.908579e+04 6.744588e+04 9.352150e+03)
9.32          	(1.503964e+08 2.332070e+07 -6.819005e+07)	(1.503275e+08 2.325349e+07 -6.819931e+07)	(6.894229e+04 6.720863e+04 9.254390e+03)
9.33333       	(1.503982e+08 2.331670e+07 -6.818209e+07)	(1.503294e+08 2.324972e+07 -6.819125e+07)	(6.884720e+04 6.698312e+04 9.163044e+03)
9.34667       	(1.503999e+08 2.331578e+07 -6.816989e+07)	(1.503311e+08 2.324906e+07 -6.817900e+07)	(6.880538e+04 6.672243e+04 9.115418e+03)
9.36          	(1.504015e+08 2.331597e+07 -6.815625e+07)	(1.503329e+08 2.324940e+07 -6.816532e+07)	(6.869689e+04 6.657517e+04 9.062030e+03)
9.37333       	(1.504030e+08 2.331821e+07 -6.814364e+07)	(1.503344e+08 2.325178e+07 -6.815262e+07)	(6.865458e+04 6.642978e+04 8.978692e+03)
9.38667       	(1.504044e+08 2.332132e+07 -6.813030e+07)	(1.503357e+08 2.325504e+07 -6.813917e+07)	(6.865532e+04 6.627792e+04 8.871886e+03)
9.4           	(1.504060e+08 2.332464e+07 -6.811704e+07)	(1.503374e+08 2.325847e+07 -6.812580e+07)	(6.863799e+04 6.616611e+04 8.756318e+03)
9.41333       	(1.504085e+08 2.332704e+07 -6.810213e+07)	(1.503399e+08 2.326095e+07 -6.811074e+07)	(6.861465e+04 6.608777e+04 8.613861e+03)
9.42667       	(1.504111e+08 2.332973e+07 -6.808627e+07)	(1.503425e+08 2.326371e+07 -6.809475e+07)	(6.860368e+04 6.602085e+04 8.482775e+03)
9.44          	(1.504141e+08 2.333243e+07 -6.807146e+07)	(1.503455e+08 2.326646e+07 -6.807980e+07)	(6.858500e+04 6.596613e+04 8.338880e+03)
9.45333       	(1.504172e+08 2.333504e+07 -6.805469e+07)	(1.503486e+08 2.326912e+07 -6.806286e+07)	(6.858560e+04 6.591695e+04 8.168403e+03)
9.46667       	(1.504197e+08 2.333827e+07 -6.803580e+07)	(1.503511e+08 2.327240e+07 -6.804379e+07)	(6.859067e+04 6.586975e+04 7.984299e+03)
