# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00059988    	(1.169061e+07 -2.168991e-02 5.266752e+07)	(1.169058e+07 -2.195422e-02 5.266752e+07)	(2.632800e+01 2.643134e-04 1.776496e+00)
0.00131991    	(1.169700e+07 2.866135e-03 7.925386e+07)	(1.169697e+07 2.570808e-03 7.925386e+07)	(2.624683e+01 2.953277e-04 1.776387e+00)
0.00218382    	(1.169697e+07 5.284622e-04 7.940214e+07)	(1.169694e+07 2.357555e-04 7.940214e+07)	(2.647314e+01 2.927067e-04 1.797136e+00)
0.00322105    	(1.169696e+07 6.964962e-04 7.947831e+07)	(1.169694e+07 4.017735e-04 7.947831e+07)	(2.681306e+01 2.947227e-04 1.824920e+00)
0.00446547    	(1.169696e+07 1.078348e-03 7.952450e+07)	(1.169693e+07 7.814871e-04 7.952449e+07)	(2.723793e+01 2.968605e-04 1.856262e+00)
0.00595802    	(1.169696e+07 5.755975e-04 7.955296e+07)	(1.169693e+07 2.761884e-04 7.955295e+07)	(2.775275e+01 2.994091e-04 1.890297e+00)
0.00774909    	(1.169696e+07 3.989195e-04 7.957092e+07)	(1.169693e+07 9.689754e-05 7.957092e+07)	(2.838288e+01 3.020219e-04 1.931188e+00)
0.00989682    	(1.169696e+07 3.040556e-04 7.958239e+07)	(1.169693e+07 -5.343651e-07 7.958239e+07)	(2.915706e+01 3.045900e-04 1.979595e+00)
0.0124752     	(1.169696e+07 3.310697e-04 7.958964e+07)	(1.169693e+07 2.320656e-05 7.958964e+07)	(3.009129e+01 3.078631e-04 2.035973e+00)
0.0155709     	(1.169696e+07 1.705678e-04 7.959368e+07)	(1.169693e+07 -1.391627e-04 7.959368e+07)	(3.119866e+01 3.097305e-04 2.105696e+00)
0.0192857     	(1.169696e+07 2.142765e-04 7.959506e+07)	(1.169693e+07 -9.704566e-05 7.959506e+07)	(3.247311e+01 3.113222e-04 2.189166e+00)
0.0237435     	(1.169696e+07 2.916498e-04 7.959424e+07)	(1.169693e+07 -2.658850e-05 7.959423e+07)	(3.387595e+01 3.182383e-04 2.288406e+00)
0.0290783     	(1.169696e+07 1.043661e-04 7.959181e+07)	(1.169693e+07 -2.135408e-04 7.959181e+07)	(3.540375e+01 3.179068e-04 2.403197e+00)
0.0354659     	(1.169697e+07 1.455151e-04 7.958769e+07)	(1.169693e+07 -1.716702e-04 7.958769e+07)	(3.716490e+01 3.171853e-04 2.497936e+00)
0.0431209     	(1.169697e+07 1.904285e-04 7.958197e+07)	(1.169693e+07 -1.269016e-04 7.958196e+07)	(3.915761e+01 3.173301e-04 2.591648e+00)
0.0523217     	(1.169697e+07 8.953586e-05 7.957447e+07)	(1.169693e+07 -2.264030e-04 7.957446e+07)	(4.138104e+01 3.159389e-04 2.619322e+00)
0.0633412     	(1.169697e+07 5.877192e-04 7.956521e+07)	(1.169693e+07 2.466524e-04 7.956520e+07)	(4.389476e+01 3.410669e-04 2.647855e+00)
0.0765336     	(1.169697e+07 4.320346e-04 7.955541e+07)	(1.169693e+07 7.909808e-05 7.955541e+07)	(4.674012e+01 3.529365e-04 2.693451e+00)
0.0924554     	(1.169698e+07 1.583059e-04 7.954445e+07)	(1.169693e+07 -1.944363e-04 7.954444e+07)	(4.986656e+01 3.527422e-04 2.743408e+00)
0.111765      	(1.169698e+07 5.386548e-04 7.952954e+07)	(1.169693e+07 1.551821e-04 7.952954e+07)	(5.321299e+01 3.834727e-04 2.814523e+00)
0.135139      	(1.169698e+07 2.234481e-04 7.951202e+07)	(1.169693e+07 -1.678223e-04 7.951202e+07)	(5.665297e+01 3.912704e-04 2.920752e+00)
