# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00059988    	(2.094045e+01 -4.822803e+08 -1.007949e+01)	(2.093996e+01 -4.822805e+08 -1.007439e+01)	(4.949979e-04 2.350586e+02 -5.093666e-03)
0.00131991    	(2.477865e+01 3.580938e+07 7.575571e-02)	(2.477819e+01 3.580915e+07 8.070779e-02)	(4.574625e-04 2.344518e+02 -4.952078e-03)
0.00218382    	(2.345124e+01 3.868733e+07 6.101109e-02)	(2.345072e+01 3.868709e+07 6.592260e-02)	(5.131855e-04 2.366346e+02 -4.911509e-03)
0.00322105    	(1.971517e+01 4.016462e+07 1.029677e-02)	(1.971465e+01 4.016438e+07 1.519744e-02)	(5.146390e-04 2.398355e+02 -4.900669e-03)
0.00446547    	(2.077879e+01 4.106057e+07 -7.021494e-03)	(2.077826e+01 4.106032e+07 -2.139313e-03)	(5.213420e-04 2.437672e+02 -4.882181e-03)
0.00595802    	(2.079441e+01 4.161225e+07 -5.256758e-03)	(2.079388e+01 4.161200e+07 -3.827870e-04)	(5.249941e-04 2.484573e+02 -4.873971e-03)
0.00774909    	(2.036640e+01 4.196050e+07 -6.063377e-03)	(2.036587e+01 4.196024e+07 -1.191133e-03)	(5.300414e-04 2.541829e+02 -4.872244e-03)
0.00989682    	(2.023250e+01 4.218282e+07 -6.903808e-03)	(2.023196e+01 4.218256e+07 -2.030111e-03)	(5.387740e-04 2.611836e+02 -4.873697e-03)
0.0124752     	(2.004085e+01 4.232346e+07 -9.079529e-03)	(2.004031e+01 4.232319e+07 -4.197653e-03)	(5.454830e-04 2.695942e+02 -4.881875e-03)
0.0155709     	(1.992683e+01 4.240199e+07 -5.627171e-03)	(1.992626e+01 4.240171e+07 -7.360147e-04)	(5.666405e-04 2.796125e+02 -4.891156e-03)
0.0192857     	(1.981617e+01 4.242902e+07 -6.685971e-03)	(1.981558e+01 4.242873e+07 -1.782132e-03)	(5.921562e-04 2.911906e+02 -4.903838e-03)
0.0237435     	(1.964948e+01 4.241359e+07 -1.370234e-02)	(1.964889e+01 4.241329e+07 -8.706426e-03)	(5.854479e-04 3.040517e+02 -4.995918e-03)
0.0290783     	(1.951923e+01 4.236719e+07 -6.403555e-03)	(1.951858e+01 4.236687e+07 -1.282345e-03)	(6.553689e-04 3.181605e+02 -5.121210e-03)
0.0354659     	(1.968479e+01 4.228813e+07 -6.781009e-03)	(1.968409e+01 4.228779e+07 -1.597326e-03)	(7.047649e-04 3.337393e+02 -5.183683e-03)
0.0431209     	(1.980440e+01 4.217844e+07 -7.924784e-03)	(1.980365e+01 4.217809e+07 -2.758114e-03)	(7.490546e-04 3.511046e+02 -5.166671e-03)
0.0523217     	(1.981255e+01 4.203505e+07 -7.363354e-03)	(1.981172e+01 4.203469e+07 -2.127358e-03)	(8.325412e-04 3.690918e+02 -5.235996e-03)
0.0633412     	(1.983260e+01 4.185859e+07 -2.537645e-02)	(1.983177e+01 4.185821e+07 -1.961943e-02)	(8.304127e-04 3.893616e+02 -5.757019e-03)
0.0765336     	(1.957881e+01 4.167296e+07 -1.867978e-02)	(1.957680e+01 4.167255e+07 -1.020135e-02)	(2.004287e-03 4.125208e+02 -8.478427e-03)
0.0924554     	(1.977143e+01 4.146656e+07 -1.152291e-02)	(1.976912e+01 4.146612e+07 -4.502519e-03)	(2.311578e-03 4.379266e+02 -7.020387e-03)
0.111765      	(1.999124e+01 4.118758e+07 -2.319241e-02)	(1.998758e+01 4.118711e+07 -1.221795e-02)	(3.654754e-03 4.653808e+02 -1.097447e-02)
0.135139      	(2.059119e+01 4.086233e+07 -1.026773e-02)	(2.058769e+01 4.086184e+07 -5.596430e-03)	(3.499370e-03 4.941135e+02 -4.671298e-03)
0.163038      	(1.983455e+01 4.056718e+07 -6.252340e-03)	(1.983224e+01 4.056666e+07 -4.248591e-03)	(2.310314e-03 5.238244e+02 -2.003749e-03)
0.196517      	(2.027214e+01 4.016343e+07 -1.643995e-02)	(2.026936e+01 4.016288e+07 -8.978511e-03)	(2.778006e-03 5.547498e+02 -7.461439e-03)
0.236691      	(2.043643e+01 3.984315e+07 -9.310794e-03)	(2.043331e+01 3.984256e+07 -6.530794e-03)	(3.118510e-03 5.867204e+02 -2.779999e-03)
0.284398      	(1.931670e+01 3.948073e+07 -3.841327e-03)	(1.931439e+01 3.948010e+07 -3.553194e-03)	(2.312250e-03 6.243741e+02 -2.881333e-04)
0.339444      	(1.822421e+01 3.927277e+07 -2.051258e-03)	(1.822138e+01 3.927210e+07 -1.898990e-03)	(2.827240e-03 6.693591e+02 -1.522680e-04)
0.4055        	(1.893276e+01 3.906207e+07 -8.842686e-03)	(1.892927e+01 3.906135e+07 -1.449922e-02)	(3.488084e-03 7.250224e+02 5.656535e-03)
0.479812      	(1.738675e+01 3.877725e+07 8.149561e-03)	(1.738265e+01 3.877646e+07 -1.623847e-02)	(4.107299e-03 7.934152e+02 2.438803e-02)
0.56651       	(1.770448e+01 3.821357e+07 3.192128e-02)	(1.770112e+01 3.821270e+07 -3.131070e-02)	(3.361021e-03 8.724403e+02 6.323198e-02)
0.674883      	(2.697008e+01 3.743915e+07 -3.090961e-02)	(2.697089e+01 3.743816e+07 -1.504521e-01)	(-8.098146e-04 9.859052e+02 1.195425e-01)
0.783255      	(2.057787e+01 3.652324e+07 2.811521e-01)	(2.057286e+01 3.652213e+07 1.140850e-01)	(5.011336e-03 1.109640e+03 1.670671e-01)
0.891628      	(1.528518e+01 3.562552e+07 6.720761e-01)	(1.526965e+01 3.562428e+07 4.548650e-01)	(1.552351e-02 1.236909e+03 2.172111e-01)
1             	(1.222367e+01 3.472862e+07 7.557555e-01)	(1.219293e+01 3.472722e+07 4.772672e-01)	(3.074511e-02 1.400395e+03 2.784883e-01)
1.1           	(6.739207e+01 3.398967e+07 -1.809140e+00)	(6.740018e+01 3.398811e+07 -2.219461e+00)	(-8.105620e-03 1.568789e+03 4.103216e-01)
1.2           	(-1.334787e+02 3.334838e+07 4.822106e+00)	(-1.335950e+02 3.334664e+07 4.414334e+00)	(1.162801e-01 1.742249e+03 4.077721e-01)
1.3           	(1.334399e+02 3.274048e+07 -4.989294e+00)	(1.334587e+02 3.273857e+07 -5.518616e+00)	(-1.882241e-02 1.902677e+03 5.293227e-01)
1.35385       	(-1.527928e+02 3.248251e+07 3.923546e+00)	(-1.526798e+02 3.248046e+07 4.100412e+00)	(-1.129603e-01 2.046433e+03 -1.768658e-01)
1.41259       	(-4.381597e+01 3.217591e+07 -6.277961e-01)	(-4.358710e+01 3.217375e+07 1.475306e-01)	(-2.288649e-01 2.164731e+03 -7.753267e-01)
1.45777       	(-5.841754e+01 3.195386e+07 -8.005281e-01)	(-5.805087e+01 3.195161e+07 6.089830e-01)	(-3.666672e-01 2.256327e+03 -1.409511e+00)
1.49392       	(-6.728588e+01 3.179221e+07 -2.443004e+00)	(-6.683122e+01 3.178988e+07 -5.422124e-01)	(-4.546593e-01 2.323859e+03 -1.900792e+00)
1.53007       	(-7.272292e+01 3.164007e+07 -3.611210e+00)	(-7.215920e+01 3.163770e+07 -1.251231e+00)	(-5.637243e-01 2.377918e+03 -2.359979e+00)
1.56622       	(-7.354423e+01 3.148412e+07 -9.060816e-01)	(-7.286415e+01 3.148170e+07 1.945174e+00)	(-6.800852e-01 2.419222e+03 -2.851256e+00)
1.60237       	(-9.879102e+01 3.133242e+07 -5.852851e+00)	(-9.800378e+01 3.132997e+07 -2.666633e+00)	(-7.872385e-01 2.454668e+03 -3.186218e+00)
1.63852       	(-1.009272e+02 3.121502e+07 6.839253e+00)	(-1.000267e+02 3.121252e+07 1.032666e+01)	(-9.005142e-01 2.491972e+03 -3.487404e+00)
1.67466       	(-1.231496e+02 3.111167e+07 4.559909e+00)	(-1.221022e+02 3.110913e+07 8.421124e+00)	(-1.047332e+00 2.538077e+03 -3.861215e+00)
1.71533       	(-1.541090e+02 3.099297e+07 -5.821543e+00)	(-1.528990e+02 3.099038e+07 -1.595493e+00)	(-1.209918e+00 2.597733e+03 -4.226050e+00)
1.75091       	(-1.646582e+02 3.088316e+07 9.387232e-01)	(-1.633265e+02 3.088051e+07 5.432945e+00)	(-1.331732e+00 2.658101e+03 -4.494222e+00)
1.7865        	(-1.937174e+02 3.077387e+07 -9.002104e+00)	(-1.922191e+02 3.077114e+07 -4.036930e+00)	(-1.498261e+00 2.724668e+03 -4.965174e+00)
1.82208       	(-2.123985e+02 3.066569e+07 -5.979890e+00)	(-2.107139e+02 3.066290e+07 -5.308377e-01)	(-1.684587e+00 2.794839e+03 -5.449052e+00)
1.85767       	(-2.469726e+02 3.054829e+07 -7.790787e+00)	(-2.451124e+02 3.054542e+07 -1.961374e+00)	(-1.860236e+00 2.864247e+03 -5.829413e+00)
1.89325       	(-2.491516e+02 3.041984e+07 -4.270905e+00)	(-2.471534e+02 3.041691e+07 1.751413e+00)	(-1.998166e+00 2.930158e+03 -6.022318e+00)
1.92883       	(-2.738385e+02 3.027371e+07 -2.334806e+00)	(-2.717851e+02 3.027071e+07 3.615936e+00)	(-2.053400e+00 2.997206e+03 -5.950742e+00)
1.96442       	(-3.010016e+02 3.011961e+07 -1.266453e+00)	(-2.989103e+02 3.011654e+07 4.539094e+00)	(-2.091331e+00 3.070531e+03 -5.805547e+00)
2             	(-3.229433e+02 2.998731e+07 -7.883367e+00)	(-3.208091e+02 2.998416e+07 -2.195423e+00)	(-2.134147e+00 3.148034e+03 -5.687944e+00)
2.03571       	(-3.530466e+02 2.985940e+07 -9.038222e+00)	(-3.507697e+02 2.985618e+07 -3.118675e+00)	(-2.276881e+00 3.225318e+03 -5.919546e+00)
2.07589       	(-3.544658e+02 2.972035e+07 -1.534614e+00)	(-3.518392e+02 2.971703e+07 5.245243e+00)	(-2.626646e+00 3.313867e+03 -6.779857e+00)
2.1179        	(-3.664575e+02 2.958654e+07 -4.194650e+00)	(-3.635566e+02 2.958313e+07 3.107166e+00)	(-2.900903e+00 3.413840e+03 -7.301816e+00)
2.162         	(-3.885488e+02 2.945677e+07 -4.748027e+00)	(-3.853979e+02 2.945324e+07 3.074003e+00)	(-3.150924e+00 3.530504e+03 -7.822030e+00)
2.20611       	(-4.215327e+02 2.934676e+07 -8.153888e+00)	(-4.182595e+02 2.934310e+07 -1.825780e-01)	(-3.273202e+00 3.659427e+03 -7.971310e+00)
2.25021       	(-4.332910e+02 2.924999e+07 -1.728106e+00)	(-4.298330e+02 2.924620e+07 6.464265e+00)	(-3.457985e+00 3.789271e+03 -8.192371e+00)
2.29707       	(-4.598504e+02 2.914406e+07 -1.703977e+01)	(-4.561787e+02 2.914013e+07 -8.580490e+00)	(-3.671711e+00 3.931530e+03 -8.459280e+00)
2.34101       	(-4.978241e+02 2.904703e+07 -2.422913e+01)	(-4.940641e+02 2.904295e+07 -1.564907e+01)	(-3.760057e+00 4.074354e+03 -8.580060e+00)
2.38494       	(-4.951166e+02 2.895546e+07 -8.496711e+00)	(-4.913210e+02 2.895123e+07 2.192117e-01)	(-3.795631e+00 4.225365e+03 -8.715923e+00)
2.42887       	(-5.107363e+02 2.885282e+07 1.983317e+01)	(-5.068681e+02 2.884844e+07 2.885213e+01)	(-3.868276e+00 4.385160e+03 -9.018951e+00)
2.47281       	(-5.592513e+02 2.875188e+07 8.710237e+00)	(-5.552715e+02 2.874733e+07 1.829910e+01)	(-3.979858e+00 4.553260e+03 -9.588860e+00)
2.51046       	(-6.346730e+02 2.867918e+07 -3.270278e+01)	(-6.303641e+02 2.867447e+07 -2.206276e+01)	(-4.308903e+00 4.711794e+03 -1.064002e+01)
2.55126       	(-6.864919e+02 2.858888e+07 -4.072373e+01)	(-6.816079e+02 2.858399e+07 -2.818308e+01)	(-4.883988e+00 4.888998e+03 -1.254064e+01)
2.59613       	(-6.956550e+02 2.847467e+07 -6.098574e+01)	(-6.900128e+02 2.846957e+07 -4.566203e+01)	(-5.642195e+00 5.097364e+03 -1.532371e+01)
2.63652       	(-7.448446e+02 2.838288e+07 -7.961683e+01)	(-7.385409e+02 2.837757e+07 -6.134140e+01)	(-6.303765e+00 5.309048e+03 -1.827543e+01)
2.67287       	(-8.072541e+02 2.830821e+07 -1.343049e+02)	(-8.004747e+02 2.830270e+07 -1.133062e+02)	(-6.779320e+00 5.517650e+03 -2.099864e+01)
2.71376       	(-9.178227e+02 2.822057e+07 -2.075305e+02)	(-9.105382e+02 2.821482e+07 -1.831314e+02)	(-7.284478e+00 5.749986e+03 -2.439913e+01)
2.75465       	(-9.603385e+02 2.813036e+07 -2.663757e+02)	(-9.526644e+02 2.812437e+07 -2.384274e+02)	(-7.674129e+00 5.987814e+03 -2.794828e+01)
2.7897        	(-9.835120e+02 2.803739e+07 -2.748721e+02)	(-9.749069e+02 2.803120e+07 -2.430157e+02)	(-8.605085e+00 6.193817e+03 -3.185639e+01)
2.82475       	(-1.038628e+03 2.793665e+07 -3.423283e+02)	(-1.029462e+03 2.793023e+07 -3.065955e+02)	(-9.165684e+00 6.418157e+03 -3.573280e+01)
2.8598        	(-1.022899e+03 2.785296e+07 -2.851624e+02)	(-1.013154e+03 2.784632e+07 -2.453087e+02)	(-9.744744e+00 6.645347e+03 -3.985370e+01)
2.89485       	(-1.038678e+03 2.777461e+07 -3.129966e+02)	(-1.028163e+03 2.776776e+07 -2.692734e+02)	(-1.051581e+01 6.853910e+03 -4.372315e+01)
2.9299        	(-1.118656e+03 2.769403e+07 -2.969625e+02)	(-1.107170e+03 2.768697e+07 -2.493136e+02)	(-1.148604e+01 7.058438e+03 -4.764887e+01)
2.96495       	(-1.327318e+03 2.761157e+07 -6.632059e+02)	(-1.314909e+03 2.760429e+07 -6.117352e+02)	(-1.240881e+01 7.278614e+03 -5.147062e+01)
3             	(-1.367135e+03 2.753275e+07 -7.542131e+02)	(-1.354642e+03 2.752524e+07 -7.003130e+02)	(-1.249256e+01 7.508490e+03 -5.390008e+01)
3.03571       	(-1.258229e+03 2.746574e+07 -5.509835e+02)	(-1.245091e+03 2.745801e+07 -4.928291e+02)	(-1.313802e+01 7.727184e+03 -5.815440e+01)
3.07143       	(-1.280319e+03 2.740911e+07 -3.898137e+02)	(-1.267783e+03 2.740118e+07 -3.304103e+02)	(-1.253624e+01 7.932039e+03 -5.940343e+01)
3.10714       	(-1.442145e+03 2.735778e+07 -5.038083e+02)	(-1.429126e+03 2.734963e+07 -4.402633e+02)	(-1.301840e+01 8.151218e+03 -6.354502e+01)
3.14148       	(-1.761701e+03 2.729949e+07 -8.128487e+02)	(-1.748615e+03 2.729110e+07 -7.460817e+02)	(-1.308589e+01 8.390315e+03 -6.676694e+01)
3.1675        	(-1.917917e+03 2.725802e+07 -1.064623e+03)	(-1.903942e+03 2.724945e+07 -9.940329e+02)	(-1.397520e+01 8.573455e+03 -7.058984e+01)
3.19723       	(-1.856379e+03 2.724132e+07 -8.439440e+02)	(-1.840348e+03 2.723258e+07 -7.700937e+02)	(-1.603107e+01 8.742493e+03 -7.385025e+01)
3.22017       	(-1.735451e+03 2.718405e+07 -6.008994e+02)	(-1.719380e+03 2.717516e+07 -5.246709e+02)	(-1.607019e+01 8.893172e+03 -7.622844e+01)
3.24616       	(-2.051896e+03 2.718603e+07 -7.973087e+02)	(-2.035199e+03 2.717696e+07 -7.171740e+02)	(-1.669733e+01 9.063524e+03 -8.013475e+01)
3.27516       	(-2.291810e+03 2.713391e+07 -1.095932e+03)	(-2.275204e+03 2.712464e+07 -1.012678e+03)	(-1.660587e+01 9.265399e+03 -8.325390e+01)
