# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
45.5028       	(1.208910e+02 6.460570e-03 1.439260e+04)	(1.207517e+02 -3.067063e-05 1.439266e+04)	(1.392806e-01 6.491241e-03 -5.819920e-02)
45.5055       	(2.283811e+02 6.507266e-03 1.438532e+04)	(2.282420e+02 -2.736812e-05 1.438538e+04)	(1.391346e-01 6.534634e-03 -5.809572e-02)
45.5083       	(2.285295e+02 6.550240e-03 1.438529e+04)	(2.283905e+02 -2.708776e-05 1.438535e+04)	(1.389706e-01 6.577328e-03 -5.799438e-02)
45.511        	(2.286106e+02 6.591821e-03 1.438527e+04)	(2.284718e+02 -2.692403e-05 1.438532e+04)	(1.387924e-01 6.618745e-03 -5.789579e-02)
45.5138       	(2.286515e+02 6.631690e-03 1.438525e+04)	(2.285129e+02 -2.683070e-05 1.438531e+04)	(1.386031e-01 6.658521e-03 -5.780014e-02)
45.5165       	(2.286266e+02 6.670146e-03 1.438524e+04)	(2.284882e+02 -2.665078e-05 1.438529e+04)	(1.384047e-01 6.696797e-03 -5.770711e-02)
45.5193       	(2.285923e+02 6.706219e-03 1.438523e+04)	(2.284541e+02 -2.654589e-05 1.438528e+04)	(1.381985e-01 6.732765e-03 -5.761685e-02)
45.522        	(2.285426e+02 6.739717e-03 1.438522e+04)	(2.284046e+02 -2.644291e-05 1.438527e+04)	(1.379856e-01 6.766160e-03 -5.752932e-02)
45.5247       	(2.284773e+02 6.770741e-03 1.438521e+04)	(2.283395e+02 -2.637332e-05 1.438527e+04)	(1.377666e-01 6.797115e-03 -5.744487e-02)
45.5274       	(2.284139e+02 6.799333e-03 1.438520e+04)	(2.282764e+02 -2.628307e-05 1.438526e+04)	(1.375416e-01 6.825616e-03 -5.736282e-02)
45.5302       	(2.283404e+02 6.824642e-03 1.438520e+04)	(2.282031e+02 -2.632904e-05 1.438526e+04)	(1.373108e-01 6.850971e-03 -5.728310e-02)
45.5329       	(2.282628e+02 6.846640e-03 1.438519e+04)	(2.281257e+02 -2.633551e-05 1.438525e+04)	(1.370747e-01 6.872975e-03 -5.720558e-02)
45.5356       	(2.281818e+02 6.864721e-03 1.438519e+04)	(2.280450e+02 -2.637246e-05 1.438525e+04)	(1.368335e-01 6.891094e-03 -5.713062e-02)
45.5383       	(2.280975e+02 6.879069e-03 1.438518e+04)	(2.279609e+02 -2.635840e-05 1.438524e+04)	(1.365879e-01 6.905428e-03 -5.705841e-02)
45.541        	(2.280102e+02 6.889022e-03 1.438518e+04)	(2.278738e+02 -2.641753e-05 1.438524e+04)	(1.363379e-01 6.915439e-03 -5.698878e-02)
45.5437       	(2.279215e+02 6.894611e-03 1.438518e+04)	(2.277854e+02 -2.651539e-05 1.438523e+04)	(1.360845e-01 6.921127e-03 -5.692192e-02)
45.5464       	(2.278317e+02 6.895613e-03 1.438518e+04)	(2.276959e+02 -2.660272e-05 1.438523e+04)	(1.358278e-01 6.922215e-03 -5.685790e-02)
45.549        	(2.277397e+02 6.892555e-03 1.438517e+04)	(2.276041e+02 -2.664463e-05 1.438523e+04)	(1.355687e-01 6.919199e-03 -5.679630e-02)
45.5517       	(2.276463e+02 6.885030e-03 1.438517e+04)	(2.275110e+02 -2.675226e-05 1.438523e+04)	(1.353078e-01 6.911782e-03 -5.673749e-02)
45.5544       	(2.275520e+02 6.872910e-03 1.438517e+04)	(2.274170e+02 -2.690228e-05 1.438523e+04)	(1.350458e-01 6.899812e-03 -5.668156e-02)
45.5571       	(2.274632e+02 6.856455e-03 1.438517e+04)	(2.273284e+02 -2.701504e-05 1.438522e+04)	(1.347830e-01 6.883470e-03 -5.662828e-02)
45.5598       	(2.273614e+02 6.835937e-03 1.438517e+04)	(2.272268e+02 -2.716140e-05 1.438522e+04)	(1.345204e-01 6.863099e-03 -5.657813e-02)
45.5624       	(2.272726e+02 6.811668e-03 1.438517e+04)	(2.271383e+02 -2.727460e-05 1.438522e+04)	(1.342584e-01 6.838943e-03 -5.653108e-02)
45.5651       	(2.271682e+02 6.783850e-03 1.438517e+04)	(2.270342e+02 -2.740373e-05 1.438522e+04)	(1.339970e-01 6.811253e-03 -5.648752e-02)
45.5678       	(2.270691e+02 6.752375e-03 1.438517e+04)	(2.269354e+02 -2.756597e-05 1.438522e+04)	(1.337372e-01 6.779941e-03 -5.644742e-02)
45.5705       	(2.269705e+02 6.717906e-03 1.438517e+04)	(2.268371e+02 -2.771513e-05 1.438522e+04)	(1.334792e-01 6.745621e-03 -5.641117e-02)
45.5731       	(2.268714e+02 6.680434e-03 1.438517e+04)	(2.267382e+02 -2.793132e-05 1.438523e+04)	(1.332237e-01 6.708365e-03 -5.637913e-02)
45.5758       	(2.267665e+02 6.640398e-03 1.438517e+04)	(2.266335e+02 -2.819508e-05 1.438523e+04)	(1.329709e-01 6.668593e-03 -5.635126e-02)
45.5785       	(2.266637e+02 6.597953e-03 1.438517e+04)	(2.265310e+02 -2.842254e-05 1.438523e+04)	(1.327213e-01 6.626375e-03 -5.632795e-02)
