# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
45.5028       	(-4.209384e-03 2.704952e+01 7.300512e-02)	(-4.192730e-03 2.701060e+01 7.271803e-02)	(-1.665436e-05 3.891626e-02 2.870904e-04)
45.5055       	(-3.441577e-03 3.849766e+01 7.195873e-02)	(-3.419756e-03 3.845874e+01 7.166253e-02)	(-2.182008e-05 3.892070e-02 2.961936e-04)
45.5083       	(-2.849228e-03 3.851342e+01 7.006357e-02)	(-2.821978e-03 3.847450e+01 6.975860e-02)	(-2.725022e-05 3.892133e-02 3.049721e-04)
45.511        	(-2.454282e-03 3.852205e+01 6.806808e-02)	(-2.421341e-03 3.848313e+01 6.775476e-02)	(-3.294160e-05 3.891907e-02 3.133194e-04)
45.5138       	(-2.687155e-03 3.852613e+01 6.610002e-02)	(-2.648268e-03 3.848721e+01 6.577879e-02)	(-3.888690e-05 3.891488e-02 3.212227e-04)
45.5165       	(-2.477641e-03 3.852333e+01 6.369834e-02)	(-2.432465e-03 3.848443e+01 6.336963e-02)	(-4.517575e-05 3.890915e-02 3.287152e-04)
45.5193       	(-2.534520e-03 3.851930e+01 6.121996e-02)	(-2.482707e-03 3.848040e+01 6.088422e-02)	(-5.181311e-05 3.890233e-02 3.357399e-04)
45.522        	(-2.656891e-03 3.851354e+01 5.862160e-02)	(-2.598077e-03 3.847465e+01 5.827930e-02)	(-5.881417e-05 3.889462e-02 3.422945e-04)
45.5247       	(-2.721058e-03 3.850598e+01 5.586431e-02)	(-2.654863e-03 3.846709e+01 5.551586e-02)	(-6.619460e-05 3.888614e-02 3.484489e-04)
45.5274       	(-3.007796e-03 3.849862e+01 5.322941e-02)	(-2.933801e-03 3.845974e+01 5.287510e-02)	(-7.399539e-05 3.887695e-02 3.543090e-04)
45.5302       	(-3.341930e-03 3.849005e+01 5.043340e-02)	(-3.259724e-03 3.845118e+01 5.007356e-02)	(-8.220606e-05 3.886706e-02 3.598407e-04)
45.5329       	(-3.628885e-03 3.848090e+01 4.771143e-02)	(-3.538039e-03 3.844204e+01 4.734633e-02)	(-9.084622e-05 3.885649e-02 3.650981e-04)
45.5356       	(-4.020238e-03 3.847128e+01 4.490609e-02)	(-3.920360e-03 3.843243e+01 4.453603e-02)	(-9.987807e-05 3.884534e-02 3.700536e-04)
45.5383       	(-4.368896e-03 3.846115e+01 4.215557e-02)	(-4.259603e-03 3.842232e+01 4.178080e-02)	(-1.092926e-04 3.883363e-02 3.747701e-04)
45.541        	(-4.674832e-03 3.845068e+01 3.945530e-02)	(-4.555765e-03 3.841186e+01 3.907605e-02)	(-1.190664e-04 3.882139e-02 3.792506e-04)
45.5437       	(-5.080598e-03 3.843989e+01 3.683615e-02)	(-4.951450e-03 3.840108e+01 3.645260e-02)	(-1.291474e-04 3.880863e-02 3.835529e-04)
45.5464       	(-5.404387e-03 3.842884e+01 3.423600e-02)	(-5.264874e-03 3.839005e+01 3.384830e-02)	(-1.395139e-04 3.879543e-02 3.877043e-04)
45.549        	(-5.556834e-03 3.841762e+01 3.175052e-02)	(-5.406657e-03 3.837883e+01 3.135869e-02)	(-1.501773e-04 3.878181e-02 3.918316e-04)
45.5517       	(-5.722478e-03 3.840596e+01 2.924396e-02)	(-5.561416e-03 3.836719e+01 2.884805e-02)	(-1.610620e-04 3.876785e-02 3.959130e-04)
45.5544       	(-5.876518e-03 3.839421e+01 2.687254e-02)	(-5.704428e-03 3.835546e+01 2.647259e-02)	(-1.720896e-04 3.875366e-02 3.999513e-04)
45.5571       	(-6.001993e-03 3.838293e+01 2.462654e-02)	(-5.818775e-03 3.834420e+01 2.422256e-02)	(-1.832183e-04 3.873931e-02 4.039787e-04)
45.5598       	(-6.006140e-03 3.837011e+01 2.243729e-02)	(-5.811754e-03 3.833139e+01 2.202925e-02)	(-1.943858e-04 3.872477e-02 4.080362e-04)
45.5624       	(-5.904466e-03 3.835849e+01 2.039988e-02)	(-5.698912e-03 3.831978e+01 1.998766e-02)	(-2.055542e-04 3.871014e-02 4.122173e-04)
45.5651       	(-5.673251e-03 3.834521e+01 1.827763e-02)	(-5.456562e-03 3.830652e+01 1.786110e-02)	(-2.166889e-04 3.869548e-02 4.165318e-04)
45.5678       	(-5.439452e-03 3.833243e+01 1.627759e-02)	(-5.211775e-03 3.829375e+01 1.585667e-02)	(-2.276766e-04 3.868077e-02 4.209198e-04)
