# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2530          	(-1.466916e-05 8.857063e-03 -7.063256e-06)	(-1.443104e-05 8.720497e-03 -7.154502e-06)	(-2.381174e-07 1.365664e-04 9.124659e-08)
2530          	(-2.149812e-05 8.879020e-03 5.533034e-06)	(-2.125975e-05 8.742356e-03 5.442019e-06)	(-2.383694e-07 1.366640e-04 9.101469e-08)
2530          	(-1.577576e-05 8.873104e-03 6.533289e-06)	(-1.553740e-05 8.736345e-03 6.442425e-06)	(-2.383581e-07 1.367584e-04 9.086387e-08)
2530          	(-1.626847e-05 8.884725e-03 6.496750e-06)	(-1.603002e-05 8.747873e-03 6.406042e-06)	(-2.384441e-07 1.368513e-04 9.070842e-08)
2530          	(-1.671018e-05 8.890644e-03 6.389819e-06)	(-1.647159e-05 8.753700e-03 6.299210e-06)	(-2.385866e-07 1.369437e-04 9.060820e-08)
2530          	(-1.587594e-05 8.893167e-03 6.400986e-06)	(-1.563718e-05 8.756131e-03 6.310527e-06)	(-2.387520e-07 1.370356e-04 9.045861e-08)
2530          	(-1.595589e-05 8.894696e-03 6.486791e-06)	(-1.571695e-05 8.757569e-03 6.396480e-06)	(-2.389353e-07 1.371270e-04 9.031035e-08)
2530          	(-1.595286e-05 8.894996e-03 6.286822e-06)	(-1.571374e-05 8.757778e-03 6.196680e-06)	(-2.391236e-07 1.372180e-04 9.014178e-08)
2530          	(-1.594448e-05 8.894812e-03 6.376831e-06)	(-1.570516e-05 8.757504e-03 6.286865e-06)	(-2.393238e-07 1.373086e-04 8.996668e-08)
2530          	(-1.601521e-05 8.894151e-03 6.360626e-06)	(-1.577569e-05 8.756753e-03 6.270849e-06)	(-2.395258e-07 1.373987e-04 8.977673e-08)
2530          	(-1.578859e-05 8.893247e-03 6.506111e-06)	(-1.554888e-05 8.755759e-03 6.416515e-06)	(-2.397149e-07 1.374885e-04 8.959567e-08)
2530          	(-1.564530e-05 8.892133e-03 6.494466e-06)	(-1.540540e-05 8.754555e-03 6.405052e-06)	(-2.398942e-07 1.375779e-04 8.941477e-08)
2530          	(-1.572473e-05 8.890929e-03 6.464876e-06)	(-1.548466e-05 8.753262e-03 6.375631e-06)	(-2.400762e-07 1.376669e-04 8.924451e-08)
2530          	(-1.541528e-05 8.889688e-03 6.548104e-06)	(-1.517504e-05 8.751932e-03 6.459022e-06)	(-2.402391e-07 1.377555e-04 8.908151e-08)
2530          	(-1.566388e-05 8.888440e-03 6.485299e-06)	(-1.542347e-05 8.750596e-03 6.396379e-06)	(-2.404109e-07 1.378439e-04 8.891963e-08)
2530          	(-1.548766e-05 8.887227e-03 6.504205e-06)	(-1.524707e-05 8.749296e-03 6.415449e-06)	(-2.405871e-07 1.379319e-04 8.875573e-08)
2530          	(-1.565656e-05 8.886113e-03 6.478329e-06)	(-1.541579e-05 8.748094e-03 6.389733e-06)	(-2.407772e-07 1.380196e-04 8.859613e-08)
2530          	(-1.555027e-05 8.885018e-03 6.470455e-06)	(-1.530932e-05 8.746911e-03 6.382011e-06)	(-2.409587e-07 1.381070e-04 8.844462e-08)
