# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2590          	(3.034422e-01 -2.530063e-04 5.323647e-02)	(2.943679e-01 -1.628527e-04 5.159971e-02)	(9.074322e-03 -9.015362e-05 1.636764e-03)
2590          	(3.042350e-01 -2.660510e-04 5.374212e-02)	(2.951598e-01 -1.758727e-04 5.210481e-02)	(9.075164e-03 -9.017832e-05 1.637314e-03)
2590          	(3.044786e-01 -2.717222e-04 5.382006e-02)	(2.954027e-01 -1.815188e-04 5.218248e-02)	(9.075925e-03 -9.020347e-05 1.637577e-03)
2590          	(3.046674e-01 -2.754176e-04 5.382607e-02)	(2.955908e-01 -1.851888e-04 5.218837e-02)	(9.076616e-03 -9.022873e-05 1.637701e-03)
2590          	(3.048143e-01 -2.797453e-04 5.380369e-02)	(2.957371e-01 -1.894910e-04 5.216594e-02)	(9.077249e-03 -9.025431e-05 1.637749e-03)
2590          	(3.049372e-01 -2.810446e-04 5.377282e-02)	(2.958594e-01 -1.907647e-04 5.213506e-02)	(9.077832e-03 -9.027988e-05 1.637756e-03)
2590          	(3.050380e-01 -2.811770e-04 5.373999e-02)	(2.959597e-01 -1.908715e-04 5.210225e-02)	(9.078373e-03 -9.030553e-05 1.637741e-03)
2590          	(3.051305e-01 -2.819299e-04 5.370687e-02)	(2.960517e-01 -1.915988e-04 5.206915e-02)	(9.078877e-03 -9.033109e-05 1.637715e-03)
2590          	(3.052206e-01 -2.793527e-04 5.367481e-02)	(2.961413e-01 -1.889962e-04 5.203713e-02)	(9.079343e-03 -9.035656e-05 1.637683e-03)
2590          	(3.052873e-01 -2.768895e-04 5.364935e-02)	(2.962075e-01 -1.865077e-04 5.201170e-02)	(9.079781e-03 -9.038177e-05 1.637653e-03)
2590          	(3.053431e-01 -2.733515e-04 5.362535e-02)	(2.962629e-01 -1.829448e-04 5.198772e-02)	(9.080193e-03 -9.040673e-05 1.637627e-03)
2590          	(3.053934e-01 -2.703721e-04 5.360720e-02)	(2.963128e-01 -1.799406e-04 5.196959e-02)	(9.080580e-03 -9.043150e-05 1.637606e-03)
2590          	(3.054404e-01 -2.685701e-04 5.358858e-02)	(2.963594e-01 -1.781139e-04 5.195099e-02)	(9.080945e-03 -9.045615e-05 1.637591e-03)
2590          	(3.054828e-01 -2.676298e-04 5.357416e-02)	(2.964015e-01 -1.771492e-04 5.193657e-02)	(9.081291e-03 -9.048063e-05 1.637583e-03)
2590          	(3.055153e-01 -2.664351e-04 5.355965e-02)	(2.964337e-01 -1.759301e-04 5.192207e-02)	(9.081617e-03 -9.050499e-05 1.637581e-03)
2590          	(3.055457e-01 -2.670906e-04 5.354818e-02)	(2.964638e-01 -1.765612e-04 5.191060e-02)	(9.081926e-03 -9.052940e-05 1.637586e-03)
2590          	(3.055715e-01 -2.678092e-04 5.354003e-02)	(2.964892e-01 -1.772553e-04 5.190243e-02)	(9.082219e-03 -9.055389e-05 1.637597e-03)
2590          	(3.055971e-01 -2.651075e-04 5.353195e-02)	(2.965146e-01 -1.745294e-04 5.189433e-02)	(9.082497e-03 -9.057811e-05 1.637615e-03)
2590.01       	(3.056190e-01 -2.632804e-04 5.352419e-02)	(2.965363e-01 -1.726783e-04 5.188655e-02)	(9.082761e-03 -9.060215e-05 1.637639e-03)
2590.01       	(3.056422e-01 -2.621953e-04 5.351481e-02)	(2.965591e-01 -1.715692e-04 5.187714e-02)	(9.083012e-03 -9.062612e-05 1.637669e-03)
2590.01       	(3.056609e-01 -2.580339e-04 5.351071e-02)	(2.965776e-01 -1.673841e-04 5.187300e-02)	(9.083251e-03 -9.064980e-05 1.637705e-03)
2590.01       	(3.056800e-01 -2.539495e-04 5.350573e-02)	(2.965965e-01 -1.632762e-04 5.186798e-02)	(9.083478e-03 -9.067324e-05 1.637746e-03)
2590.01       	(3.056916e-01 -2.523042e-04 5.350329e-02)	(2.966080e-01 -1.616077e-04 5.186550e-02)	(9.083694e-03 -9.069657e-05 1.637792e-03)
2590.01       	(3.057046e-01 -2.509539e-04 5.349886e-02)	(2.966207e-01 -1.602342e-04 5.186102e-02)	(9.083900e-03 -9.071978e-05 1.637843e-03)
2590.01       	(3.057115e-01 -2.490067e-04 5.349911e-02)	(2.966274e-01 -1.582639e-04 5.186121e-02)	(9.084096e-03 -9.074278e-05 1.637898e-03)
2590.01       	(3.057247e-01 -2.475844e-04 5.349768e-02)	(2.966404e-01 -1.568188e-04 5.185972e-02)	(9.084283e-03 -9.076566e-05 1.637958e-03)
2590.01       	(3.057329e-01 -2.454442e-04 5.349535e-02)	(2.966485e-01 -1.546558e-04 5.185732e-02)	(9.084461e-03 -9.078836e-05 1.638021e-03)
2590.01       	(3.057421e-01 -2.436307e-04 5.349318e-02)	(2.966575e-01 -1.528198e-04 5.185509e-02)	(9.084631e-03 -9.081087e-05 1.638089e-03)
2590.01       	(3.057475e-01 -2.421428e-04 5.349165e-02)	(2.966627e-01 -1.513095e-04 5.185349e-02)	(9.084793e-03 -9.083326e-05 1.638159e-03)
2590.01       	(3.057552e-01 -2.373468e-04 5.348983e-02)	(2.966703e-01 -1.464915e-04 5.185160e-02)	(9.084947e-03 -9.085533e-05 1.638233e-03)
2590.01       	(3.057646e-01 -2.361549e-04 5.348855e-02)	(2.966795e-01 -1.452776e-04 5.185024e-02)	(9.085095e-03 -9.087725e-05 1.638310e-03)
2590.01       	(3.057701e-01 -2.344423e-04 5.349023e-02)	(2.966849e-01 -1.435433e-04 5.185184e-02)	(9.085236e-03 -9.089904e-05 1.638389e-03)
2590.01       	(3.057724e-01 -2.332118e-04 5.349418e-02)	(2.966870e-01 -1.422911e-04 5.185571e-02)	(9.085371e-03 -9.092064e-05 1.638472e-03)
2590.01       	(3.057777e-01 -2.274712e-04 5.349407e-02)	(2.966922e-01 -1.365295e-04 5.185552e-02)	(9.085500e-03 -9.094177e-05 1.638556e-03)
2590.01       	(3.057821e-01 -2.266507e-04 5.349598e-02)	(2.966965e-01 -1.356879e-04 5.185733e-02)	(9.085623e-03 -9.096277e-05 1.638643e-03)
2590.01       	(3.057835e-01 -2.240288e-04 5.349647e-02)	(2.966977e-01 -1.330452e-04 5.185773e-02)	(9.085740e-03 -9.098359e-05 1.638732e-03)
2590.01       	(3.057875e-01 -2.224808e-04 5.349580e-02)	(2.967016e-01 -1.314765e-04 5.185697e-02)	(9.085852e-03 -9.100432e-05 1.638822e-03)
