# Wall shear stress
# Time        	patch         	min           	max           
100           	cylinder	(-8.836053e-04 -1.625660e-03 -5.709901e-04)	(9.405712e-04 1.623977e-03 7.438948e-04)
200           	cylinder	(-7.735191e-04 -1.380057e-03 -5.275661e-04)	(5.628535e-04 1.385990e-03 5.091700e-04)
300           	cylinder	(-7.286873e-04 -1.305277e-03 -3.437324e-04)	(5.717413e-04 1.331056e-03 5.456580e-04)
400           	cylinder	(-5.929940e-04 -1.132158e-03 -3.345237e-04)	(3.740677e-04 1.128166e-03 4.805935e-04)
500           	cylinder	(-5.916736e-04 -1.133390e-03 -3.334635e-04)	(3.462401e-04 1.100194e-03 4.747955e-04)
600           	cylinder	(-5.692792e-04 -1.102941e-03 -3.244191e-04)	(3.353375e-04 1.087986e-03 4.623610e-04)
700           	cylinder	(-5.709497e-04 -1.113622e-03 -3.280997e-04)	(3.334112e-04 1.083046e-03 4.645350e-04)
800           	cylinder	(-5.572132e-04 -1.093049e-03 -3.256813e-04)	(3.278936e-04 1.076501e-03 4.570591e-04)
900           	cylinder	(-5.660453e-04 -1.099912e-03 -3.233653e-04)	(3.445666e-04 1.098672e-03 4.618338e-04)
1000          	cylinder	(-5.607823e-04 -1.093305e-03 -3.227790e-04)	(3.354279e-04 1.089960e-03 4.592072e-04)
1500          	cylinder	(-5.580720e-04 -1.085303e-03 -3.219139e-04)	(3.327144e-04 1.090343e-03 4.589535e-04)
2000          	cylinder	(-5.565506e-04 -1.087852e-03 -3.212776e-04)	(3.273013e-04 1.085979e-03 4.588339e-04)
2500          	cylinder	(-5.568753e-04 -1.086298e-03 -3.208172e-04)	(3.323717e-04 1.087924e-03 4.589220e-04)
3000          	cylinder	(-5.568273e-04 -1.086429e-03 -3.208526e-04)	(3.386510e-04 1.087454e-03 4.589633e-04)
3500          	cylinder	(-5.563606e-04 -1.086406e-03 -3.209658e-04)	(3.351644e-04 1.087309e-03 4.589343e-04)
4000          	cylinder	(-5.561055e-04 -1.086303e-03 -3.209902e-04)	(3.396051e-04 1.087509e-03 4.589135e-04)
4500          	cylinder	(-5.564688e-04 -1.086315e-03 -3.208077e-04)	(3.353005e-04 1.087592e-03 4.589293e-04)
5000          	cylinder	(-5.568303e-04 -1.086296e-03 -3.207766e-04)	(3.324508e-04 1.087463e-03 4.589144e-04)
