# y+ ()       
# Time        	patch         	min           	max           	average       
100           	bottom	1.095059e-05	4.320477e+02	1.219836e+01
100           	cylinder	1.165568e-05	3.832209e+02	9.178434e-01
100           	frontAndBack	2.804546e-01	3.044141e+01	1.822120e+01
200           	bottom	2.031249e-05	3.229004e+02	1.312612e+01
200           	cylinder	2.161977e-05	2.864086e+02	7.960820e-01
200           	frontAndBack	2.829774e-01	3.118718e+01	1.960812e+01
300           	bottom	2.749389e-06	3.359294e+02	1.265223e+01
300           	cylinder	2.926362e-06	2.979652e+02	6.963219e-01
300           	frontAndBack	2.824763e-01	3.282639e+01	1.919993e+01
400           	bottom	1.542312e-06	2.675187e+02	1.281148e+01
400           	cylinder	1.641705e-06	2.372858e+02	5.743164e-01
400           	frontAndBack	2.818977e-01	4.012971e+01	1.895281e+01
500           	bottom	1.543476e-06	2.580157e+02	1.346650e+01
500           	cylinder	1.642829e-06	2.288568e+02	5.553832e-01
500           	frontAndBack	2.815072e-01	3.469252e+01	1.944320e+01
600           	bottom	1.543425e-06	2.545658e+02	1.381377e+01
600           	cylinder	1.642775e-06	2.257967e+02	5.552865e-01
600           	frontAndBack	2.818170e-01	3.626088e+01	1.931991e+01
700           	bottom	1.543459e-06	2.537904e+02	1.356360e+01
700           	cylinder	1.642814e-06	2.251090e+02	5.340591e-01
700           	frontAndBack	2.810348e-01	3.237925e+01	1.925205e+01
800           	bottom	1.543452e-06	2.515446e+02	1.331989e+01
800           	cylinder	1.642801e-06	2.231169e+02	5.376370e-01
800           	frontAndBack	2.820256e-01	3.279891e+01	1.949460e+01
900           	bottom	1.540951e-06	2.578883e+02	1.371584e+01
900           	cylinder	1.641224e-06	2.287437e+02	5.459692e-01
900           	frontAndBack	2.814765e-01	3.285870e+01	1.948426e+01
1000          	bottom	1.542314e-06	2.542377e+02	1.334755e+01
1000          	cylinder	1.641707e-06	2.255056e+02	5.307553e-01
1000          	frontAndBack	2.812231e-01	3.284445e+01	1.962554e+01
1500          	bottom	1.540651e-06	2.545182e+02	1.323206e+01
1500          	cylinder	1.641122e-06	2.257544e+02	5.286129e-01
1500          	frontAndBack	2.811586e-01	3.280127e+01	1.968337e+01
2000          	bottom	1.543491e-06	2.525874e+02	1.311819e+01
2000          	cylinder	1.642840e-06	2.240419e+02	5.167503e-01
2000          	frontAndBack	2.811119e-01	3.288187e+01	1.987016e+01
2500          	bottom	1.543499e-06	2.539742e+02	1.311126e+01
2500          	cylinder	1.642854e-06	2.252719e+02	5.140935e-01
2500          	frontAndBack	2.808532e-01	3.291238e+01	1.986231e+01
3000          	bottom	1.542314e-06	2.554637e+02	1.311179e+01
3000          	cylinder	1.641707e-06	2.265931e+02	5.145246e-01
3000          	frontAndBack	2.809441e-01	3.291442e+01	1.986463e+01
3500          	bottom	1.543503e-06	2.542324e+02	1.311330e+01
3500          	cylinder	1.642856e-06	2.255009e+02	5.145712e-01
3500          	frontAndBack	2.807963e-01	3.291631e+01	1.986566e+01
4000          	bottom	1.543503e-06	2.550395e+02	1.311217e+01
4000          	cylinder	1.642856e-06	2.262168e+02	5.147526e-01
4000          	frontAndBack	2.811172e-01	3.291732e+01	1.986633e+01
4500          	bottom	1.543503e-06	2.543115e+02	1.311229e+01
4500          	cylinder	1.642856e-06	2.255712e+02	5.147719e-01
4500          	frontAndBack	2.808204e-01	3.291792e+01	1.986650e+01
5000          	bottom	1.543503e-06	2.534638e+02	1.311118e+01
5000          	cylinder	1.642856e-06	2.248193e+02	5.146285e-01
5000          	frontAndBack	2.811475e-01	3.291770e+01	1.986649e+01
