# y+ ()       
# Time        	patch         	min           	max           	average       
104           	bottom	2.867016e-01	3.665530e+01	1.188151e+01
104           	cylinder	3.294989e-02	5.439783e+00	1.117776e+00
104           	frontAndBack	2.818093e-01	3.041799e+01	1.835251e+01
104           	mount	4.729614e-02	3.365538e+00	1.252631e+00
500           	bottom	1.418853e-01	4.903101e+01	1.306218e+01
500           	cylinder	4.495571e-03	4.150629e+00	8.684045e-01
500           	frontAndBack	2.821231e-01	3.298543e+01	1.952204e+01
500           	mount	1.399876e-01	4.278941e+00	1.578655e+00
1000          	bottom	2.277475e-01	4.885121e+01	1.294378e+01
1000          	cylinder	1.344064e-02	4.211455e+00	7.963184e-01
1000          	frontAndBack	2.812652e-01	3.331985e+01	2.013840e+01
1000          	mount	4.849770e-02	4.771347e+00	1.581082e+00
1500          	bottom	1.506080e-01	4.844575e+01	1.299946e+01
1500          	cylinder	2.062460e-02	4.203937e+00	7.803463e-01
1500          	frontAndBack	2.807028e-01	3.317870e+01	2.014878e+01
1500          	mount	3.291490e-02	4.980978e+00	1.588109e+00
2000          	bottom	1.509258e-01	4.735895e+01	1.306269e+01
2000          	cylinder	1.945893e-02	4.240906e+00	7.767728e-01
2000          	frontAndBack	2.798178e-01	3.343723e+01	2.022311e+01
2000          	mount	3.868705e-02	4.880834e+00	1.575844e+00
2251          	bottom	1.601793e-01	4.730562e+01	1.307316e+01
2251          	cylinder	1.963107e-02	4.240830e+00	7.763826e-01
2251          	frontAndBack	2.804215e-01	3.343306e+01	2.023239e+01
2251          	mount	3.838099e-02	4.869980e+00	1.575259e+00
