# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2530          	(3.406669e-01 -1.448453e-05 8.722186e-02)	(3.344791e-01 -1.470499e-05 8.655521e-02)	(6.187720e-03 2.204606e-07 6.666504e-04)
2530.01       	(3.405572e-01 -1.427343e-05 8.693047e-02)	(3.343707e-01 -1.449077e-05 8.626429e-02)	(6.186465e-03 2.173386e-07 6.661721e-04)
2530.01       	(3.404996e-01 -1.552682e-05 8.690800e-02)	(3.343142e-01 -1.574196e-05 8.624255e-02)	(6.185413e-03 2.151455e-07 6.654553e-04)
2530.01       	(3.404715e-01 -1.606542e-05 8.687940e-02)	(3.342869e-01 -1.627788e-05 8.621466e-02)	(6.184574e-03 2.124534e-07 6.647319e-04)
2530.01       	(3.404622e-01 -1.621204e-05 8.686780e-02)	(3.342783e-01 -1.642162e-05 8.620372e-02)	(6.183901e-03 2.095794e-07 6.640811e-04)
2530.02       	(3.404482e-01 -1.616567e-05 8.685869e-02)	(3.342649e-01 -1.637245e-05 8.619518e-02)	(6.183350e-03 2.067804e-07 6.635103e-04)
2530.02       	(3.404414e-01 -1.627943e-05 8.685221e-02)	(3.342586e-01 -1.648332e-05 8.618920e-02)	(6.182890e-03 2.038939e-07 6.630120e-04)
2530.02       	(3.404346e-01 -1.624196e-05 8.684821e-02)	(3.342521e-01 -1.644301e-05 8.618563e-02)	(6.182499e-03 2.010593e-07 6.625744e-04)
2530.02       	(3.404299e-01 -1.628876e-05 8.684408e-02)	(3.342478e-01 -1.648692e-05 8.618190e-02)	(6.182163e-03 1.981531e-07 6.621855e-04)
2530.03       	(3.404267e-01 -1.624852e-05 8.684334e-02)	(3.342448e-01 -1.644380e-05 8.618150e-02)	(6.181872e-03 1.952708e-07 6.618375e-04)
2530.03       	(3.404246e-01 -1.627247e-05 8.684176e-02)	(3.342429e-01 -1.646478e-05 8.618024e-02)	(6.181618e-03 1.923111e-07 6.615227e-04)
2530.03       	(3.404233e-01 -1.623092e-05 8.684319e-02)	(3.342419e-01 -1.642029e-05 8.618195e-02)	(6.181396e-03 1.893665e-07 6.612373e-04)
2530.03       	(3.404227e-01 -1.624317e-05 8.684344e-02)	(3.342415e-01 -1.642954e-05 8.618247e-02)	(6.181199e-03 1.863635e-07 6.609767e-04)
2530.04       	(3.404225e-01 -1.620019e-05 8.684616e-02)	(3.342414e-01 -1.638356e-05 8.618542e-02)	(6.181024e-03 1.833677e-07 6.607385e-04)
2530.04       	(3.404231e-01 -1.618902e-05 8.684781e-02)	(3.342422e-01 -1.636935e-05 8.618727e-02)	(6.180873e-03 1.803248e-07 6.605465e-04)
