# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2532.01       	(-1.817748e-05 9.158974e-03 8.574799e-06)	(-1.794467e-05 9.023166e-03 8.505106e-06)	(-2.328094e-07 1.358077e-04 6.969364e-08)
2532.01       	(-1.642180e-05 9.158804e-03 1.172199e-05)	(-1.618978e-05 9.022996e-03 1.165123e-05)	(-2.320216e-07 1.358080e-04 7.076474e-08)
2532.02       	(-1.819743e-05 9.158998e-03 8.563830e-06)	(-1.796451e-05 9.023190e-03 8.494468e-06)	(-2.329210e-07 1.358085e-04 6.936177e-08)
2532.02       	(-1.644164e-05 9.158830e-03 1.171335e-05)	(-1.620950e-05 9.023021e-03 1.164292e-05)	(-2.321330e-07 1.358089e-04 7.043595e-08)
2532.03       	(-1.821718e-05 9.159023e-03 8.553338e-06)	(-1.798415e-05 9.023213e-03 8.484304e-06)	(-2.330323e-07 1.358094e-04 6.903443e-08)
2532.03       	(-1.646115e-05 9.158856e-03 1.170549e-05)	(-1.622891e-05 9.023047e-03 1.163538e-05)	(-2.322439e-07 1.358098e-04 7.011229e-08)
2532.04       	(-1.823690e-05 9.159047e-03 8.543356e-06)	(-1.800375e-05 9.023237e-03 8.474644e-06)	(-2.331434e-07 1.358103e-04 6.871255e-08)
2532.04       	(-1.648054e-05 9.158882e-03 1.169758e-05)	(-1.624818e-05 9.023072e-03 1.162779e-05)	(-2.323547e-07 1.358106e-04 6.979376e-08)
2532.05       	(-1.825644e-05 9.159072e-03 8.533056e-06)	(-1.802319e-05 9.023261e-03 8.464661e-06)	(-2.332543e-07 1.358112e-04 6.839508e-08)
2532.05       	(-1.649932e-05 9.158908e-03 1.169027e-05)	(-1.626685e-05 9.023097e-03 1.162079e-05)	(-2.324647e-07 1.358115e-04 6.948002e-08)
2532.06       	(-1.827520e-05 9.159098e-03 8.523961e-06)	(-1.804183e-05 9.023286e-03 8.455877e-06)	(-2.333635e-07 1.358120e-04 6.808332e-08)
2532.06       	(-1.651754e-05 9.158935e-03 1.168363e-05)	(-1.628497e-05 9.023122e-03 1.161446e-05)	(-2.325725e-07 1.358124e-04 6.917231e-08)
2532.07       	(-1.829404e-05 9.159123e-03 8.514763e-06)	(-1.806057e-05 9.023310e-03 8.446986e-06)	(-2.334710e-07 1.358129e-04 6.777701e-08)
2532.07       	(-1.653607e-05 9.158961e-03 1.167685e-05)	(-1.630339e-05 9.023147e-03 1.160798e-05)	(-2.326792e-07 1.358133e-04 6.886951e-08)
2532.08       	(-1.831320e-05 9.159148e-03 8.505112e-06)	(-1.807963e-05 9.023335e-03 8.437637e-06)	(-2.335781e-07 1.358138e-04 6.747486e-08)
2532.08       	(-1.655474e-05 9.158987e-03 1.166977e-05)	(-1.632196e-05 9.023172e-03 1.160120e-05)	(-2.327860e-07 1.358141e-04 6.857034e-08)
2532.09       	(-1.833228e-05 9.159174e-03 8.495783e-06)	(-1.809860e-05 9.023359e-03 8.428607e-06)	(-2.336851e-07 1.358147e-04 6.717634e-08)
2532.09       	(-1.657261e-05 9.159012e-03 1.166394e-05)	(-1.633972e-05 9.023197e-03 1.159566e-05)	(-2.328918e-07 1.358150e-04 6.827591e-08)
2532.1        	(-1.835095e-05 9.159199e-03 8.487276e-06)	(-1.811716e-05 9.023384e-03 8.420393e-06)	(-2.337909e-07 1.358155e-04 6.688307e-08)
2532.1        	(-1.659031e-05 9.159038e-03 1.165836e-05)	(-1.635731e-05 9.023222e-03 1.159038e-05)	(-2.329963e-07 1.358159e-04 6.798666e-08)
2532.11       	(-1.836969e-05 9.159225e-03 8.478602e-06)	(-1.813580e-05 9.023408e-03 8.412007e-06)	(-2.338955e-07 1.358164e-04 6.659448e-08)
2532.11       	(-1.660743e-05 9.159063e-03 1.165327e-05)	(-1.637433e-05 9.023246e-03 1.158557e-05)	(-2.330992e-07 1.358168e-04 6.770222e-08)
2532.12       	(-1.838847e-05 9.159250e-03 8.470098e-06)	(-1.815448e-05 9.023433e-03 8.403787e-06)	(-2.339987e-07 1.358173e-04 6.631058e-08)
2532.12       	(-1.662402e-05 9.159088e-03 1.164901e-05)	(-1.639082e-05 9.023271e-03 1.158159e-05)	(-2.332003e-07 1.358176e-04 6.742291e-08)
2532.13       	(-1.840741e-05 9.159276e-03 8.461690e-06)	(-1.817331e-05 9.023458e-03 8.395658e-06)	(-2.341003e-07 1.358181e-04 6.603153e-08)
2532.13       	(-1.664027e-05 9.159113e-03 1.164522e-05)	(-1.640697e-05 9.023295e-03 1.157807e-05)	(-2.332997e-07 1.358185e-04 6.714854e-08)
2532.14       	(-1.842634e-05 9.159301e-03 8.453237e-06)	(-1.819214e-05 9.023482e-03 8.387480e-06)	(-2.342003e-07 1.358190e-04 6.575704e-08)
2532.15       	(-1.665592e-05 9.159137e-03 1.164193e-05)	(-1.642252e-05 9.023318e-03 1.157505e-05)	(-2.333969e-07 1.358193e-04 6.687885e-08)
2532.15       	(-1.844551e-05 9.159326e-03 8.444525e-06)	(-1.821121e-05 9.023506e-03 8.379039e-06)	(-2.342985e-07 1.358198e-04 6.548666e-08)
