# Wall shear stress
# Time        	patch         	min           	max           
500           	cylinder	(-3.862903e-03 -4.300167e-03 -2.989503e-03)	(1.200759e-03 3.671932e-03 4.808572e-03)
1000          	cylinder	(-3.931908e-03 -4.291169e-03 -4.068767e-03)	(1.316159e-03 3.447616e-03 5.047189e-03)
1500          	cylinder	(-3.503618e-03 -4.197815e-03 -3.757313e-03)	(1.273691e-03 3.698291e-03 4.306450e-03)
2000          	cylinder	(-3.451521e-03 -4.222399e-03 -3.761644e-03)	(1.294799e-03 3.659068e-03 4.286810e-03)
2500          	cylinder	(-3.460109e-03 -4.189748e-03 -3.710236e-03)	(1.251183e-03 3.707188e-03 4.186762e-03)
3000          	cylinder	(-3.479291e-03 -4.239051e-03 -3.798161e-03)	(1.291559e-03 3.687670e-03 4.353970e-03)
3500          	cylinder	(-3.487700e-03 -4.214156e-03 -3.788858e-03)	(1.273069e-03 3.668891e-03 4.364619e-03)
4000          	cylinder	(-3.487644e-03 -4.222121e-03 -3.782036e-03)	(1.277928e-03 3.681689e-03 4.336863e-03)
4500          	cylinder	(-3.515424e-03 -4.222588e-03 -3.792901e-03)	(1.280482e-03 3.714624e-03 4.367932e-03)
5000          	cylinder	(-3.478432e-03 -4.215580e-03 -3.785404e-03)	(1.271905e-03 3.670575e-03 4.345654e-03)
