# y+ ()       
# Time        	patch         	min           	max           	average       
500           	bottom	3.057743e-01	5.758845e+01	1.508652e+01
500           	cylinder	1.640122e-02	3.773701e+00	7.981982e-01
500           	frontAndBack	4.202688e+00	3.427619e+01	2.055805e+01
1000          	bottom	2.901636e-01	5.834050e+01	1.471076e+01
1000          	cylinder	1.786474e-02	3.540893e+00	7.715096e-01
1000          	frontAndBack	4.202099e+00	3.495377e+01	2.082868e+01
1500          	bottom	1.091657e-01	5.438799e+01	1.442587e+01
1500          	cylinder	1.704200e-02	3.530827e+00	7.644117e-01
1500          	frontAndBack	4.193753e+00	3.524402e+01	2.098585e+01
2000          	bottom	1.396023e-01	5.324093e+01	1.456378e+01
2000          	cylinder	1.842256e-02	3.523086e+00	7.625680e-01
2000          	frontAndBack	4.202766e+00	3.523128e+01	2.107252e+01
