# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(2.166029e+01 2.088124e+01 -4.675216e+02)	(2.162730e+01 2.088137e+01 -4.675217e+02)	(3.299682e-02 -1.303099e-04 1.220658e-04)
2             	(2.236627e+01 2.127732e+01 -4.672824e+02)	(2.235099e+01 2.129025e+01 -4.672828e+02)	(1.528065e-02 -1.292296e-02 4.612329e-04)
3             	(1.745999e+01 1.642922e+01 -4.673789e+02)	(1.745771e+01 1.645118e+01 -4.673792e+02)	(2.278842e-03 -2.195942e-02 3.052624e-04)
4             	(9.112004e+00 8.357541e+00 -4.677388e+02)	(9.115513e+00 8.382802e+00 -4.677389e+02)	(-3.508703e-03 -2.526117e-02 1.446559e-04)
5             	(2.300697e-01 -2.128110e-01 -4.682282e+02)	(2.334611e-01 -1.896536e-01 -4.682282e+02)	(-3.391468e-03 -2.315743e-02 3.471517e-05)
6             	(-6.021673e+00 -6.156217e+00 -4.686445e+02)	(-6.021950e+00 -6.138494e+00 -4.686445e+02)	(2.768014e-04 -1.772295e-02 -2.262024e-05)
7             	(-8.503157e+00 -8.382791e+00 -4.689512e+02)	(-8.508868e+00 -8.372021e+00 -4.689514e+02)	(5.711877e-03 -1.076965e-02 2.203673e-04)
8             	(-8.056202e+00 -7.788174e+00 -4.690404e+02)	(-8.067043e+00 -7.783856e+00 -4.690409e+02)	(1.084115e-02 -4.318036e-03 5.236849e-04)
9             	(-5.822837e+00 -5.496538e+00 -4.690390e+02)	(-5.836870e+00 -5.496699e+00 -4.690397e+02)	(1.403288e-02 1.609373e-04 6.862095e-04)
10            	(-2.450917e+00 -2.195611e+00 -4.689581e+02)	(-2.465759e+00 -2.197644e+00 -4.689587e+02)	(1.484244e-02 2.032721e-03 6.088767e-04)
11            	(7.731696e-01 8.793507e-01 -4.687470e+02)	(7.594717e-01 8.777017e-01 -4.687474e+02)	(1.369788e-02 1.649000e-03 4.448097e-04)
12            	(2.879041e+00 2.832824e+00 -4.685487e+02)	(2.867744e+00 2.832981e+00 -4.685489e+02)	(1.129708e-02 -1.575017e-04 2.463994e-04)
13            	(3.721303e+00 3.558942e+00 -4.684388e+02)	(3.712799e+00 3.561429e+00 -4.684389e+02)	(8.503375e-03 -2.486533e-03 7.431866e-05)
14            	(3.570260e+00 3.358019e+00 -4.683914e+02)	(3.564254e+00 3.362561e+00 -4.683913e+02)	(6.005547e-03 -4.542504e-03 -7.386943e-05)
15            	(2.766082e+00 2.545024e+00 -4.683835e+02)	(2.761795e+00 2.550859e+00 -4.683833e+02)	(4.286732e-03 -5.835096e-03 -1.695190e-04)
16            	(1.708605e+00 1.519599e+00 -4.683862e+02)	(1.705167e+00 1.525782e+00 -4.683860e+02)	(3.437485e-03 -6.182706e-03 -1.885870e-04)
17            	(6.833094e-01 5.566434e-01 -4.683943e+02)	(6.800252e-01 5.623840e-01 -4.683942e+02)	(3.284191e-03 -5.740610e-03 -1.634761e-04)
18            	(-2.816934e-02 -8.957429e-02 -4.684063e+02)	(-3.172669e-02 -8.474242e-02 -4.684062e+02)	(3.557347e-03 -4.831873e-03 -1.297917e-04)
19            	(-3.422840e-01 -3.577029e-01 -4.684503e+02)	(-3.462753e-01 -3.539175e-01 -4.684503e+02)	(3.991357e-03 -3.785464e-03 -9.530611e-05)
20            	(-3.818461e-01 -3.685790e-01 -4.684740e+02)	(-3.862080e-01 -3.657244e-01 -4.684739e+02)	(4.361933e-03 -2.854606e-03 -5.352773e-05)
21            	(-2.268512e-01 -1.909613e-01 -4.685119e+02)	(-2.313737e-01 -1.887939e-01 -4.685119e+02)	(4.522504e-03 -2.167440e-03 -1.971039e-05)
22            	(8.409229e-02 1.117159e-01 -4.685168e+02)	(7.961656e-02 1.134940e-01 -4.685168e+02)	(4.475734e-03 -1.778130e-03 3.681988e-06)
23            	(4.220395e-01 4.353836e-01 -4.685171e+02)	(4.177965e-01 4.370205e-01 -4.685172e+02)	(4.243015e-03 -1.636857e-03 1.434456e-05)
24            	(7.260620e-01 7.207433e-01 -4.685165e+02)	(7.221592e-01 7.224054e-01 -4.685165e+02)	(3.902780e-03 -1.662136e-03 8.612916e-06)
25            	(9.286111e-01 9.067312e-01 -4.685151e+02)	(9.250677e-01 9.084804e-01 -4.685151e+02)	(3.543396e-03 -1.749235e-03 -4.944673e-06)
26            	(1.011906e+00 9.816426e-01 -4.685139e+02)	(1.008674e+00 9.834474e-01 -4.685139e+02)	(3.231979e-03 -1.804724e-03 -1.728291e-05)
27            	(9.830628e-01 9.526540e-01 -4.685138e+02)	(9.800910e-01 9.544757e-01 -4.685138e+02)	(2.971797e-03 -1.821697e-03 -2.605052e-05)
