# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(-1.762228e-01 1.089392e+00 3.590821e-03)	(-1.762289e-01 1.088700e+00 3.585122e-03)	(6.044772e-06 6.921177e-04 5.699367e-06)
2             	(-1.870036e-01 1.147811e+00 -6.645871e-04)	(-1.871469e-01 1.148345e+00 -8.297241e-04)	(1.432440e-04 -5.340767e-04 1.651370e-04)
3             	(-1.402786e-01 9.586638e-01 4.751561e-03)	(-1.405413e-01 9.599814e-01 4.727347e-03)	(2.626699e-04 -1.317582e-03 2.421443e-05)
4             	(-4.678514e-02 4.572051e-01 -2.538730e-02)	(-4.704798e-02 4.585537e-01 -2.519946e-02)	(2.628458e-04 -1.348599e-03 -1.878363e-04)
5             	(1.058920e-02 -8.134136e-02 -7.309516e-02)	(1.040651e-02 -8.031247e-02 -7.278879e-02)	(1.826896e-04 -1.028888e-03 -3.063656e-04)
6             	(4.692701e-02 -4.211101e-01 -8.565223e-02)	(4.681468e-02 -4.206770e-01 -8.545010e-02)	(1.123225e-04 -4.330884e-04 -2.021359e-04)
7             	(5.683445e-02 -5.231303e-01 -8.643734e-02)	(5.678303e-02 -5.234344e-01 -8.638408e-02)	(5.142506e-05 3.041198e-04 -5.326637e-05)
8             	(4.667446e-02 -4.625394e-01 -5.985505e-02)	(4.668513e-02 -4.634287e-01 -5.988043e-02)	(-1.067711e-05 8.893225e-04 2.537684e-05)
9             	(2.755395e-02 -3.183367e-01 -2.366017e-02)	(2.759669e-02 -3.194057e-01 -2.358021e-02)	(-4.273554e-05 1.069050e-03 -7.995594e-05)
10            	(9.778147e-03 -1.281930e-01 1.354748e-02)	(9.813601e-03 -1.291207e-01 1.374422e-02)	(-3.545395e-05 9.277064e-04 -1.967429e-04)
11            	(-6.464938e-03 5.044926e-02 3.225045e-02)	(-6.429503e-03 4.985213e-02 3.245837e-02)	(-3.543535e-05 5.971339e-04 -2.079162e-04)
12            	(-1.805791e-02 1.710697e-01 3.752257e-02)	(-1.802984e-02 1.708651e-01 3.765733e-02)	(-2.807023e-05 2.045531e-04 -1.347552e-04)
13            	(-2.285734e-02 2.220510e-01 2.887329e-02)	(-2.284699e-02 2.221894e-01 2.890999e-02)	(-1.034689e-05 -1.384411e-04 -3.670141e-05)
14            	(-2.362713e-02 2.194091e-01 1.257302e-02)	(-2.363353e-02 2.197495e-01 1.254764e-02)	(6.399981e-06 -3.404517e-04 2.538113e-05)
15            	(-2.029127e-02 1.797013e-01 -4.145017e-03)	(-2.030240e-02 1.800996e-01 -4.178752e-03)	(1.113204e-05 -3.982603e-04 3.373482e-05)
16            	(-1.599917e-02 1.260367e-01 -2.069875e-02)	(-1.600607e-02 1.263825e-01 -2.071376e-02)	(6.901389e-06 -3.458060e-04 1.500907e-05)
17            	(-1.114642e-02 6.567740e-02 -3.492877e-02)	(-1.114556e-02 6.590641e-02 -3.492699e-02)	(-8.573679e-07 -2.290087e-04 -1.788499e-06)
18            	(-7.893245e-03 1.904167e-02 -4.221909e-02)	(-7.886723e-03 1.913458e-02 -4.220004e-02)	(-6.522268e-06 -9.290211e-05 -1.904739e-05)
19            	(-4.659228e-03 -8.056683e-03 -3.859223e-02)	(-4.649452e-03 -8.076509e-03 -3.855571e-02)	(-9.776777e-06 1.982632e-05 -3.652180e-05)
20            	(-3.130932e-03 -1.149352e-02 -3.106495e-02)	(-3.121795e-03 -1.157653e-02 -3.102048e-02)	(-9.137295e-06 8.300693e-05 -4.447353e-05)
21            	(-2.022080e-03 -5.803239e-03 -2.071647e-02)	(-2.016360e-03 -5.898191e-03 -2.067453e-02)	(-5.720344e-06 9.495216e-05 -4.194777e-05)
22            	(-2.618289e-03 6.391809e-03 -1.177553e-02)	(-2.617436e-03 6.321240e-03 -1.174353e-02)	(-8.527304e-07 7.056907e-05 -3.199573e-05)
23            	(-3.539533e-03 2.412146e-02 -3.801150e-03)	(-3.544156e-03 2.409205e-02 -3.784565e-03)	(4.622913e-06 2.941149e-05 -1.658537e-05)
24            	(-5.217344e-03 4.173266e-02 7.131943e-04)	(-5.225943e-03 4.174463e-02 7.117906e-04)	(8.598956e-06 -1.196076e-05 1.403701e-06)
25            	(-7.241921e-03 5.677574e-02 2.149400e-03)	(-7.251062e-03 5.681781e-02 2.130833e-03)	(9.140739e-06 -4.206738e-05 1.856696e-05)
26            	(-9.009369e-03 6.703543e-02 7.955594e-04)	(-9.016167e-03 6.709190e-02 7.626618e-04)	(6.798359e-06 -5.647254e-05 3.289765e-05)
27            	(-1.027430e-02 7.124774e-02 -1.764168e-03)	(-1.027729e-02 7.130475e-02 -1.808958e-03)	(2.991528e-06 -5.700315e-05 4.479079e-05)
28            	(-1.066699e-02 7.199622e-02 -3.064688e-03)	(-1.066616e-02 7.204420e-02 -3.119676e-03)	(-8.331411e-07 -4.798019e-05 5.498797e-05)
29            	(-1.122845e-02 7.137169e-02 -4.747727e-03)	(-1.122443e-02 7.140643e-02 -4.810860e-03)	(-4.022950e-06 -3.474100e-05 6.313369e-05)
30            	(-1.172495e-02 6.950254e-02 -6.843962e-03)	(-1.171854e-02 6.952473e-02 -6.912689e-03)	(-6.403824e-06 -2.218828e-05 6.872691e-05)
31            	(-1.161452e-02 6.538218e-02 -8.319760e-03)	(-1.160624e-02 6.539523e-02 -8.392514e-03)	(-8.272862e-06 -1.304468e-05 7.275398e-05)
32            	(-1.129696e-02 6.123501e-02 -8.726569e-03)	(-1.128730e-02 6.124343e-02 -8.802536e-03)	(-9.657546e-06 -8.418339e-06 7.596706e-05)
33            	(-1.094779e-02 5.816357e-02 -8.391789e-03)	(-1.093662e-02 5.817128e-02 -8.471002e-03)	(-1.116655e-05 -7.711396e-06 7.921353e-05)
34            	(-1.103537e-02 5.722407e-02 -7.935990e-03)	(-1.102231e-02 5.723371e-02 -8.018638e-03)	(-1.306136e-05 -9.640277e-06 8.264886e-05)
35            	(-1.104209e-02 5.718129e-02 -7.349026e-03)	(-1.102632e-02 5.719382e-02 -7.435154e-03)	(-1.576920e-05 -1.253066e-05 8.612797e-05)
36            	(-1.096423e-02 5.702798e-02 -6.743604e-03)	(-1.094515e-02 5.704317e-02 -6.833165e-03)	(-1.907884e-05 -1.518803e-05 8.956087e-05)
37            	(-1.097159e-02 5.767658e-02 -6.289646e-03)	(-1.094865e-02 5.769348e-02 -6.382237e-03)	(-2.293963e-05 -1.690336e-05 9.259150e-05)
