# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2801          	(-8.914133e-04 8.430399e-02 -9.617466e-05)	(-8.902606e-04 8.434898e-02 -9.521595e-05)	(-1.152712e-06 -4.498777e-05 -9.587152e-07)
2802          	(-8.978395e-04 8.430396e-02 -1.131716e-04)	(-8.966471e-04 8.434913e-02 -1.122194e-04)	(-1.192372e-06 -4.517425e-05 -9.522086e-07)
2803          	(-9.023189e-04 8.430221e-02 -1.270180e-04)	(-9.010880e-04 8.434758e-02 -1.260785e-04)	(-1.230909e-06 -4.537069e-05 -9.395256e-07)
2804          	(-9.069140e-04 8.429949e-02 -1.423175e-04)	(-9.056465e-04 8.434507e-02 -1.413937e-04)	(-1.267510e-06 -4.557718e-05 -9.237719e-07)
2805          	(-9.124878e-04 8.429492e-02 -1.609284e-04)	(-9.111850e-04 8.434072e-02 -1.600235e-04)	(-1.302812e-06 -4.579337e-05 -9.048801e-07)
2806          	(-9.185484e-04 8.428866e-02 -1.818262e-04)	(-9.172109e-04 8.433468e-02 -1.809417e-04)	(-1.337483e-06 -4.601799e-05 -8.845260e-07)
2807          	(-9.265139e-04 8.427886e-02 -2.085266e-04)	(-9.251409e-04 8.432511e-02 -2.076643e-04)	(-1.373013e-06 -4.624908e-05 -8.623021e-07)
2808          	(-9.368083e-04 8.426512e-02 -2.417964e-04)	(-9.353958e-04 8.431160e-02 -2.409573e-04)	(-1.412450e-06 -4.648506e-05 -8.391832e-07)
2809          	(-9.479034e-04 8.425055e-02 -2.804383e-04)	(-9.464478e-04 8.429727e-02 -2.796242e-04)	(-1.455646e-06 -4.672491e-05 -8.140989e-07)
2810          	(-9.587687e-04 8.423701e-02 -3.189329e-04)	(-9.572679e-04 8.428397e-02 -3.181465e-04)	(-1.500811e-06 -4.696739e-05 -7.864599e-07)
2811          	(-9.699606e-04 8.422467e-02 -3.595024e-04)	(-9.684133e-04 8.427188e-02 -3.587477e-04)	(-1.547275e-06 -4.721288e-05 -7.546784e-07)
2812          	(-9.796151e-04 8.421647e-02 -3.958147e-04)	(-9.780214e-04 8.426393e-02 -3.950969e-04)	(-1.593718e-06 -4.746086e-05 -7.178061e-07)
2813          	(-9.885879e-04 8.421164e-02 -4.288982e-04)	(-9.869490e-04 8.425935e-02 -4.282235e-04)	(-1.638882e-06 -4.771089e-05 -6.746012e-07)
2814          	(-9.969902e-04 8.421087e-02 -4.600209e-04)	(-9.953061e-04 8.425884e-02 -4.593915e-04)	(-1.684151e-06 -4.796312e-05 -6.294145e-07)
2815          	(-1.004884e-03 8.421221e-02 -4.882786e-04)	(-1.003155e-03 8.426043e-02 -4.876968e-04)	(-1.728992e-06 -4.821776e-05 -5.817209e-07)
2816          	(-1.012343e-03 8.421414e-02 -5.142430e-04)	(-1.010569e-03 8.426262e-02 -5.137104e-04)	(-1.774135e-06 -4.847566e-05 -5.326677e-07)
