"Co","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","p","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
81.873,0.019263,-0.019415,-0.00012262,0,0,0,3.2245e-05,3.1908e-05,0,1399.9,0.010977,0.011003,-8.0999e-05,8.0386e-05,6.4687e-07,0.74348,0,0.0405,-0.07575,0.025
81.956,0.019289,-0.01943,-0.00011727,0,0,0,3.2259e-05,3.1934e-05,0,1396.2,0.010982,0.011008,-8.1036e-05,8.0415e-05,6.1739e-07,0.74459,0.00044194,0.040187,-0.075438,0.025
82.059,0.019309,-0.019404,-0.00010503,0,0,0,3.2233e-05,3.1911e-05,0,1392.6,0.010988,0.011014,-8.1076e-05,8.0095e-05,5.438e-07,0.74534,0.00088388,0.039875,-0.075125,0.025
81.704,0.019226,-0.019331,-9.9317e-05,0,0,0,3.2047e-05,3.1728e-05,0,1396.3,0.010995,0.01102,-8.079e-05,7.984e-05,5.2708e-07,0.74211,0.0013258,0.039562,-0.074813,0.025
81.349,0.019138,-0.019285,-9.9144e-05,0,0,0,3.1906e-05,3.1598e-05,0,1400.1,0.011,0.011025,-8.049e-05,7.9846e-05,5.494e-07,0.73948,0.0017678,0.03925,-0.0745,0.025
81.43,0.019164,-0.0193,-9.3557e-05,0,0,0,3.1917e-05,3.1623e-05,0,1396.4,0.011006,0.01103,-8.0527e-05,7.9873e-05,5.1923e-07,0.74054,0.0022097,0.038937,-0.074188,0.025
81.527,0.019184,-0.019274,-8.0705e-05,0,0,0,3.189e-05,3.16e-05,0,1392.6,0.011012,0.011036,-8.0565e-05,7.9549e-05,4.4305e-07,0.74131,0.0026517,0.038625,-0.073875,0.025
81.168,0.019098,-0.019198,-7.4611e-05,0,0,0,3.17e-05,3.1413e-05,0,1396.4,0.011019,0.011043,-8.0273e-05,7.9284e-05,4.2423e-07,0.738,0.0030936,0.038312,-0.073563,0.025
80.801,0.019008,-0.01915,-7.368e-05,0,0,0,3.1555e-05,3.128e-05,0,1400.1,0.011024,0.011048,-7.9959e-05,7.9276e-05,4.4273e-07,0.73534,0.0035355,0.038,-0.07325,0.025
80.875,0.019034,-0.019165,-6.7202e-05,0,0,0,3.1568e-05,3.1306e-05,0,1396.1,0.011029,0.011053,-7.9985e-05,7.9298e-05,4.0896e-07,0.73652,0.0039775,0.037688,-0.072937,0.025
80.975,0.019054,-0.019138,-5.3688e-05,0,0,0,3.1543e-05,3.1284e-05,0,1392.2,0.011035,0.011059,-8.0019e-05,7.8969e-05,3.3077e-07,0.73734,0.0044194,0.037375,-0.072625,0.025
80.614,0.018969,-0.019062,-4.704e-05,0,0,0,3.1352e-05,3.1096e-05,0,1396.1,0.011042,0.011065,-7.9728e-05,7.8707e-05,3.0967e-07,0.73398,0.0048614,0.037063,-0.072312,0.025
80.252,0.018879,-0.019015,-4.5655e-05,0,0,0,3.1206e-05,3.0962e-05,0,1400.1,0.011047,0.01107,-7.942e-05,7.8706e-05,3.2599e-07,0.73125,0.0053033,0.03675,-0.072,0.025
80.326,0.018904,-0.019029,-3.8758e-05,0,0,0,3.122e-05,3.0988e-05,0,1396.2,0.011052,0.011075,-7.9449e-05,7.8728e-05,2.9068e-07,0.7324,0.0057452,0.036438,-0.071687,0.025
80.421,0.018923,-0.019001,-2.459e-05,0,0,0,3.1196e-05,3.0967e-05,0,1392.2,0.011058,0.011081,-7.9481e-05,7.8396e-05,2.0989e-07,0.73324,0.0061872,0.036125,-0.071375,0.025
80.061,0.018838,-0.018925,-1.7569e-05,0,0,0,3.1003e-05,3.0778e-05,0,1396.1,0.011065,0.011087,-7.919e-05,7.8132e-05,1.8693e-07,0.72984,0.0066291,0.035813,-0.071062,0.025
79.698,0.018748,-0.018877,-1.5828e-05,0,0,0,3.0857e-05,3.0643e-05,0,1400.1,0.01107,0.011093,-7.888e-05,7.8126e-05,2.0144e-07,0.72711,0.0070711,0.0355,-0.07075,0.025
79.765,0.018772,-0.01889,-8.4437e-06,0,0,0,3.0868e-05,3.0666e-05,0,1396.1,0.011075,0.011098,-7.8904e-05,7.8144e-05,1.6438e-07,0.72823,0.007513,0.035188,-0.070437,0.025
79.856,0.01879,-0.018862,6.026e-06,0,0,0,3.0841e-05,3.0642e-05,0,1392.1,0.011081,0.011103,-7.8933e-05,7.7809e-05,8.2687e-08,0.72902,0.007955,0.034875,-0.070125,0.025
79.494,0.018705,-0.018785,1.3065e-05,0,0,0,3.0648e-05,3.0451e-05,0,1396.1,0.011087,0.01111,-7.8641e-05,7.7543e-05,5.9155e-08,0.72561,0.0083969,0.034563,-0.069812,0.025
79.129,0.018614,-0.018736,1.5004e-05,0,0,0,3.0497e-05,3.0313e-05,0,1400,0.011093,0.011115,-7.833e-05,7.7528e-05,7.1995e-08,0.72282,0.0088388,0.03425,-0.0695,0.025
79.186,0.018635,-0.018747,2.2655e-05,0,0,0,3.0505e-05,3.0332e-05,0,1396.1,0.011098,0.01112,-7.8346e-05,7.754e-05,3.437e-08,0.72388,0.0092808,0.033938,-0.069187,0.025
79.267,0.018651,-0.018718,3.7824e-05,0,0,0,3.0477e-05,3.0308e-05,0,1392.2,0.011104,0.011125,-7.8365e-05,7.7203e-05,-4.9801e-08,0.72465,0.0097227,0.033625,-0.068875,0.025
78.904,0.018566,-0.018641,4.5772e-05,0,0,0,3.0285e-05,3.012e-05,0,1395.9,0.01111,0.011132,-7.807e-05,7.6934e-05,-7.6816e-08,0.72129,0.010165,0.033313,-0.068562,0.025
78.545,0.018476,-0.018591,4.8846e-05,0,0,0,3.0137e-05,2.9984e-05,0,1399.7,0.011115,0.011137,-7.7756e-05,7.691e-05,-6.837e-08,0.71858,0.010607,0.033,-0.06825,0.025
78.597,0.018497,-0.018601,5.7334e-05,0,0,0,3.0141e-05,3e-05,0,1395.8,0.01112,0.011142,-7.7767e-05,7.6915e-05,-1.0987e-07,0.71958,0.011049,0.032688,-0.067937,0.025
78.672,0.018511,-0.01857,7.2876e-05,0,0,0,3.0109e-05,2.9972e-05,0,1391.9,0.011126,0.011147,-7.7782e-05,7.6575e-05,-1.9518e-07,0.7203,0.01149,0.032375,-0.067625,0.025
78.312,0.018426,-0.018493,8.0866e-05,0,0,0,2.9918e-05,2.9783e-05,0,1395.7,0.011133,0.011154,-7.7486e-05,7.6306e-05,-2.232e-07,0.71692,0.011932,0.032063,-0.067312,0.025
77.949,0.018335,-0.018443,8.4162e-05,0,0,0,2.9768e-05,2.9645e-05,0,1399.5,0.011138,0.011159,-7.7171e-05,7.628e-05,-2.1624e-07,0.71416,0.012374,0.03175,-0.067,0.025
77.994,0.018354,-0.018451,9.3217e-05,0,0,0,2.9769e-05,2.9659e-05,0,1395.7,0.011143,0.011164,-7.718e-05,7.6283e-05,-2.5949e-07,0.71511,0.012816,0.031438,-0.066687,0.025
78.067,0.018367,-0.018419,0.0001096,0,0,0,2.9739e-05,2.9632e-05,0,1391.9,0.011148,0.011169,-7.7193e-05,7.5942e-05,-3.4805e-07,0.7158,0.013258,0.031125,-0.066375,0.025
77.731,0.018282,-0.018342,0.00011823,0,0,0,2.9545e-05,2.9442e-05,0,1395.7,0.011155,0.011175,-7.6895e-05,7.5668e-05,-3.7883e-07,0.71238,0.0137,0.030813,-0.066062,0.025
77.365,0.01819,-0.01829,0.00012229,0,0,0,2.9393e-05,2.9301e-05,0,1399.5,0.01116,0.01118,-7.6577e-05,7.5634e-05,-3.7561e-07,0.7096,0.014142,0.0305,-0.06575,0.025
77.401,0.018208,-0.018297,0.000132,0,0,0,2.9391e-05,2.9312e-05,0,1395.7,0.011165,0.011185,-7.658e-05,7.5632e-05,-4.2138e-07,0.71048,0.014584,0.030188,-0.065437,0.025
77.474,0.018219,-0.018263,0.00014919,0,0,0,2.9358e-05,2.9282e-05,0,1392,0.011171,0.011191,-7.6588e-05,7.5289e-05,-5.1277e-07,0.71113,0.015026,0.029875,-0.065125,0.025
77.138,0.018134,-0.018186,0.0001586,0,0,0,2.9165e-05,2.9091e-05,0,1395.7,0.011177,0.011197,-7.6287e-05,7.5014e-05,-5.4682e-07,0.70772,0.015468,0.029563,-0.064812,0.025
76.768,0.018042,-0.018133,0.0001634,0,0,0,2.9012e-05,2.895e-05,0,1399.5,0.011182,0.011202,-7.5966e-05,7.4973e-05,-5.4692e-07,0.70495,0.01591,0.02925,-0.0645,0.025
76.802,0.018059,-0.018139,0.00017371,0,0,0,2.901e-05,2.8959e-05,0,1395.7,0.011187,0.011207,-7.5967e-05,7.4967e-05,-5.95e-07,0.70582,0.016352,0.028938,-0.064187,0.025
76.871,0.018069,-0.018105,0.00019129,0,0,0,2.8978e-05,2.8929e-05,0,1391.9,0.011192,0.011212,-7.5973e-05,7.4621e-05,-6.8777e-07,0.70647,0.016794,0.028625,-0.063875,0.025
76.533,0.017983,-0.018027,0.00020064,0,0,0,2.8783e-05,2.8737e-05,0,1395.7,0.011198,0.011218,-7.5671e-05,7.4342e-05,-7.2212e-07,0.70302,0.017236,0.028313,-0.063562,0.025
76.162,0.017891,-0.017973,0.00020568,0,0,0,2.8628e-05,2.8593e-05,0,1399.4,0.011203,0.011223,-7.5349e-05,7.4295e-05,-7.2377e-07,0.70021,0.017678,0.028,-0.06325,0.025
76.191,0.017907,-0.017979,0.00021654,0,0,0,2.8622e-05,2.8599e-05,0,1395.7,0.011208,0.011228,-7.5345e-05,7.4287e-05,-7.7377e-07,0.70104,0.01812,0.027688,-0.062937,0.025
76.255,0.017916,-0.017943,0.00023495,0,0,0,2.8586e-05,2.8566e-05,0,1391.9,0.011213,0.011233,-7.5346e-05,7.3937e-05,-8.6944e-07,0.70163,0.018562,0.027375,-0.062625,0.025
75.914,0.017829,-0.017864,0.00024504,0,0,0,2.839e-05,2.8373e-05,0,1395.5,0.01122,0.011239,-7.5038e-05,7.3649e-05,-9.069e-07,0.69819,0.019003,0.027063,-0.062312,0.025
75.537,0.017735,-0.017809,0.00025094,0,0,0,2.8234e-05,2.8227e-05,0,1399.1,0.011224,0.011244,-7.4705e-05,7.3586e-05,-9.1239e-07,0.69542,0.019445,0.02675,-0.062,0.025
75.559,0.017749,-0.017812,0.00026281,0,0,0,2.8225e-05,2.8231e-05,0,1395.2,0.011229,0.011248,-7.469e-05,7.3569e-05,-9.6637e-07,0.69622,0.019887,0.026438,-0.061687,0.025
75.616,0.017757,-0.017775,0.00028214,0,0,0,2.819e-05,2.8197e-05,0,1391.4,0.011235,0.011254,-7.4685e-05,7.3215e-05,-1.0654e-06,0.69681,0.020329,0.026125,-0.061375,0.025
75.272,0.01767,-0.017695,0.0002929,0,0,0,2.7991e-05,2.8002e-05,0,1395.2,0.011241,0.01126,-7.4377e-05,7.2927e-05,-1.1062e-06,0.69328,0.020771,0.025813,-0.061062,0.025
74.895,0.017576,-0.017638,0.00029964,0,0,0,2.783e-05,2.7853e-05,0,1398.9,0.011245,0.011264,-7.4047e-05,7.2863e-05,-1.1158e-06,0.6904,0.021213,0.0255,-0.06075,0.025
74.911,0.017588,-0.01764,0.00031213,0,0,0,2.7817e-05,2.7852e-05,0,1395.2,0.01125,0.011269,-7.403e-05,7.284e-05,-1.1719e-06,0.69111,0.021655,0.025188,-0.060437,0.025
74.962,0.017593,-0.017601,0.00033193,0,0,0,2.7776e-05,2.7815e-05,0,1391.4,0.011255,0.011274,-7.4019e-05,7.2479e-05,-1.2726e-06,0.69162,0.022097,0.024875,-0.060125,0.025
74.615,0.017505,-0.01752,0.00034291,0,0,0,2.7578e-05,2.7619e-05,0,1395.2,0.011261,0.01128,-7.3706e-05,7.2189e-05,-1.3146e-06,0.68808,0.022539,0.024563,-0.059812,0.025
74.237,0.01741,-0.017463,0.00034989,0,0,0,2.7418e-05,2.7468e-05,0,1398.9,0.011265,0.011284,-7.3371e-05,7.2118e-05,-1.3259e-06,0.6852,0.022981,0.02425,-0.0595,0.025
74.247,0.017421,-0.017463,0.00036272,0,0,0,2.7403e-05,2.7465e-05,0,1395.1,0.01127,0.011289,-7.3348e-05,7.209e-05,-1.3832e-06,0.68588,0.023423,0.023938,-0.059187,0.025
74.289,0.017425,-0.017423,0.00038323,0,0,0,2.736e-05,2.7426e-05,0,1391.4,0.011275,0.011294,-7.3332e-05,7.1725e-05,-1.4862e-06,0.68636,0.023865,0.023625,-0.058875,0.025
73.942,0.017336,-0.017341,0.00039463,0,0,0,2.7158e-05,2.7227e-05,0,1395.2,0.011281,0.0113,-7.3018e-05,7.143e-05,-1.5304e-06,0.68275,0.024307,0.023313,-0.058562,0.025
73.563,0.01724,-0.017281,0.00040228,0,0,0,2.6993e-05,2.7072e-05,0,1399,0.011285,0.011304,-7.2679e-05,7.1348e-05,-1.545e-06,0.67979,0.024749,0.023,-0.05825,0.025
73.56,0.017248,-0.017279,0.00041631,0,0,0,2.6971e-05,2.7063e-05,0,1395.1,0.01129,0.011309,-7.2644e-05,7.1308e-05,-1.6065e-06,0.68038,0.025191,0.022688,-0.057937,0.025
73.589,0.01725,-0.017236,0.00043808,0,0,0,2.692e-05,2.7019e-05,0,1391.3,0.011295,0.011313,-7.2616e-05,7.0935e-05,-1.7144e-06,0.68077,0.025633,0.022375,-0.057625,0.025
