# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(5.174371e+01 1.196652e-03 2.824070e-03)	(5.166377e+01 1.196183e-03 2.884493e-03)	(7.994139e-02 4.692784e-07 -6.042318e-05)
2             	(4.160854e+01 -3.506481e-03 -7.043667e-02)	(4.163862e+01 -3.507786e-03 -7.174365e-02)	(-3.008338e-02 1.304650e-06 1.306981e-03)
3             	(1.688295e+01 -4.824678e-03 2.507690e-01)	(1.696340e+01 -4.804068e-03 2.495160e-01)	(-8.045926e-02 -2.060933e-05 1.252965e-03)
4             	(-2.485924e+01 -2.535985e-03 8.145657e-01)	(-2.476517e+01 -2.495429e-03 8.139291e-01)	(-9.407759e-02 -4.055607e-05 6.366766e-04)
5             	(-4.790949e+01 -3.579496e-05 1.089433e+00)	(-4.784669e+01 1.789254e-05 1.090168e+00)	(-6.280018e-02 -5.368750e-05 -7.341938e-04)
6             	(-4.876073e+01 3.464368e-03 1.052211e+00)	(-4.875556e+01 3.533656e-03 1.054375e+00)	(-5.173773e-03 -6.928802e-05 -2.164127e-03)
7             	(-3.720913e+01 5.198161e-03 9.192946e-01)	(-3.727311e+01 5.259263e-03 9.221901e-01)	(6.398261e-02 -6.110199e-05 -2.895551e-03)
8             	(-1.967092e+01 6.568049e-03 5.917947e-01)	(-1.977155e+01 6.619572e-03 5.951038e-01)	(1.006361e-01 -5.152317e-05 -3.309133e-03)
9             	(1.166336e+00 6.452977e-03 -2.433606e-02)	(1.056206e+00 6.488833e-03 -2.303655e-02)	(1.101303e-01 -3.585617e-05 -1.299508e-03)
10            	(1.488102e+01 4.217427e-03 -5.430677e-01)	(1.478831e+01 4.189849e-03 -5.398829e-01)	(9.271293e-02 2.757860e-05 -3.184746e-03)
11            	(1.989610e+01 7.920303e-04 -8.052796e-01)	(1.984391e+01 7.648604e-04 -8.054207e-01)	(5.219374e-02 2.716982e-05 1.411409e-04)
12            	(1.804884e+01 -2.579977e-03 -7.650996e-01)	(1.804621e+01 -2.600936e-03 -7.640827e-01)	(2.632419e-03 2.095904e-05 -1.016901e-03)
13            	(1.252049e+01 -4.150707e-03 -5.790773e-01)	(1.255579e+01 -4.158272e-03 -5.784019e-01)	(-3.530102e-02 7.564524e-06 -6.753437e-04)
14            	(5.640944e+00 -4.871737e-03 -3.422002e-01)	(5.695245e+00 -4.860255e-03 -3.428860e-01)	(-5.430040e-02 -1.148180e-05 6.857751e-04)
15            	(-8.454461e-01 -5.981082e-03 -1.949074e-02)	(-7.935320e-01 -5.993688e-03 -2.110135e-02)	(-5.191407e-02 1.260587e-05 1.610617e-03)
16            	(-4.600326e+00 -6.213180e-03 2.133278e-01)	(-4.565847e+00 -6.258947e-03 2.114474e-01)	(-3.447846e-02 4.576681e-05 1.880353e-03)
17            	(-5.868622e+00 -5.585077e-03 4.618335e-01)	(-5.859348e+00 -5.614405e-03 4.606158e-01)	(-9.273811e-03 2.932765e-05 1.217702e-03)
18            	(-5.058573e+00 -3.670071e-03 5.794037e-01)	(-5.075110e+00 -3.666503e-03 5.789483e-01)	(1.653689e-02 -3.568253e-06 4.553189e-04)
