# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(-4.014803e-04 1.811030e+00 2.616645e-04)	(-4.000691e-04 1.808231e+00 2.619873e-04)	(-1.411165e-06 2.798875e-03 -3.227637e-07)
2             	(5.325336e-04 1.456340e+00 -3.259426e-03)	(5.402661e-04 1.457351e+00 -3.252783e-03)	(-7.732503e-06 -1.011329e-03 -6.642868e-06)
3             	(1.055020e-03 5.909948e-01 2.309513e-03)	(1.082926e-03 5.937174e-01 2.331936e-03)	(-2.790622e-05 -2.722559e-03 -2.242284e-05)
4             	(1.668151e-03 -8.700191e-01 -3.520059e-02)	(1.672544e-03 -8.667846e-01 -3.520422e-02)	(-4.393790e-06 -3.234496e-03 3.632629e-06)
5             	(4.442726e-03 -1.676846e+00 -2.888100e-02)	(4.426605e-03 -1.674636e+00 -2.885787e-02)	(1.612043e-05 -2.210062e-03 -2.313122e-05)
6             	(3.637782e-03 -1.706602e+00 -1.667196e-02)	(3.625233e-03 -1.706445e+00 -1.663628e-02)	(1.254815e-05 -1.570496e-04 -3.567735e-05)
7             	(3.627384e-03 -1.302340e+00 3.869543e-03)	(3.581645e-03 -1.304559e+00 4.052175e-03)	(4.573829e-05 2.219109e-03 -1.826329e-04)
8             	(2.913212e-03 -6.885267e-01 -5.835466e-03)	(2.962799e-03 -6.920038e-01 -5.708866e-03)	(-4.958725e-05 3.477054e-03 -1.266003e-04)
9             	(1.055246e-03 4.072688e-02 -2.264179e-02)	(1.169644e-03 3.696963e-02 -2.263134e-02)	(-1.143989e-04 3.757254e-03 -1.044636e-05)
10            	(-3.852140e-04 5.207959e-01 -1.509975e-02)	(-3.208402e-04 5.175928e-01 -1.511507e-02)	(-6.437382e-05 3.203100e-03 1.531480e-05)
11            	(-5.180745e-04 6.963895e-01 -1.447098e-02)	(-4.871359e-04 6.945385e-01 -1.438047e-02)	(-3.093857e-05 1.851015e-03 -9.050834e-05)
12            	(1.918177e-03 6.317240e-01 -1.105133e-02)	(1.893734e-03 6.316178e-01 -1.095170e-02)	(2.444289e-05 1.062198e-04 -9.962401e-05)
13            	(4.074525e-03 4.382255e-01 -9.329925e-03)	(4.035945e-03 4.394513e-01 -9.404328e-03)	(3.858041e-05 -1.225839e-03 7.440291e-05)
14            	(6.592425e-03 1.974566e-01 -1.634265e-03)	(6.589017e-03 1.993311e-01 -1.709038e-03)	(3.408637e-06 -1.874514e-03 7.477364e-05)
15            	(1.033899e-02 -2.954492e-02 9.112949e-03)	(1.028091e-02 -2.777629e-02 9.065011e-03)	(5.808317e-05 -1.768631e-03 4.793836e-05)
16            	(1.459088e-02 -1.609480e-01 1.439386e-02)	(1.449546e-02 -1.598074e-01 1.448901e-02)	(9.542525e-05 -1.140636e-03 -9.514215e-05)
17            	(1.813720e-02 -2.053506e-01 1.510018e-02)	(1.801628e-02 -2.050799e-01 1.533961e-02)	(1.209271e-04 -2.707519e-04 -2.394363e-04)
18            	(1.855169e-02 -1.770081e-01 1.154113e-02)	(1.842123e-02 -1.776313e-01 1.189577e-02)	(1.304593e-04 6.231435e-04 -3.546457e-04)
19            	(1.692517e-02 -1.114727e-01 5.975271e-03)	(1.680367e-02 -1.127177e-01 6.354816e-03)	(1.214972e-04 1.244997e-03 -3.795443e-04)
20            	(1.392902e-02 -3.896000e-02 5.104064e-04)	(1.380596e-02 -4.043674e-02 8.331234e-04)	(1.230567e-04 1.476738e-03 -3.227170e-04)
21            	(1.028254e-02 2.107381e-02 -3.124642e-03)	(1.015442e-02 1.971716e-02 -2.889520e-03)	(1.281175e-04 1.356649e-03 -2.351229e-04)
22            	(7.773250e-03 5.584355e-02 -4.257568e-03)	(7.638671e-03 5.481681e-02 -4.097355e-03)	(1.345789e-04 1.026737e-03 -1.602132e-04)
23            	(6.979827e-03 6.596812e-02 -3.157383e-03)	(6.855906e-03 6.532057e-02 -3.051981e-03)	(1.239204e-04 6.475513e-04 -1.054026e-04)
24            	(8.138861e-03 5.847032e-02 -9.733634e-04)	(8.021464e-03 5.814730e-02 -9.080292e-04)	(1.173974e-04 3.230177e-04 -6.533429e-05)
25            	(1.088966e-02 4.262341e-02 1.531015e-03)	(1.077435e-02 4.252143e-02 1.573279e-03)	(1.153159e-04 1.019846e-04 -4.226418e-05)
26            	(1.463595e-02 2.594916e-02 3.789157e-03)	(1.451833e-02 2.595415e-02 3.819302e-03)	(1.176163e-04 -4.988773e-06 -3.014484e-05)
27            	(1.792443e-02 1.452014e-02 4.897121e-03)	(1.780142e-02 1.452329e-02 4.925929e-03)	(1.230117e-04 -3.144523e-06 -2.880883e-05)
28            	(2.048498e-02 8.697885e-03 5.153463e-03)	(2.035447e-02 8.618115e-03 5.185028e-03)	(1.305091e-04 7.976962e-05 -3.156512e-05)
29            	(2.159630e-02 7.247007e-03 4.623818e-03)	(2.146088e-02 7.047813e-03 4.658720e-03)	(1.354194e-04 1.991936e-04 -3.490128e-05)
30            	(2.119739e-02 1.067057e-02 3.878855e-03)	(2.106551e-02 1.035240e-02 3.915611e-03)	(1.318836e-04 3.181691e-04 -3.675599e-05)
31            	(2.000139e-02 1.606965e-02 3.300198e-03)	(1.987781e-02 1.566241e-02 3.335884e-03)	(1.235815e-04 4.072389e-04 -3.568591e-05)
32            	(1.845558e-02 2.114668e-02 3.081032e-03)	(1.833873e-02 2.069350e-02 3.111211e-03)	(1.168512e-04 4.531795e-04 -3.017937e-05)
33            	(1.684911e-02 2.434353e-02 3.256340e-03)	(1.673587e-02 2.388629e-02 3.275098e-03)	(1.132370e-04 4.572377e-04 -1.875838e-05)
34            	(1.536780e-02 2.517101e-02 3.621193e-03)	(1.525454e-02 2.474066e-02 3.622560e-03)	(1.132610e-04 4.303538e-04 -1.367548e-06)
35            	(1.435827e-02 2.503346e-02 3.935450e-03)	(1.424383e-02 2.464342e-02 3.917208e-03)	(1.144445e-04 3.900359e-04 1.824152e-05)
36            	(1.351174e-02 2.308338e-02 4.218752e-03)	(1.339615e-02 2.273504e-02 4.183675e-03)	(1.155923e-04 3.483391e-04 3.507739e-05)
37            	(1.279831e-02 2.131777e-02 4.311408e-03)	(1.268068e-02 2.100237e-02 4.266693e-03)	(1.176288e-04 3.153947e-04 4.471559e-05)
38            	(1.206993e-02 2.066503e-02 4.256360e-03)	(1.195012e-02 2.036662e-02 4.209392e-03)	(1.198169e-04 2.984106e-04 4.696790e-05)
39            	(1.146620e-02 2.047384e-02 4.048427e-03)	(1.134428e-02 2.017753e-02 4.003732e-03)	(1.219173e-04 2.963080e-04 4.469503e-05)
40            	(1.099848e-02 2.056409e-02 3.729359e-03)	(1.087496e-02 2.025909e-02 3.689548e-03)	(1.235177e-04 3.050046e-04 3.981015e-05)
