"Co","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","p","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
232.43,0,0,0,0.00022607,0.0002276,0,1746.7,0.0088429,-0.00023783,4.4629e-07,0.00029594,1.9102,0.0088226,0.054887,-0.0001009,-0.068616,0,-0.019702,0,0.019611
245.61,0,0,0,0.00024234,0.00024394,0,1161.1,0.0084222,-0.00023578,4.3392e-07,0.00027009,2.2738,0.0084055,0.061924,-0.00011559,-0.073973,0.00043844,-0.019428,0,0.019268
266.17,0,0,0,0.00025252,0.00025424,0,1345.9,0.0082242,-0.00024358,4.7593e-07,0.00029073,2.1484,0.0082098,0.060528,-0.00011762,-0.071595,0.00087638,-0.019149,0,0.018931
266.02,0,0,0,0.00025363,0.00025537,0,1359.7,0.0081535,-0.00024451,4.7851e-07,0.00029159,2.1423,0.0081398,0.060471,-0.00011763,-0.071491,0.00092841,-0.019115,0,0.018891
264.89,0,0,0,0.00026179,0.00026363,0,1461.8,0.0076332,-0.0002514,5.7623e-07,0.00029789,2.0967,0.0076236,0.060038,-0.00013634,-0.07071,0.0013137,-0.018865,0,0.018598
267.75,0,0,0,0.00026741,0.00026931,0,1524.1,0.0069055,-0.00026092,6.1645e-07,0.00030311,2.0744,0.0069024,0.061362,-0.00014261,-0.070382,0.0017504,-0.018577,0,0.018271
267.61,0,0,0,0.00027216,0.0002741,0,1563.6,0.0062758,-0.00026863,6.5818e-07,0.00030216,2.0661,0.0062786,0.062575,-0.00015046,-0.069409,0.0021864,-0.018281,0,0.01795
270.15,0,0,0,0.00027489,0.00027688,0,1586.9,0.0057705,-0.00027818,6.9528e-07,0.00030046,2.0609,0.0057782,0.064142,-0.00015773,-0.068525,0.0026219,-0.017981,0,0.017634
271.57,0,0,0,0.00027762,0.00027967,0,1601.9,0.0052131,-0.00028624,7.318e-07,0.00029813,2.0615,0.0052264,0.06569,-0.00016528,-0.06776,0.0030572,-0.017678,0,0.017322
274.95,0,0,0,0.00027996,0.00028207,0,1589.1,0.0046772,-0.00029324,7.665e-07,0.00029502,2.0789,0.0046958,0.067648,-0.00017389,-0.067177,0.0034923,-0.017366,0,0.017018
276.98,0,0,0,0.00028293,0.00028511,0,1566.5,0.0041544,-0.00029965,8.0352e-07,0.00028975,2.1055,0.0041785,0.069475,-0.00018359,-0.066642,0.0039279,-0.01705,0,0.016719
281.84,0,0,0,0.0002861,0.0002883,0,1526.7,0.0036441,-0.00030503,8.3184e-07,0.00028457,2.1459,0.0036736,0.071708,-0.00019274,-0.066327,0.004364,-0.016729,0,0.016423
283.51,0,0,0,0.00029083,0.00029309,0,1465.2,0.0031234,-0.0003087,8.57e-07,0.00027875,2.2101,0.0031586,0.074161,-0.00020268,-0.066169,0.0048005,-0.016402,0,0.016135
290.13,0,0,0,0.00029314,0.00029546,0,1350.8,0.0026518,-0.00030482,8.638e-07,0.00026078,2.3167,0.0026924,0.075839,-0.00021357,-0.065283,0.0052379,-0.016069,0,0.015851
289.41,0,0,0,0.0002937,0.00029603,0,1342.5,0.0026331,-0.00030468,8.0456e-07,0.00026086,2.3275,0.0026748,0.076139,-0.00019969,-0.065456,0.0052579,-0.016054,0,0.015838
272.54,0,0,0,0.00030409,0.00030652,0,1168.3,0.0023401,-0.00030079,8.247e-07,0.00026176,2.549,0.0023856,0.08218,-0.00022008,-0.068873,0.0056759,-0.015732,0,0.015572
258.7,0,0,0,0.00029896,0.00030158,0,1755.8,0.0011326,-0.00032062,9.1076e-07,0.00025426,2.1928,0.0011897,0.073583,-0.00020595,-0.059465,0.0061143,-0.015389,0,0.015298
279.09,0,0,0,0.00028596,0.00028862,0,2243.3,0.00041454,-0.00035675,1.0645e-06,0.00027873,1.7728,0.00047969,0.069923,-0.00020402,-0.053344,0.0065414,-0.01505,0,0.015039
279.57,0,0,0,0.00028553,0.00028817,0,2256.6,0.00040069,-0.00035768,1.0729e-06,0.00027935,1.7612,0.00046504,0.069812,-0.00020417,-0.053168,0.006553,-0.01504,0,0.015032
279.12,0,0,0,0.00028549,0.00028816,0,2227.5,0.00031119,-0.00035873,1.0776e-06,0.00027754,1.7734,0.00037752,0.070379,-0.00020717,-0.053301,0.0065985,-0.015004,0,0.015005
274.53,0,0,0,0.00028451,0.0002872,0,1975.5,-0.00041504,-0.00036733,1.1549e-06,0.00026142,1.8773,-0.00034039,0.075195,-0.00023486,-0.054368,0.006992,-0.014687,0,0.014771
281.96,0,0,0,0.00028804,0.00029072,0,1751.3,-0.00081102,-0.00036815,1.1638e-06,0.00025031,2.0121,-0.00073137,0.080218,-0.00025194,-0.055449,0.0074316,-0.01433,0,0.014515
290.2,0,0,0,0.00029576,0.00029854,0,1548.7,-0.0011447,-0.00036549,1.1695e-06,0.00024279,2.1684,-0.0010607,0.084727,-0.00026939,-0.056662,0.0078721,-0.013966,0,0.014266
303.14,0,0,0,0.00030137,0.00030431,0,1336.5,-0.0015252,-0.00035496,1.1454e-06,0.00022102,2.37,-0.0014361,0.088433,-0.00028518,-0.05684,0.0083142,-0.013597,0,0.014023
289.69,0,0,0,0.00032006,0.00032309,0,1076,-0.0017769,-0.00034697,1.1353e-06,0.00022441,2.7391,-0.0016839,0.098219,-0.00031755,-0.061964,0.0087583,-0.013222,0,0.013785
272.7,0,0,0,0.00032699,0.0003302,0,1465,-0.002987,-0.00036192,1.3109e-06,0.00021323,2.4772,-0.0028814,0.089894,-0.00032008,-0.054655,0.009205,-0.012842,0,0.013551
311.33,0,0,0,0.00032157,0.0003248,0,1712.4,-0.0036843,-0.00038273,1.3588e-06,0.00021975,2.1688,-0.0035699,0.085598,-0.00029816,-0.049163,0.0096545,-0.012454,0,0.013324
285.82,0,0,0,0.00033619,0.00033953,0,1262,-0.0043547,-0.00037667,1.2594e-06,0.00021216,2.5971,-0.0042312,0.098819,-0.00032554,-0.054628,0.010107,-0.012059,0,0.013103
261.67,0,0,0,0.00033731,0.00034083,0,1596.7,-0.0054545,-0.00038996,1.4097e-06,0.00019051,2.3931,-0.0053191,0.092034,-0.00032874,-0.047718,0.010562,-0.011658,0,0.012886
306.54,0,0,0,0.00032862,0.00033213,0,1811,-0.0059087,-0.00040923,1.5324e-06,0.00019512,2.1355,-0.0057674,0.088658,-0.00032926,-0.043196,0.011021,-0.011251,0,0.012675
284.8,0,0,0,0.00034436,0.00034798,0,1297.5,-0.0065268,-0.00040077,1.5282e-06,0.00019269,2.5963,-0.0063768,0.10347,-0.00039031,-0.049103,0.011483,-0.010837,0,0.012472
259.51,0,0,0,0.00034734,0.00035115,0,1582,-0.0076141,-0.00041036,1.7588e-06,0.00016787,2.4289,-0.0074518,0.096959,-0.00040933,-0.042827,0.011948,-0.010416,0,0.012275
312.64,0,0,0,0.00034038,0.00034418,0,1732.4,-0.0079878,-0.00042607,1.7664e-06,0.00016974,2.2338,-0.0078202,0.094655,-0.00038581,-0.039099,0.012417,-0.0099875,0,0.012083
289.05,0,0,0,0.00035539,0.00035918,0,1159.9,-0.0085744,-0.00040797,1.5477e-06,0.0001631,2.8148,-0.0083977,0.11132,-0.00042117,-0.045037,0.01289,-0.0095524,0,0.011897
242.06,0,0,0,0.0003752,0.00037927,0,1154.8,-0.0091379,-0.00041034,1.7291e-06,0.00015891,2.8914,-0.0089547,0.11246,-0.00046657,-0.043491,0.013368,-0.0091085,0,0.01172
252.84,0,0,0,0.00036816,0.00037237,0,1618.6,-0.0095976,-0.00042995,1.928e-06,0.00015449,2.4975,-0.0094093,0.10193,-0.0004476,-0.037685,0.013656,-0.0088388,0,0.011618
260.03,0,0,0,0.0003633,0.00036758,0,1931.4,-0.0098965,-0.0004431,2.2581e-06,0.00015147,2.2315,-0.0097071,0.094816,-0.00047746,-0.033763,0.013851,-0.0086569,-1.034e-25,0.011548
294.75,0,0,0,0.0003511,0.00035536,0,1995.9,-0.010787,-0.00045706,2.0911e-06,0.00014435,2.1322,-0.010582,0.095493,-0.00043092,-0.031934,0.014225,-0.0083051,0,0.011422
305.4,0,0,0,0.00034732,0.00035156,0,2015.7,-0.011057,-0.00046132,2.1e-06,0.00014215,2.1016,-0.010848,0.095696,-0.00042973,-0.031369,0.014339,-0.0081971,0,0.011384
282,0,0,0,0.0003653,0.00036953,0,1262.1,-0.011871,-0.00044517,1.9712e-06,0.00013575,2.7484,-0.01165,0.11699,-0.00051585,-0.036547,0.014833,-0.0077293,0,0.011226
231.08,0,0,0,0.00038915,0.00039371,0,1126.9,-0.012082,-0.00043352,2.1529e-06,0.00012324,2.9603,-0.011858,0.11932,-0.00058656,-0.034919,0.015332,-0.007253,0,0.011076
239.5,0,0,0,0.00039896,0.00040378,0,1279.8,-0.011758,-0.00044162,2.3613e-06,0.00013042,2.7887,-0.011539,0.11354,-0.00060191,-0.032316,0.015837,-0.0067681,0,0.010935
236.36,0,0,0,0.00037464,0.00037966,0,2162.7,-0.013114,-0.00048218,2.8279e-06,0.00011938,2.1187,-0.012877,0.096776,-0.0005591,-0.024603,0.016159,-0.0064575,0,0.010851
238.35,0,0,0,0.00036351,0.00036848,0,2389.2,-0.013509,-0.00048757,2.8496e-06,0.00010874,1.9905,-0.013269,0.092878,-0.00053836,-0.022653,0.016349,-0.0062746,0,0.010802
284.78,0,0,0,0.00034002,0.00034488,0,2364.4,-0.01479,-0.0005026,2.948e-06,9.7423e-05,1.9327,-0.014528,0.09689,-0.00056376,-0.020909,0.016867,-0.0057713,0,0.010677
265.15,0,0,0,0.00036195,0.00036684,0,1375.6,-0.015311,-0.00047571,2.8804e-06,9.2888e-05,2.633,-0.015036,0.12035,-0.00072414,-0.024197,0.017394,-0.0052575,0,0.01056
254.5,0,0,0,0.00036849,0.00037349,0,1320.8,-0.015293,-0.0004712,2.4979e-06,8.8936e-05,2.7054,-0.015015,0.12144,-0.00064066,-0.023705,0.017508,-0.0051464,0,0.010537
214.44,0,0,0,0.00039246,0.0003977,0,1116.4,-0.015169,-0.00045399,2.6408e-06,7.4136e-05,2.974,-0.014893,0.12539,-0.00072237,-0.021851,0.01793,-0.0047322,0,0.010452
221.15,0,0,0,0.00040826,0.00041406,0,1304.8,-0.014747,-0.00046068,3.0258e-06,7.6087e-05,2.7998,-0.014478,0.11722,-0.00076431,-0.018574,0.018475,-0.0041958,0,0.010355
212.19,0,0,0,0.00040663,0.00041339,0,1492.9,-0.015263,-0.00046485,3.3277e-06,7.2979e-05,2.6047,-0.014985,0.1102,-0.0007837,-0.01638,0.019027,-0.003651,0,0.010269
199.96,0,0,0,0.00039695,0.00040305,0,1683.7,-0.016037,-0.00046713,3.6083e-06,6.8411e-05,2.4175,-0.015743,0.10423,-0.00079828,-0.014,0.01958,-0.0031026,0,0.010194
