"Co","U:0","U:1","U:2","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
82.617,0.029069,-6.2193e-06,-0.0155,3.0505e-05,0,1422.4,0.011385,-0.00012295,2.5869e-08,5.9467e-05,0.72551,0,-0.012745,0,0.0054936
81.544,0.028976,-5.9291e-06,-0.015285,3.2475e-05,0,1718.3,0.011256,-0.00013218,2.6348e-08,6.2113e-05,0.70364,0.00027761,-0.012505,0,0.0053538
80.87,0.028917,-5.7468e-06,-0.01515,3.3713e-05,0,1904.1,0.011176,-0.00013798,2.665e-08,6.3775e-05,0.68989,0.00045199,-0.012354,0,0.005266
87.484,0.029193,-5.7304e-06,-0.015011,3.4213e-05,0,2015.2,0.011119,-0.00014402,2.764e-08,6.6147e-05,0.66802,0.00058938,-0.012234,0,0.0051995
102.7,0.029828,-5.6926e-06,-0.014692,3.5363e-05,0,2270.8,0.010989,-0.00015791,2.9919e-08,7.1604e-05,0.6177,0.00090541,-0.011957,0,0.0050466
106.81,0.035071,-6.4304e-06,-0.01641,4.1118e-05,0,1799.5,0.010729,-0.00016739,3.0441e-08,6.8429e-05,0.74444,0.0013609,-0.011555,0,0.0048326
119.82,0.040136,-7.2251e-06,-0.01749,5.084e-05,0,1395.8,0.010485,-0.00016752,2.9613e-08,6.1874e-05,0.95202,0.0018191,-0.011147,0,0.0046235
119.63,0.047677,-8.7313e-06,-0.019667,6.3618e-05,0,971.17,0.010271,-0.00016592,2.986e-08,5.9242e-05,1.2799,0.0022807,-0.010732,0,0.0044218
109.56,0.051494,-9.2325e-06,-0.021475,7.8249e-05,0,1021.4,0.010054,-0.0001836,3.2455e-08,7.0498e-05,1.378,0.0027464,-0.010309,0,0.0042267
111.88,0.05114,-9.1036e-06,-0.021338,7.9065e-05,0,1103.8,0.010013,-0.00018763,3.29e-08,7.2302e-05,1.3502,0.0027963,-0.010264,0,0.0042066
131.38,0.048157,-8.0176e-06,-0.02018,8.5942e-05,0,1798.8,0.0096741,-0.00022161,3.6645e-08,8.751e-05,1.116,0.0032166,-0.0098791,0,0.0040369
163.9,0.050632,-7.788e-06,-0.019014,8.8978e-05,0,1892.4,0.009049,-0.00023935,3.6986e-08,8.08e-05,1.0928,0.0036916,-0.0094413,0,0.0038527
153.88,0.062763,-9.4796e-06,-0.021046,0.00010057,0,1176.3,0.0084442,-0.00023659,3.5535e-08,6.6473e-05,1.4736,0.0041712,-0.0089958,0,0.0036751
141.07,0.067669,-1.0107e-05,-0.022524,0.00011786,0,1146.4,0.0081923,-0.00025402,3.7695e-08,7.548e-05,1.5961,0.0045328,-0.008657,0,0.0035488
136.72,0.069334,-1.0319e-05,-0.023026,0.00012373,0,1136.3,0.0081069,-0.00025994,3.8428e-08,7.8535e-05,1.6377,0.0046555,-0.008542,0,0.003506
143.3,0.068365,-1.0072e-05,-0.022771,0.00012738,0,1314.8,0.0079949,-0.00027115,3.9643e-08,8.3414e-05,1.5773,0.0047678,-0.0084361,0,0.0034688
165.37,0.065116,-9.2411e-06,-0.021918,0.00013961,0,1913,0.0076195,-0.00030872,4.3716e-08,9.9763e-05,1.3751,0.0051442,-0.0080809,0,0.003344
204.67,0.067146,-8.9574e-06,-0.020326,0.00014261,0,1984.6,0.0066728,-0.00032405,4.3501e-08,8.9815e-05,1.3522,0.0056374,-0.0076126,0,0.0031895
189.66,0.081919,-1.0792e-05,-0.021511,0.00015926,0,1219.4,0.0057208,-0.00031109,4.081e-08,6.811e-05,1.8313,0.006135,-0.0071376,2.068e-25,0.0030412
