"Co","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","p","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
342.19,0.080771,2.3976e-05,-0.10124,0,0,0,0.00030025,0.00030774,0,1755.7,0.0058176,0.0065838,-0.00035014,-1.0551e-07,0.00043707,2.1698,0,-0.019702,0,0.059611
361.2,0.091028,2.6526e-05,-0.10901,0,0,0,0.00030982,0.00031773,0,1169.3,0.0050061,0.00578,-0.00034633,-1.0054e-07,0.00039837,2.5624,0.00043844,-0.019428,0,0.059269
391.2,0.088971,2.5608e-05,-0.10555,0,0,0,0.0003299,0.00033769,0,1355.2,0.0046483,0.0054237,-0.00035764,-1.0501e-07,0.00042907,2.4584,0.00087638,-0.019149,0,0.058931
389.16,0.088088,2.4541e-05,-0.10414,0,0,0,0.00034702,0.00035474,0,1472.1,0.0034802,0.004291,-0.00036837,-1.046e-07,0.00043946,2.4111,0.0013137,-0.018865,0,0.058598
389.24,0.088127,2.4523e-05,-0.10413,0,0,0,0.00034737,0.00035507,0,1473.6,0.0034471,0.0042585,-0.00036867,-1.0457e-07,0.00043963,2.4112,0.0013238,-0.018859,0,0.058591
392.53,0.089784,2.3773e-05,-0.10357,0,0,0,0.000362,0.00036917,0,1535.6,0.00205,0.0028846,-0.00038104,-1.0352e-07,0.00044702,2.414,0.0017504,-0.018577,0,0.058271
391.47,0.091244,2.313e-05,-0.10193,0,0,0,0.00037595,0.00038241,0,1576.2,0.0008453,0.0016884,-0.00039074,-1.0187e-07,0.00044498,2.4265,0.0021864,-0.018281,0,0.05795
393.68,0.093134,2.2744e-05,-0.10039,0,0,0,0.00038604,0.00039171,0,1600.3,-7.2575e-05,0.00077388,-0.00040261,-1.0092e-07,0.00044167,2.4421,0.0026219,-0.017981,0,0.057634
394.24,0.094884,2.2423e-05,-0.09886,0,0,0,0.0003952,0.00039998,0,1616,-0.0010687,-0.00021749,-0.00041198,-9.9862e-08,0.00043672,2.4583,0.0030572,-0.017678,0,0.057322
396.91,0.097136,2.2268e-05,-0.097604,0,0,0,0.00040151,0.00040554,0,1603.7,-0.0019966,-0.0011504,-0.00041926,-9.8652e-08,0.00043072,2.4887,0.0034923,-0.017366,0,0.057018
397.62,0.09906,2.218e-05,-0.096265,0,0,0,0.00040716,0.00041076,0,1581.4,-0.0028627,-0.0020257,-0.00042531,-9.757e-08,0.00042096,2.5248,0.0039279,-0.01705,0,0.056719
401.53,0.10144,2.2225e-05,-0.095265,0,0,0,0.00041028,0.00041366,0,1541.6,-0.0036735,-0.0028529,-0.00042923,-9.632e-08,0.00041156,2.5681,0.004364,-0.016729,0,0.056423
401.2,0.10285,2.2302e-05,-0.09472,0,0,0,0.0004119,0.00041524,0,1506.6,-0.0041226,-0.0033144,-0.00042976,-9.5574e-08,0.00040529,2.6054,0.0046121,-0.016543,0,0.056259
